season,gw,evaluation_status,player_id,web_name,position,now_cost,in_b0_xi,in_v1_xi,in_b0_squad,in_v1_squad,is_v1_captain,is_b0_captain,actual_points,v1_mu,b0_mu,v1_horizon_u,v1_p_start,horizon_flag,minutes_flag,fixture_flag,price_value_flag,captain_flag,projection_rank_flag
2023-24,1,clean,19,Saka,MID,85,0,1,0,1,1,0,10.0,3.7096,3.4,16.7108,0.72,1,0,0,0,1,0
2023-24,1,clean,77,Neto,GKP,45,0,1,0,1,0,0,2.0,3.3224,2.4,14.9722,0.88,1,0,0,1,0,1
2023-24,1,clean,117,Toney,FWD,80,0,1,0,1,0,0,0.0,2.8836,0.0,13.3526,0.72,1,0,0,0,0,0
2023-24,1,clean,195,Chilwell,DEF,55,0,1,0,1,0,0,7.0,1.9424,2.1,8.1514,0.45,1,1,0,0,0,0
2023-24,1,clean,206,James,DEF,55,0,1,0,1,0,0,2.0,1.7316,2.1,7.7995,0.45,1,1,0,0,0,0
2023-24,1,clean,216,Sterling,MID,70,0,1,0,1,0,0,2.0,2.6588,2.0,12.3011,0.72,1,0,0,0,0,0
2023-24,1,clean,290,Alexander-Arnold,DEF,80,1,1,1,1,0,0,1.0,2.4456,4.5,12.5213,0.72,0,0,0,0,0,0
2023-24,1,clean,307,Robertson,DEF,65,1,0,1,0,0,0,2.0,1.606,3.6,7.732,0.45,0,0,0,0,0,1
2023-24,1,clean,313,Virgil,DEF,60,1,0,1,0,0,0,2.0,1.4976,3.4,7.5345,0.45,0,0,0,0,0,1
2023-24,1,clean,346,Cancelo,DEF,60,1,0,1,0,0,0,0.0,1.5232,4.3,7.667,0.45,0,0,0,0,0,0
2023-24,1,clean,349,De Bruyne,MID,105,1,1,1,1,0,0,1.0,3.3268,4.9,16.2064,0.72,0,0,0,0,0,0
2023-24,1,clean,355,Haaland,FWD,140,1,0,1,0,0,1,13.0,3.7356,5.5,18.4043,0.72,0,0,0,0,1,1
2023-24,1,clean,362,Palmer,MID,50,1,0,1,0,0,0,1.0,0.9416,3.1,4.0928,0.18,0,0,0,0,0,1
2023-24,1,clean,364,Phillips,MID,50,1,0,1,0,0,0,0.0,0.6664,3.1,3.2257,0.18,0,0,0,0,0,0
2023-24,1,clean,373,B.Fernandes,MID,85,0,1,0,1,0,0,3.0,3.6724,3.4,15.8617,0.72,1,0,0,0,0,1
2023-24,1,clean,396,Rashford,MID,90,1,0,1,0,0,0,3.0,3.2768,3.5,14.161,0.72,0,0,0,0,0,0
2023-24,1,clean,424,Pope,GKP,55,1,0,1,0,0,0,3.0,2.9932,4.5,13.0055,0.88,0,0,0,0,0,1
2023-24,1,clean,430,Trippier,DEF,65,1,0,1,0,0,0,2.0,1.778,3.6,7.9087,0.45,0,0,0,0,0,1
2023-24,1,clean,433,Wilson,FWD,80,0,1,0,1,0,0,5.0,3.0168,3.1,13.4921,0.72,1,0,0,0,0,0
2023-24,1,clean,516,Son,MID,90,0,1,0,1,0,0,2.0,3.3084,3.0,16.1527,0.72,1,0,0,0,0,1
