gw,n,mae,rmse,bias,spearman,scored_at
1,658,1.23,2.1279,0.3363,0.3318,2026-08-19T06:19:58.656042+00:00
2,595,1.2257,2.4222,0.5422,0.3863,2026-08-19T06:19:58.683516+00:00
3,685,1.0849,2.2646,0.5291,0.4132,2026-08-19T06:19:58.712121+00:00
4,703,1.157,2.4614,0.5988,0.4381,2026-08-19T06:19:58.741753+00:00
5,717,1.0444,2.0714,0.5709,0.4949,2026-08-19T06:19:58.774251+00:00
6,718,1.1698,2.4423,0.5986,0.423,2026-08-19T06:19:58.805747+00:00
7,722,1.1796,2.4235,0.5964,0.4182,2026-08-19T06:19:58.836218+00:00
8,725,1.041,2.2216,0.5141,0.4684,2026-08-19T06:19:58.866954+00:00
9,730,1.0209,2.1565,0.4869,0.4681,2026-08-19T06:19:58.896308+00:00
10,731,1.0019,2.1412,0.4788,0.5117,2026-08-19T06:19:58.926982+00:00
11,733,1.0819,2.3665,0.4629,0.4646,2026-08-19T06:19:58.956307+00:00
12,743,0.9867,2.1285,0.4253,0.5155,2026-08-19T06:19:58.988949+00:00
13,747,0.9734,2.0774,0.3715,0.5136,2026-08-19T06:19:59.020545+00:00
14,753,1.047,2.1587,0.3999,0.4862,2026-08-19T06:19:59.051109+00:00
15,757,1.0925,2.2877,0.4875,0.4982,2026-08-19T06:19:59.081557+00:00
16,758,1.0122,2.0796,0.4051,0.4829,2026-08-19T06:19:59.112046+00:00
17,686,1.0796,2.2588,0.3998,0.4775,2026-08-19T06:19:59.140533+00:00
18,700,0.8932,1.8819,0.2899,0.534,2026-08-19T06:19:59.176056+00:00
19,771,1.0186,2.1421,0.3103,0.4849,2026-08-19T06:19:59.206568+00:00
20,773,1.0267,2.1642,0.3285,0.5429,2026-08-19T06:19:59.237321+00:00
21,787,1.0431,2.084,0.3473,0.5032,2026-08-19T06:19:59.271809+00:00
22,799,1.0165,2.193,0.2602,0.5323,2026-08-19T06:19:59.303465+00:00
23,809,1.0171,2.2268,0.2173,0.4908,2026-08-19T06:19:59.334013+00:00
24,814,0.9766,2.0954,0.2161,0.5232,2026-08-19T06:19:59.366498+00:00
25,823,1.065,2.2353,0.1632,0.5503,2026-08-19T06:19:59.402366+00:00
26,649,1.0292,2.158,0.2223,0.4972,2026-08-19T06:19:59.434023+00:00
27,832,1.014,2.0251,0.2064,0.5408,2026-08-19T06:19:59.467770+00:00
28,838,1.0364,2.0223,0.0895,0.4923,2026-08-19T06:19:59.502322+00:00
29,344,0.8656,1.8111,0.1056,0.569,2026-08-19T06:19:59.524638+00:00
30,842,0.9434,1.9304,0.0841,0.5614,2026-08-19T06:19:59.556204+00:00
31,844,0.9585,1.9206,0.1041,0.5469,2026-08-19T06:19:59.588911+00:00
32,846,0.9105,1.813,0.0791,0.5902,2026-08-19T06:19:59.620429+00:00
33,851,1.027,2.1719,0.098,0.5276,2026-08-19T06:19:59.651973+00:00
34,815,1.3095,2.7104,0.1618,0.6059,2026-08-19T06:19:59.688694+00:00
35,859,0.9773,1.9953,0.006,0.5863,2026-08-19T06:19:59.722245+00:00
36,859,1.0314,2.164,0.1431,0.5804,2026-08-19T06:19:59.755804+00:00
37,861,1.0967,2.2171,0.0103,0.6293,2026-08-19T06:19:59.793656+00:00
38,865,0.9191,2.0503,0.0298,0.6325,2026-08-19T06:19:59.826488+00:00
29,344,0.8656,1.8111,0.1056,0.569,2026-08-19T06:32:09.245017+00:00
