season,split,min_p,n,alpha,beta,converged,iters,p90_fitted
2023-24,all,0.6,3128,0.567586,0.24203,1,5,75.01
2023-24,established,0.6,1504,1.054426,-0.119809,1,5,68.81
2023-24,new_club,0.6,1624,0.161469,0.543742,1,5,79.51
