gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
1,B0_xp,658,1.2935,2.0091,-0.1959,0.5069,41.0,13
1,B1_season_pts,658,1.1585,2.0552,0.1699,0.4289,28.0,0
1,B2_pp90,658,1.4432,2.3263,-0.3262,0.5267,50.0,13
1,B3_v1,658,1.23,2.1279,0.3363,0.3318,47.0,10
2,B0_xp,595,0.7529,1.4237,-0.0319,0.7757,88.0,16
2,B1_season_pts,595,14.279,33.9464,-13.3058,0.1217,15.0,0
2,B2_pp90,595,1.6684,2.6405,-0.4978,0.4822,11.0,1
2,B3_v1,595,1.2257,2.4222,0.5422,0.3863,26.0,2
3,B0_xp,685,0.8426,1.6229,0.0099,0.7034,102.0,10
3,B1_season_pts,685,5.4432,14.1982,-4.432,0.2758,1.0,0
3,B2_pp90,685,1.5612,2.6188,-0.3623,0.4728,1.0,0
3,B3_v1,685,1.0849,2.2646,0.5291,0.4132,23.0,0
4,B0_xp,703,0.8949,1.7129,0.0442,0.7836,96.0,20
4,B1_season_pts,703,3.8088,9.3866,-2.7291,0.344,6.0,0
4,B2_pp90,703,1.5391,2.5699,-0.3175,0.4868,5.0,0
4,B3_v1,703,1.157,2.4614,0.5988,0.4381,15.0,0
5,B0_xp,717,0.8721,1.5238,0.0127,0.7443,77.0,6
5,B1_season_pts,717,2.7997,6.5802,-1.7853,0.369,11.0,0
5,B2_pp90,717,1.4602,2.3436,-0.3294,0.4697,3.0,0
5,B3_v1,717,1.0444,2.0714,0.5709,0.4949,19.0,6
6,B0_xp,718,0.8795,1.5922,0.0896,0.6921,111.0,6
6,B1_season_pts,718,2.3725,5.2843,-1.247,0.3955,6.0,0
6,B2_pp90,718,1.5578,2.5494,-0.2983,0.4465,0.0,0
6,B3_v1,718,1.1698,2.4423,0.5986,0.423,10.0,0
7,B0_xp,722,0.8211,1.5298,0.0643,0.6908,129.0,12
7,B1_season_pts,722,2.0596,4.4268,-0.9303,0.4055,8.0,0
7,B2_pp90,722,1.631,2.7153,-0.2468,0.4147,5.0,0
7,B3_v1,722,1.1796,2.4235,0.5964,0.4182,14.0,4
8,B0_xp,725,0.764,1.5,0.0109,0.7538,91.0,6
8,B1_season_pts,725,1.7821,3.7847,-0.8379,0.4417,8.0,0
8,B2_pp90,725,1.5507,2.5775,-0.363,0.5034,1.0,0
8,B3_v1,725,1.041,2.2216,0.5141,0.4684,37.0,2
9,B0_xp,730,0.8007,1.4983,0.0412,0.7125,107.0,11
9,B1_season_pts,730,1.6482,3.3825,-0.6738,0.4504,35.0,0
9,B2_pp90,730,1.5395,2.5362,-0.329,0.4751,0.0,0
9,B3_v1,730,1.0209,2.1565,0.4869,0.4681,56.0,0
10,B0_xp,731,0.7349,1.4028,0.0531,0.685,120.0,8
10,B1_season_pts,731,1.5723,3.1003,-0.5883,0.4471,23.0,0
10,B2_pp90,731,1.4552,2.4351,-0.3217,0.433,3.0,0
10,B3_v1,731,1.0019,2.1412,0.4788,0.5117,33.0,0
11,B0_xp,733,0.8614,1.717,0.0327,0.7918,72.0,5
11,B1_season_pts,733,1.5825,3.1254,-0.4941,0.4392,13.0,0
11,B2_pp90,733,1.6019,2.7847,-0.3744,0.4651,39.0,5
11,B3_v1,733,1.0819,2.3665,0.4629,0.4646,22.0,3
12,B0_xp,743,0.8392,1.5589,0.0373,0.7177,117.0,16
12,B1_season_pts,743,1.4363,2.7421,-0.4454,0.4738,36.0,0
12,B2_pp90,743,1.5238,2.5356,-0.3964,0.4874,57.0,16
12,B3_v1,743,0.9867,2.1285,0.4253,0.5155,53.0,7
13,B0_xp,747,0.7624,1.4551,0.0451,0.7468,95.0,5
13,B1_season_pts,747,1.4063,2.6384,-0.4293,0.461,17.0,0
13,B2_pp90,747,1.5387,2.5532,-0.459,0.4747,31.0,5
13,B3_v1,747,0.9734,2.0774,0.3715,0.5136,20.0,0
14,B0_xp,753,0.8121,1.6351,0.0676,0.7437,64.0,7
14,B1_season_pts,753,1.3822,2.5311,-0.3389,0.4813,41.0,0
14,B2_pp90,753,1.5763,2.5947,-0.4072,0.4665,69.0,7
14,B3_v1,753,1.047,2.1587,0.3999,0.4862,28.0,0
15,B0_xp,757,0.9238,1.7537,0.1383,0.7524,97.0,12
15,B1_season_pts,757,1.4064,2.5837,-0.215,0.4844,29.0,0
15,B2_pp90,757,1.6,2.6462,-0.3469,0.4983,31.0,2
15,B3_v1,757,1.0925,2.2877,0.4875,0.4982,42.0,6
