gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
16,B0_xp,758,0.8704,1.6634,0.0678,0.7146,81.0,4
16,B1_season_pts,758,1.2954,2.3704,-0.2556,0.4923,35.0,0
16,B2_pp90,758,1.5155,2.4827,-0.465,0.5115,29.0,0
16,B3_v1,758,1.0122,2.0796,0.4051,0.4829,58.0,9
17,B0_xp,686,0.8644,1.7259,0.158,0.7074,89.0,9
17,B1_season_pts,686,1.363,2.5151,-0.2197,0.4734,26.0,0
17,B2_pp90,686,1.6079,2.6805,-0.5033,0.4972,49.0,3
17,B3_v1,686,1.0796,2.2588,0.3998,0.4775,22.0,3
18,B0_xp,700,0.873,1.6855,-0.0039,0.7119,64.0,5
18,B1_season_pts,700,1.1759,2.1413,-0.2618,0.5081,33.0,0
18,B2_pp90,700,1.4977,2.4854,-0.5282,0.5313,23.0,0
18,B3_v1,700,0.8932,1.8819,0.2899,0.534,66.0,7
19,B0_xp,771,0.8949,1.7585,0.0706,0.7191,84.0,8
19,B1_season_pts,771,1.2721,2.3393,-0.1974,0.4629,23.0,0
19,B2_pp90,771,1.6037,2.6713,-0.5432,0.4618,31.0,0
19,B3_v1,771,1.0186,2.1421,0.3103,0.4849,32.0,3
20,B0_xp,773,0.9247,1.762,0.105,0.6599,78.0,0
20,B1_season_pts,773,1.2448,2.2809,-0.1402,0.4893,48.0,0
20,B2_pp90,773,1.5269,2.5411,-0.5213,0.511,45.0,0
20,B3_v1,773,1.0267,2.1642,0.3285,0.5429,71.0,16
21,B0_xp,787,0.7248,1.4345,0.138,0.7516,126.0,19
21,B1_season_pts,787,1.2397,2.2542,-0.0892,0.4732,37.0,8
21,B2_pp90,787,1.4982,2.4579,-0.4775,0.5041,32.0,0
21,B3_v1,787,1.0431,2.084,0.3473,0.5032,26.0,0
22,B0_xp,799,0.6668,1.3239,-0.0213,0.7512,140.0,21
22,B1_season_pts,799,1.1891,2.2948,-0.1268,0.5166,26.0,0
22,B2_pp90,799,1.5272,2.5808,-0.5473,0.5564,27.0,0
22,B3_v1,799,1.0165,2.193,0.2602,0.5323,28.0,0
23,B0_xp,809,0.7446,1.5773,-0.0267,0.7471,105.0,20
23,B1_season_pts,809,1.1762,2.2402,-0.1481,0.4951,52.0,0
23,B2_pp90,809,1.526,2.5711,-0.598,0.5188,31.0,0
23,B3_v1,809,1.0171,2.2268,0.2173,0.4908,23.0,0
24,B0_xp,814,0.7467,1.5521,0.0211,0.7564,85.0,3
24,B1_season_pts,814,1.1222,2.13,-0.117,0.5032,53.0,0
24,B2_pp90,814,1.4989,2.505,-0.5975,0.5053,48.0,7
24,B3_v1,814,0.9766,2.0954,0.2161,0.5232,44.0,0
25,B0_xp,823,0.8262,1.6516,0.0017,0.7294,113.0,12
25,B1_season_pts,823,1.1712,2.2977,0.0394,0.5347,82.0,11
25,B2_pp90,823,1.5268,2.6055,-0.4613,0.5661,38.0,4
25,B3_v1,823,1.065,2.2353,0.1632,0.5503,61.0,10
26,B0_xp,649,1.0832,2.591,1.0524,0.4174,18.0,0
26,B1_season_pts,649,1.0857,2.0854,-0.039,0.504,44.0,0
26,B2_pp90,649,1.4826,2.5142,-0.564,0.5147,31.0,0
26,B3_v1,649,1.0292,2.158,0.2223,0.4972,76.0,5
27,B0_xp,832,0.7928,1.5226,0.0863,0.6654,110.0,7
27,B1_season_pts,832,1.0791,2.0251,-0.0542,0.5335,72.0,13
27,B2_pp90,832,1.503,2.4793,-0.6019,0.56,18.0,0
27,B3_v1,832,1.014,2.0251,0.2064,0.5408,54.0,6
28,B0_xp,838,0.7625,1.5168,-0.0253,0.7466,101.0,15
28,B1_season_pts,838,1.1388,2.1089,-0.0723,0.5023,30.0,2
28,B2_pp90,838,1.5568,2.5349,-0.6335,0.5188,35.0,1
28,B3_v1,838,1.0364,2.0223,0.0895,0.4923,49.0,8
29,B0_xp,344,0.7962,1.558,-0.0108,0.6967,45.0,2
29,B1_season_pts,344,0.9792,1.9023,-0.1399,0.5772,8.0,2
29,B2_pp90,344,1.5097,2.5074,-0.7258,0.5575,14.0,0
29,B3_v1,344,0.8656,1.8111,0.1056,0.569,31.0,2
30,B0_xp,842,0.6974,1.4634,0.0249,0.7531,93.0,15
30,B1_season_pts,842,1.0439,2.0014,-0.1023,0.5185,66.0,1
30,B2_pp90,842,1.4459,2.42,-0.7267,0.5801,44.0,0
30,B3_v1,842,0.9434,1.9304,0.0841,0.5614,53.0,7
31,B0_xp,844,0.6624,1.3216,0.0414,0.7353,129.0,20
31,B1_season_pts,844,1.0418,1.9601,-0.0669,0.5099,64.0,0
31,B2_pp90,844,1.4947,2.4608,-0.6974,0.5261,57.0,0
31,B3_v1,844,0.9585,1.9206,0.1041,0.5469,62.0,0
32,B0_xp,846,0.7967,1.5581,0.0409,0.6824,71.0,5
32,B1_season_pts,846,0.9679,1.8458,-0.0766,0.5675,61.0,13
32,B2_pp90,846,1.4159,2.316,-0.7055,0.598,43.0,0
32,B3_v1,846,0.9105,1.813,0.0791,0.5902,55.0,8
33,B0_xp,851,0.8172,1.689,0.0557,0.6928,155.0,26
33,B1_season_pts,851,1.1105,2.2204,-0.028,0.4982,56.0,7
33,B2_pp90,851,1.6048,2.6442,-0.669,0.5297,50.0,1
33,B3_v1,851,1.027,2.1719,0.098,0.5276,64.0,2
34,B0_xp,815,0.9787,1.9528,0.1109,0.6957,182.0,26
34,B1_season_pts,815,1.3346,2.8954,0.4108,0.5636,85.0,0
34,B2_pp90,815,1.6913,3.074,-0.242,0.5798,81.0,0
34,B3_v1,815,1.3095,2.7104,0.1618,0.6059,85.0,3
35,B0_xp,859,0.7977,1.6022,-0.0116,0.6925,117.0,8
35,B1_season_pts,859,0.9974,2.0283,-0.0136,0.5548,61.0,2
35,B2_pp90,859,1.4642,2.4842,-0.7058,0.5842,33.0,8
35,B3_v1,859,0.9773,1.9953,0.006,0.5863,55.0,8
36,B0_xp,859,0.7695,1.6408,0.1073,0.6967,100.0,6
36,B1_season_pts,859,1.0671,2.1636,0.0472,0.5522,53.0,2
36,B2_pp90,859,1.4831,2.5044,-0.6461,0.5951,65.0,0
36,B3_v1,859,1.0314,2.164,0.1431,0.5804,86.0,13
37,B0_xp,861,0.7589,1.4914,-0.0137,0.7405,140.0,27
37,B1_season_pts,861,1.1183,2.3164,0.2136,0.5734,69.0,2
37,B2_pp90,861,1.4858,2.6034,-0.495,0.5972,78.0,12
37,B3_v1,861,1.0967,2.2171,0.0103,0.6293,88.0,15
38,B0_xp,865,0.8462,1.7209,0.0486,0.5827,109.0,2
38,B1_season_pts,865,1.0401,2.1522,-0.0534,0.516,37.0,6
38,B2_pp90,865,1.5481,2.5766,-0.7633,0.542,46.0,6
38,B3_v1,865,0.9191,2.0503,0.0298,0.6325,52.0,6
