season,split,bucket,n,start_pct,zero_min_pct,avg_pts
2023-24,all,0.90-1.00,645,78.45,20.0,2.946
2023-24,all,0.80-0.90,977,71.14,21.39,2.868
2023-24,all,0.70-0.80,166,53.61,30.12,2.837
2023-24,all,0.60-0.70,1340,69.1,18.73,2.893
2023-24,all,<0.60,25614,23.95,66.44,0.868
2023-24,established,0.90-1.00,255,77.65,20.39,3.18
2023-24,established,0.80-0.90,521,67.56,26.1,2.904
2023-24,established,0.70-0.80,91,53.85,29.67,3.088
2023-24,established,0.60-0.70,637,73.63,17.27,3.074
2023-24,established,<0.60,10777,25.67,65.14,0.97
2023-24,new_club,0.90-1.00,390,78.97,19.74,2.792
2023-24,new_club,0.80-0.90,456,75.22,16.01,2.827
2023-24,new_club,0.70-0.80,75,53.33,30.67,2.533
2023-24,new_club,0.60-0.70,703,65.01,20.06,2.728
2023-24,new_club,<0.60,14837,22.7,67.38,0.793
