season,split,min_p,n,alpha,beta,converged,iters,p90_fitted
2022-23,all,0.6,2634,0.646003,0.261012,1,5,77.2
2022-23,established,0.6,794,-0.008964,1.002845,1,3,89.98
2022-23,new_club,0.6,1840,0.917676,-0.036577,1,5,69.79
