season,gw,evaluation_status,player_id,web_name,position,now_cost,in_b0_xi,in_v1_xi,in_b0_squad,in_v1_squad,is_v1_captain,is_b0_captain,actual_points,v1_mu,b0_mu,v1_horizon_u,v1_p_start,horizon_flag,minutes_flag,fixture_flag,price_value_flag,captain_flag,projection_rank_flag
2022-23,1,clean,13,Saka,MID,80,0,1,0,1,0,0,6.0,3.1268,3.2,15.7441,0.72,1,0,0,0,0,0
2022-23,1,clean,139,Chilwell,DEF,60,1,0,1,0,0,0,9.0,1.5876,3.5,7.8943,0.45,0,0,0,0,0,1
2022-23,1,clean,148,Gallagher,MID,60,1,0,1,0,0,0,1.0,1.5844,2.7,7.379,0.45,0,0,0,0,0,0
2022-23,1,clean,160,Zaha,MID,70,0,1,0,1,0,0,2.0,3.1552,1.9,14.2514,0.72,1,0,0,0,0,0
2022-23,1,clean,227,Bamford,FWD,75,0,1,0,1,0,0,5.0,2.826,1.9,12.9529,0.72,1,0,0,0,0,0
2022-23,1,clean,238,Meslier,GKP,45,0,1,0,1,0,0,3.0,3.364,1.7,14.9978,0.88,1,0,0,1,0,0
2022-23,1,clean,280,Van Dijk,DEF,65,1,0,1,0,0,0,1.0,1.4556,4.8,7.8542,0.45,0,0,0,0,0,0
2022-23,1,clean,284,Robertson,DEF,70,1,1,1,1,0,0,1.0,2.3384,5.2,11.823,0.72,0,0,0,0,0,0
2022-23,1,clean,285,Alexander-Arnold,DEF,75,1,1,1,1,0,1,1.0,2.4416,5.5,12.3812,0.72,0,0,0,0,1,0
2022-23,1,clean,306,Cancelo,DEF,70,1,1,1,1,0,0,7.0,2.3264,4.7,11.7014,0.72,0,0,0,0,0,0
2022-23,1,clean,307,Ederson,GKP,55,1,0,1,0,0,0,7.0,2.3832,5.0,12.0681,0.88,0,0,0,0,0,1
2022-23,1,clean,318,Haaland,FWD,115,1,0,1,0,0,0,13.0,3.3592,5.0,16.4417,0.72,0,0,0,0,0,1
2022-23,1,clean,340,Sancho,MID,75,1,0,1,0,0,0,2.0,2.7492,3.1,12.6214,0.72,0,0,0,0,0,0
2022-23,1,clean,345,Martial,FWD,70,0,1,0,1,0,0,0.0,2.8292,0.0,12.4662,0.72,1,0,0,0,0,0
2022-23,1,clean,356,Wilson,FWD,75,0,1,0,1,0,0,6.0,2.9584,2.9,12.9646,0.72,1,0,0,0,0,0
2022-23,1,clean,374,Bruno Guimarães,MID,60,1,0,1,0,0,0,3.0,1.646,2.7,7.4967,0.45,0,0,0,0,0,1
2022-23,1,clean,427,Kane,FWD,115,1,0,1,0,0,0,2.0,3.66,4.4,16.3846,0.72,0,0,0,0,0,0
2022-23,1,clean,428,Son,MID,120,0,1,0,1,1,0,5.0,4.0436,4.2,17.598,0.72,1,0,0,0,1,0
2022-23,1,clean,465,Bowen,MID,85,0,1,0,1,0,0,2.0,3.1572,1.8,14.1287,0.72,1,0,0,0,0,0
