gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
22,B2_pp90,740,1.6741,2.6558,-0.5517,0.4964,37.0,2
22,B3_v1,740,1.1218,2.2456,0.4266,0.5051,54.0,4
23,B0_xp,745,0.7656,1.4341,-0.0454,0.8182,116.0,14
23,B1_season_pts,745,1.1414,2.0751,-0.0693,0.5281,80.0,10
23,B2_pp90,745,1.5724,2.4763,-0.6449,0.5556,44.0,10
23,B3_v1,745,1.0023,2.0614,0.3238,0.5315,70.0,3
24,B0_xp,746,0.7131,1.4049,0.0895,0.8156,113.0,15
24,B1_season_pts,746,1.1656,2.0192,-0.054,0.5339,47.0,2
24,B2_pp90,746,1.5953,2.4614,-0.6414,0.5088,36.0,2
24,B3_v1,746,1.0006,2.0349,0.4025,0.5497,42.0,3
25,B0_xp,602,1.0586,1.9926,0.1836,0.7591,118.0,13
25,B1_season_pts,602,1.4375,2.7918,0.3355,0.5166,52.0,10
25,B2_pp90,602,1.7284,2.9971,-0.2509,0.5345,44.0,10
25,B3_v1,602,1.2988,2.8023,0.5487,0.5616,87.0,2
26,B0_xp,747,0.9218,1.7814,0.1111,0.7317,84.0,21
26,B1_season_pts,747,1.326,2.3561,-0.0039,0.4964,35.0,4
26,B2_pp90,747,1.7602,2.7729,-0.6253,0.4837,39.0,4
26,B3_v1,747,1.1092,2.3183,0.4188,0.5345,50.0,2
27,B0_xp,750,0.9329,1.6768,0.0425,0.7633,87.0,12
27,B1_season_pts,750,1.2368,2.1928,0.1911,0.5874,75.0,6
27,B2_pp90,750,1.6514,2.5668,-0.4478,0.535,45.0,6
27,B3_v1,750,1.169,2.2916,0.4565,0.5443,75.0,9
28,B0_xp,539,0.7696,1.5066,0.0108,0.7051,119.0,18
28,B1_season_pts,539,1.1441,2.0291,-0.134,0.4883,36.0,0
28,B2_pp90,539,1.6073,2.5192,-0.749,0.5063,15.0,0
28,B3_v1,539,0.9902,2.0617,0.2713,0.5068,41.0,2
29,B0_xp,754,0.808,1.4795,0.0743,0.8334,152.0,17
29,B1_season_pts,754,1.4862,2.7265,0.5754,0.584,64.0,0
29,B2_pp90,754,1.8421,2.9263,-0.0829,0.5325,66.0,0
29,B3_v1,754,1.4441,2.693,0.4456,0.5696,93.0,0
30,B0_xp,754,0.7454,1.4647,0.013,0.7854,85.0,12
30,B1_season_pts,754,1.1003,1.9051,-0.1221,0.5415,50.0,12
30,B2_pp90,754,1.6422,2.4833,-0.7766,0.5204,45.0,12
30,B3_v1,754,0.9891,1.9719,0.2388,0.5243,48.0,0
31,B0_xp,759,0.7814,1.5201,0.0715,0.749,103.0,7
31,B1_season_pts,759,1.1615,2.184,-0.0606,0.5452,51.0,12
31,B2_pp90,759,1.7154,2.6783,-0.7266,0.5135,45.0,12
31,B3_v1,759,1.0279,2.1713,0.2797,0.5667,80.0,12
32,B0_xp,611,0.7877,1.546,0.0885,0.7195,56.0,2
32,B1_season_pts,611,1.0712,2.0038,-0.0311,0.5617,51.0,0
32,B2_pp90,611,1.5675,2.4623,-0.6754,0.5435,20.0,0
32,B3_v1,611,1.013,2.1171,0.2829,0.5565,39.0,0
33,B0_xp,761,0.7803,1.5551,0.0247,0.7935,104.0,19
33,B1_season_pts,761,1.0938,1.9777,-0.0957,0.548,73.0,14
33,B2_pp90,761,1.629,2.529,-0.8182,0.5319,74.0,14
33,B3_v1,761,0.9898,2.0103,0.202,0.5775,67.0,14
34,B0_xp,762,1.0106,1.9561,0.0277,0.7089,132.0,16
34,B1_season_pts,762,1.3505,2.6113,0.2704,0.5609,81.0,16
34,B2_pp90,762,1.7628,2.8901,-0.4737,0.5418,61.0,16
34,B3_v1,762,1.2059,2.4136,0.267,0.5949,120.0,18
