season,gw,evaluation_status,structural_flags,n_fixtures,n_actual_rows,n_unique_actuals,n_duplicate_ids,n_with_minutes,n_snapshot,inspect_v1_lt_15,inspect_b0_gt_80,b0_xi_cap,v1_xi_cap,v1_gw1_xi_cap,hindsight_oracle_cap,squad_overlap,xi_overlap,hindsight_squad_regret,hindsight_xi_regret,hindsight_cap_regret,vs_b0_gap,solver_error
2022-23,1,clean,,10,573,573,0,297,778,0,0,48.0,43.0,43.0,148.0,3,3,103.0,0.0,2.0,5.0,
2022-23,2,clean,,10,581,581,0,299,778,0,1,114.0,26.0,26.0,159.0,2,1,115.0,4.0,14.0,88.0,
2022-23,3,clean,,10,592,592,0,291,778,1,1,103.0,12.0,13.0,139.0,1,1,123.0,1.0,3.0,91.0,
2022-23,4,clean,,10,601,601,0,302,778,0,1,134.0,19.0,31.0,167.0,1,0,134.0,8.0,6.0,115.0,
2022-23,5,clean,,10,608,608,0,284,778,1,0,79.0,8.0,12.0,128.0,1,0,111.0,5.0,4.0,71.0,
2022-23,6,clean,,10,624,624,0,295,778,1,1,99.0,8.0,8.0,150.0,3,1,131.0,10.0,1.0,91.0,
2022-23,7,excluded,missing_actuals;no_fixtures_no_minutes;bgw_or_short;zero_fixtures,0,0,0,0,0,778,0,0,,,,,,,,,,,
2022-23,8,flagged,bgw_or_short,7,440,440,0,211,778,0,1,82.0,17.0,27.0,130.0,0,0,106.0,0.0,7.0,65.0,
2022-23,9,clean,,10,638,638,0,303,778,0,1,160.0,32.0,24.0,183.0,0,0,140.0,11.0,0.0,128.0,
2022-23,10,clean,,10,641,641,0,298,778,0,0,72.0,26.0,25.0,126.0,1,1,85.0,9.0,6.0,46.0,
2022-23,11,clean,,10,643,643,0,297,778,0,0,67.0,22.0,24.0,132.0,1,1,89.0,15.0,6.0,45.0,
2022-23,12,flagged,bgw_or_short,9,585,585,0,270,778,0,0,21.0,45.0,54.0,123.0,1,0,75.0,3.0,0.0,-24.0,
2022-23,13,clean,,10,648,648,0,298,778,0,1,103.0,26.0,13.0,141.0,1,1,100.0,4.0,11.0,77.0,
2022-23,14,clean,,10,656,656,0,294,778,0,1,83.0,52.0,47.0,156.0,3,3,97.0,6.0,1.0,31.0,
2022-23,15,clean,,10,661,661,0,297,778,0,1,108.0,28.0,34.0,143.0,3,3,99.0,4.0,12.0,80.0,
2022-23,16,clean,,10,667,667,0,293,778,0,1,116.0,24.0,27.0,144.0,2,2,108.0,10.0,2.0,92.0,
2022-23,17,clean,,10,675,675,0,299,778,0,1,145.0,33.0,22.0,146.0,1,1,101.0,6.0,6.0,112.0,
2022-23,18,clean,,10,678,678,0,298,778,0,1,97.0,30.0,25.0,127.0,2,2,78.0,8.0,11.0,67.0,
2022-23,19,flagged,duplicate_gw_rows;dgw_or_long,11,765,689,76,311,778,0,1,123.0,65.0,54.0,149.0,3,3,76.0,6.0,2.0,58.0,
2022-23,20,flagged,duplicate_gw_rows;dgw_or_long,12,834,699,135,309,778,0,1,130.0,33.0,67.0,162.0,2,1,119.0,9.0,1.0,97.0,
2022-23,21,clean,,10,707,707,0,290,778,0,1,84.0,52.0,52.0,139.0,3,3,68.0,8.0,11.0,32.0,
2022-23,22,flagged,duplicate_gw_rows;dgw_or_long,11,815,740,75,310,778,0,1,125.0,79.0,54.0,162.0,2,2,80.0,3.0,0.0,46.0,
2022-23,23,flagged,duplicate_gw_rows;dgw_or_long,11,810,745,65,302,778,0,1,116.0,57.0,70.0,144.0,3,2,80.0,2.0,5.0,59.0,
2022-23,24,clean,,10,746,746,0,305,778,0,1,113.0,45.0,40.0,136.0,2,0,78.0,3.0,10.0,68.0,
2022-23,25,flagged,duplicate_gw_rows,10,748,602,146,245,778,0,1,118.0,94.0,87.0,180.0,3,3,81.0,1.0,4.0,24.0,
2022-23,26,clean,,10,747,747,0,297,778,0,1,84.0,49.0,56.0,169.0,3,2,98.0,3.0,19.0,35.0,
2022-23,27,flagged,duplicate_gw_rows;dgw_or_long,12,898,750,148,311,778,0,1,87.0,86.0,76.0,144.0,2,1,51.0,2.0,5.0,1.0,
2022-23,28,flagged,bgw_or_short,7,539,539,0,209,778,0,1,119.0,33.0,41.0,135.0,3,2,87.0,11.0,4.0,86.0,
2022-23,29,flagged,duplicate_gw_rows;dgw_or_long,16,1213,754,459,324,778,0,1,152.0,99.0,93.0,173.0,2,2,51.0,6.0,17.0,53.0,
2022-23,30,clean,,10,754,754,0,301,778,0,1,85.0,49.0,47.0,132.0,2,1,72.0,2.0,9.0,36.0,
2022-23,31,clean,,10,759,759,0,301,778,0,1,103.0,64.0,60.0,160.0,2,1,72.0,22.0,2.0,39.0,
2022-23,32,flagged,bgw_or_short,8,611,611,0,243,778,0,0,56.0,41.0,52.0,138.0,3,2,94.0,2.0,1.0,15.0,
2022-23,33,clean,,10,761,761,0,297,778,0,1,104.0,85.0,67.0,158.0,2,2,62.0,6.0,5.0,19.0,
2022-23,34,flagged,duplicate_gw_rows;dgw_or_long,13,977,762,215,312,778,0,1,132.0,108.0,122.0,185.0,6,6,69.0,8.0,0.0,24.0,
