season,gw,n,spearman,mae,bias,leakage_flag
2022-23,1,573,0.4538,1.4487,-0.1604,0
2022-23,2,581,0.7385,0.9325,0.0575,1
2022-23,3,592,0.7027,1.0194,0.0258,1
2022-23,4,601,0.7351,1.0388,0.0567,1
2022-23,5,608,0.69,1.0183,-0.0475,0
2022-23,6,624,0.7467,1.0699,0.0096,1
2022-23,7,0,,,,0
2022-23,8,440,0.7766,0.9464,0.1491,1
2022-23,9,638,0.8187,0.7376,0.0702,1
2022-23,10,641,0.7715,0.8409,-0.0259,1
2022-23,11,643,0.8042,0.9118,0.0736,1
2022-23,12,585,0.4015,1.3932,1.3726,0
2022-23,13,648,0.72,1.0674,0.0174,1
2022-23,14,656,0.7172,1.0558,0.0457,1
2022-23,15,661,0.7607,0.9135,-0.0257,1
2022-23,16,667,0.7342,0.9283,-0.0078,1
2022-23,17,675,0.8563,0.3154,0.015,1
2022-23,18,678,0.7789,0.7494,-0.0181,1
2022-23,19,689,0.7853,0.863,-0.0203,1
2022-23,20,699,0.7835,0.8999,0.0186,1
2022-23,21,707,0.7651,0.8736,0.1197,1
2022-23,22,740,0.7705,0.8788,-0.0093,1
2022-23,23,745,0.7858,0.7656,-0.0454,1
2022-23,24,746,0.8357,0.7131,0.0895,1
2022-23,25,602,0.7696,1.0586,0.1836,1
2022-23,26,747,0.7485,0.9218,0.1111,1
2022-23,27,750,0.774,0.9329,0.0425,1
2022-23,28,539,0.7587,0.7696,0.0108,1
2022-23,29,754,0.8456,0.808,0.0743,1
2022-23,30,754,0.7783,0.7454,0.013,1
2022-23,31,759,0.7532,0.7814,0.0715,1
2022-23,32,611,0.7569,0.7877,0.0885,1
2022-23,33,761,0.7725,0.7803,0.0247,1
2022-23,34,762,0.7211,1.0106,0.0277,1
2022-23,35,763,0.7516,0.8902,0.1033,1
2022-23,36,765,0.4641,1.2392,1.2314,0
2022-23,37,775,0.7646,0.9626,-0.0093,1
2022-23,38,778,0.731,0.8339,0.0553,1
