season,e024_gate,candidate,gw,xi0_worse_gw,rule_choice,score_rule,xi0_rule,cap_rule,xi0_ctrl,xi0_cand,xi0_hold,cap_ctrl,cap_cand,cap_hold,score_ctrl,score_cand,score_hold,pair_feasible,pair_reason,xi0_pair,cap_pair,score_pair,n_hold_swaps,n_menu
2023-24,PASS,v1_adxg,2,0,pair,42.3164,2,30.0,2,1,1,30.0,36.0,36.0,41.6244,42.0776,42.0776,1,ok,2,30.0,42.3164,0,4
2023-24,PASS,v1_adxg,3,1,pair,39.876,1,50.0,1,2,1,51.0,65.0,67.0,37.6008,38.5876,38.3288,1,ok,1,50.0,39.876,1,4
2023-24,PASS,v1_adxg,4,0,hold,32.0904,2,38.0,2,2,2,35.0,38.0,38.0,32.0288,32.0904,32.0904,1,ok,2,38.0,32.0904,0,4
2023-24,PASS,v1_adxg,5,0,hold,41.6004,1,45.0,1,1,1,38.0,45.0,45.0,41.2056,41.6004,41.6004,1,ok,1,36.0,41.5888,0,4
2023-24,PASS,v1_adxg,6,0,hold,45.7564,0,70.0,0,0,0,59.0,70.0,70.0,45.3876,45.7564,45.7564,1,ok,0,69.0,45.5404,0,4
2023-24,PASS,v1_adxg,7,0,hold,50.258,0,51.0,0,0,0,66.0,51.0,51.0,50.164,50.258,50.258,1,ok,0,51.0,50.258,0,4
2023-24,PASS,v1_adxg,8,0,pair,44.3692,0,60.0,0,0,0,59.0,59.0,59.0,43.9128,44.102,44.102,1,ok,0,60.0,44.3692,0,4
2023-24,PASS,v1_adxg,9,0,hold,46.7544,0,94.0,0,0,0,98.0,94.0,94.0,46.2928,46.7544,46.7544,1,ok,0,103.0,46.724,0,4
2023-24,PASS,v1_adxg,10,1,cand,46.8928,2,66.0,1,2,1,65.0,66.0,76.0,46.0392,46.8928,46.8912,1,ok,1,70.0,46.5756,1,4
2023-24,PASS,v1_adxg,11,0,pair,49.0552,0,20.0,0,0,0,21.0,21.0,21.0,48.8472,48.9676,48.9676,1,ok,0,20.0,49.0552,0,4
2023-24,PASS,v1_adxg,13,0,pair,45.19,0,45.0,0,0,0,40.0,40.0,40.0,44.9284,45.1168,45.1168,1,ok,0,45.0,45.19,0,4
2023-24,PASS,v1_adxg,14,0,pair,51.0812,0,60.0,0,0,0,57.0,49.0,49.0,50.88,50.9592,50.9592,1,ok,0,60.0,51.0812,0,4
2023-24,PASS,v1_adxg,15,0,pair,47.2116,0,41.0,0,0,0,39.0,34.0,34.0,46.134,46.9536,46.9536,1,ok,0,41.0,47.2116,0,4
2023-24,PASS,v1_adxg,16,0,hold,46.1128,1,59.0,1,1,1,55.0,59.0,59.0,45.4508,46.1128,46.1128,1,ok,1,60.0,45.7348,0,4
2023-24,PASS,v1_adxg,17,0,hold,48.3448,1,57.0,1,1,1,59.0,57.0,57.0,47.9224,48.3448,48.3448,1,ok,1,60.0,48.1496,0,4
2023-24,PASS,v1_adxg,19,0,pair,46.6848,0,36.0,0,0,0,28.0,33.0,33.0,46.1556,46.6136,46.6136,1,ok,0,36.0,46.6848,0,4
2023-24,PASS,v1_adxg,20,0,hold,48.1092,0,93.0,0,0,0,84.0,93.0,93.0,47.2464,48.1092,48.1092,1,ok,0,90.0,47.7816,0,4
2023-24,PASS,v1_adxg,21,0,hold,45.0468,0,43.0,0,0,0,43.0,43.0,43.0,44.8104,45.0468,45.0468,1,ok,0,43.0,45.0468,0,4
2023-24,PASS,v1_adxg,22,0,pair,47.354,0,85.0,0,0,0,69.0,78.0,78.0,46.658,47.2624,47.2624,1,ok,0,85.0,47.354,0,4
2023-24,PASS,v1_adxg,23,0,hold,44.1996,0,70.0,0,0,0,54.0,70.0,70.0,44.0348,44.1996,44.1996,1,ok,0,71.0,44.1988,0,4
2023-24,PASS,v1_adxg,24,0,hold,50.852,0,80.0,0,0,0,66.0,80.0,80.0,49.5488,50.852,50.852,1,ok,0,68.0,50.3748,0,4
2023-24,PASS,v1_adxg,26,0,hold,51.4404,0,69.0,0,0,0,81.0,69.0,69.0,51.0944,51.4404,51.4404,1,ok,0,65.0,51.2952,0,4
2023-24,PASS,v1_adxg,27,0,hold,53.2284,0,82.0,1,0,0,74.0,82.0,82.0,52.598,53.2284,53.2284,1,ok,1,75.0,52.918,0,4
2023-24,PASS,v1_adxg,28,0,hold,69.3188,0,49.0,0,0,0,48.0,49.0,49.0,68.8296,69.3188,69.3188,1,ok,0,49.0,69.3188,0,4
2023-24,PASS,v1_adxg,29,0,hold,41.9188,0,20.0,0,0,0,31.0,20.0,20.0,41.3216,41.9188,41.9188,1,ok,0,30.0,41.5928,0,4
2023-24,PASS,v1_adxg,30,1,pair,52.552,1,42.0,0,1,1,49.0,43.0,43.0,52.5008,52.5168,52.5168,1,ok,1,42.0,52.552,0,4
2023-24,PASS,v1_adxg,31,0,pair,58.1664,2,61.0,2,2,2,57.0,48.0,48.0,57.3108,58.1528,58.1528,1,ok,2,61.0,58.1664,0,4
2023-24,PASS,v1_adxg,32,1,cand,54.6564,2,52.0,1,2,1,50.0,52.0,55.0,53.1696,54.6564,54.3952,1,ok,1,56.0,54.65,1,4
2023-24,PASS,v1_adxg,33,0,hold,61.8236,0,63.0,0,0,0,81.0,63.0,63.0,60.3212,61.8236,61.8236,1,ok,0,81.0,61.4432,0,4
2023-24,PASS,v1_adxg,34,0,hold,104.604,0,103.0,0,0,0,104.0,103.0,103.0,104.5388,104.604,104.604,1,ok,0,103.0,104.604,0,4
2023-24,PASS,v1_adxg,35,0,hold,81.8432,0,86.0,0,0,0,84.0,86.0,86.0,81.1484,81.8432,81.8432,0,primary_unpaired,,,,0,3
2023-24,PASS,v1_adxg,36,1,hold,63.1032,1,95.0,0,1,1,92.0,95.0,95.0,62.5896,63.1032,63.1032,1,ok,1,99.0,62.8704,0,4
2023-24,PASS,v1_adxg,37,0,hold,108.0412,0,119.0,0,0,0,95.0,119.0,119.0,106.9772,108.0412,108.0412,1,ok,0,119.0,107.846,0,4
2023-24,PASS,v1_adxg,38,0,hold,64.3248,0,47.0,0,0,0,55.0,47.0,47.0,63.1264,64.3248,64.3248,1,ok,0,36.0,64.172,0,4
2024-25,PASS,v1_adxg,1,1,pair,40.2084,2,55.0,1,2,2,51.0,58.0,58.0,40.1736,40.2044,40.2044,1,ok,2,55.0,40.2084,0,4
2024-25,PASS,v1_adxg,2,1,cand,50.164,3,77.0,2,3,2,61.0,77.0,80.0,48.548,50.164,49.8756,1,ok,2,87.0,49.2596,1,4
2024-25,PASS,v1_adxg,3,1,hold,43.8648,3,58.0,2,3,3,54.0,58.0,58.0,43.1964,43.8648,43.8648,1,ok,3,52.0,43.5688,0,4
2024-25,PASS,v1_adxg,5,0,pair,42.2344,2,75.0,2,1,1,61.0,77.0,77.0,41.6568,41.83,41.83,1,ok,2,75.0,42.2344,0,4
2024-25,PASS,v1_adxg,6,1,pair,45.5984,1,54.0,0,1,1,55.0,45.0,45.0,45.2768,45.2988,45.2988,1,ok,1,54.0,45.5984,0,4
2024-25,PASS,v1_adxg,7,0,pair,49.2,1,58.0,1,1,1,57.0,46.0,46.0,47.6148,48.452,48.452,1,ok,1,58.0,49.2,0,4
2024-25,PASS,v1_adxg,8,0,pair,46.3864,0,53.0,0,0,0,47.0,58.0,58.0,45.8572,46.168,46.168,1,ok,0,53.0,46.3864,0,4
2024-25,PASS,v1_adxg,9,0,hold,47.4412,0,63.0,0,0,0,49.0,63.0,63.0,46.6088,47.4412,47.4412,1,ok,0,62.0,47.3376,0,4
2024-25,PASS,v1_adxg,10,0,hold,45.7132,0,59.0,0,0,0,57.0,59.0,59.0,45.4416,45.7132,45.7132,1,ok,0,62.0,45.5792,0,4
2024-25,PASS,v1_adxg,11,0,hold,46.3392,0,65.0,0,0,0,64.0,65.0,65.0,45.8864,46.3392,46.3392,1,ok,0,65.0,46.1608,0,4
2024-25,PASS,v1_adxg,12,0,hold,45.5352,0,43.0,0,0,0,45.0,43.0,43.0,45.4324,45.5352,45.5352,1,ok,0,43.0,45.5352,0,4
2024-25,PASS,v1_adxg,14,0,hold,48.2512,0,68.0,1,0,0,65.0,68.0,68.0,48.0252,48.2512,48.2512,1,ok,0,69.0,48.184,0,4
2024-25,PASS,v1_adxg,15,0,hold,46.1204,0,60.0,0,0,0,64.0,60.0,60.0,45.5972,46.1204,46.1204,1,ok,0,59.0,46.0052,0,4
2024-25,PASS,v1_adxg,16,0,hold,48.5936,0,42.0,0,0,0,47.0,42.0,42.0,47.9068,48.5936,48.5936,1,ok,0,40.0,48.4836,0,4
2024-25,PASS,v1_adxg,17,0,hold,45.4324,0,38.0,0,0,0,38.0,38.0,38.0,44.256,45.4324,45.4324,1,ok,0,35.0,44.8412,0,4
2024-25,PASS,v1_adxg,19,0,hold,48.494,0,74.0,1,0,0,64.0,74.0,74.0,47.5204,48.494,48.494,1,ok,0,65.0,48.0432,0,4
2024-25,PASS,v1_adxg,20,1,cand,51.2824,1,82.0,0,1,0,75.0,82.0,83.0,50.8876,51.2824,51.248,1,ok,0,87.0,51.1224,1,4
2024-25,PASS,v1_adxg,21,0,hold,48.4616,0,39.0,1,0,0,47.0,39.0,39.0,47.762,48.4616,48.4616,1,ok,1,46.0,48.3032,0,4
2024-25,PASS,v1_adxg,22,0,hold,49.7692,0,38.0,0,0,0,38.0,38.0,38.0,48.7036,49.7692,49.7692,1,ok,0,37.0,49.1928,0,4
2024-25,PASS,v1_adxg,23,1,cand,53.5128,1,65.0,0,1,0,65.0,65.0,67.0,53.0308,53.5128,53.3084,1,ok,0,69.0,53.4732,1,4
2024-25,PASS,v1_adxg,25,0,ctrl,84.7808,0,108.0,0,0,0,108.0,113.0,113.0,84.7808,84.7184,84.7184,1,ok,0,113.0,84.7184,0,4
2024-25,PASS,v1_adxg,26,0,pair,52.2396,1,66.0,2,1,1,65.0,60.0,60.0,52.0656,52.148,52.148,1,ok,1,66.0,52.2396,0,4
2024-25,PASS,v1_adxg,27,0,pair,56.6464,1,60.0,1,0,0,58.0,72.0,72.0,56.284,56.3904,56.3904,1,ok,1,60.0,56.6464,0,4
2024-25,PASS,v1_adxg,28,0,hold,58.592,0,69.0,0,0,0,60.0,69.0,69.0,57.892,58.592,58.592,1,ok,0,67.0,58.298,0,4
2024-25,PASS,v1_adxg,29,0,hold,49.8944,1,56.0,2,1,1,56.0,56.0,56.0,49.5576,49.8944,49.8944,1,ok,2,53.0,49.6588,0,4
2024-25,PASS,v1_adxg,30,0,hold,57.3712,1,58.0,1,1,1,48.0,58.0,58.0,56.3008,57.3712,57.3712,1,ok,1,46.0,56.7016,0,4
2024-25,PASS,v1_adxg,31,0,pair,53.7076,0,45.0,0,0,0,41.0,50.0,50.0,53.3504,53.5832,53.5832,1,ok,0,45.0,53.7076,0,4
2024-25,PASS,v1_adxg,32,0,hold,81.5652,0,82.0,0,0,0,98.0,82.0,82.0,80.7732,81.5652,81.5652,1,ok,0,83.0,81.3492,0,4
2024-25,PASS,v1_adxg,33,0,pair,87.4812,0,87.0,0,0,0,94.0,93.0,93.0,86.3912,87.3588,87.3588,1,ok,0,87.0,87.4812,0,4
2024-25,PASS,v1_adxg,34,0,hold,58.2656,0,63.0,0,0,0,58.0,63.0,63.0,57.4456,58.2656,58.2656,1,ok,0,59.0,57.7148,0,4
2024-25,PASS,v1_adxg,35,0,hold,55.312,0,49.0,0,0,0,54.0,49.0,49.0,54.6432,55.312,55.312,1,ok,0,49.0,55.312,0,4
2024-25,PASS,v1_adxg,36,0,hold,56.8608,0,45.0,1,0,0,33.0,45.0,45.0,55.6328,56.8608,56.8608,1,ok,1,38.0,56.238,0,4
2024-25,PASS,v1_adxg,37,0,pair,56.688,2,34.0,1,1,1,49.0,35.0,35.0,56.4232,56.5828,56.5828,1,ok,2,34.0,56.688,0,4
2024-25,PASS,v1_adxg,38,0,hold,57.9644,0,49.0,0,0,0,45.0,49.0,49.0,56.9488,57.9644,57.9644,1,ok,0,48.0,57.5312,0,4
2025-26,FAIL,v1_adxg,1,0,pair,39.2948,1,53.0,1,0,0,53.0,70.0,70.0,38.6688,39.0608,39.0608,1,ok,1,53.0,39.2948,0,4
2025-26,FAIL,v1_adxg,2,1,hold,44.8268,1,45.0,1,3,1,59.0,19.0,45.0,42.964,44.326,44.8268,1,ok,1,52.0,44.338,3,4
2025-26,FAIL,v1_adxg,3,0,hold,43.0056,3,37.0,4,3,3,28.0,37.0,37.0,42.8268,43.0056,43.0056,1,ok,4,28.0,42.9256,0,4
2025-26,FAIL,v1_adxg,4,0,hold,43.1568,3,39.0,3,3,3,39.0,39.0,39.0,42.782,43.1568,43.1568,1,ok,3,39.0,43.1568,0,4
2025-26,FAIL,v1_adxg,5,0,hold,46.678,1,54.0,1,1,1,56.0,54.0,54.0,45.7544,46.678,46.678,1,ok,1,56.0,46.1812,0,4
2025-26,FAIL,v1_adxg,6,0,hold,49.5576,1,55.0,1,1,1,50.0,55.0,55.0,49.4132,49.5576,49.5576,0,primary_unpaired,,,,0,3
2025-26,FAIL,v1_adxg,7,0,pair,47.6844,1,62.0,1,0,0,62.0,80.0,80.0,47.2308,47.5096,47.5096,1,ok,1,62.0,47.6844,0,4
2025-26,FAIL,v1_adxg,8,0,hold,49.5572,0,77.0,1,0,0,72.0,77.0,77.0,48.9184,49.5572,49.5572,1,ok,0,78.0,49.3396,0,4
2025-26,FAIL,v1_adxg,9,0,hold,48.9528,1,41.0,1,1,1,51.0,41.0,41.0,48.5508,48.9528,48.9528,1,ok,1,53.0,48.8292,0,4
2025-26,FAIL,v1_adxg,11,0,hold,47.9156,0,40.0,0,0,0,38.0,40.0,40.0,47.5668,47.9156,47.9156,1,ok,0,40.0,47.8848,0,4
