season,gw,movement,player_id,web_name,position,team,season_minutes,recent4_minutes,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_prior_strength,new_club,actual_minutes,blank,actual_points
2022-23,5,entered,73,Kelly,DEF,Bournemouth,270,270,0.72,2.2144,2.65,0.4356,0,1,90.0,0,6
2022-23,5,entered,299,Walker,DEF,Man City,351,351,0.72,2.3004,3.3184,1.018,1,1,90.0,0,6
2022-23,5,entered,303,Mahrez,MID,Man City,152,152,0.72,2.6836,3.9152,1.2316,1,1,35.0,0,4
2022-23,5,entered,145,Havertz,FWD,Chelsea,343,343,0.72,2.5484,3.5556,1.0072,1,0,65.0,0,2
2022-23,5,entered,147,Mendy,GKP,Chelsea,360,360,0.85,2.6964,3.74,1.0436,1,0,90.0,0,2
2022-23,5,entered,57,Smith,DEF,Bournemouth,315,315,0.72,2.2512,2.61,0.3588,0,1,90.0,0,6
2022-23,6,left,480,Neves,MID,Wolves,450,360,0.72,2.608,2.7,0.092,1,0,90.0,0,2
2022-23,6,left,106,Dunk,DEF,Brighton,450,360,0.72,2.632,2.588,-0.044,1,1,90.0,0,1
2022-23,6,left,427,Kane,FWD,Spurs,450,360,0.72,3.2404,3.7408,0.5004,1,1,77.0,0,9
2022-23,6,left,428,Son,MID,Spurs,406,316,0.72,3.4452,4.1708,0.7256,1,1,83.0,0,2
2022-23,6,left,81,Raya,GKP,Brentford,450,360,0.85,3.7696,3.946,0.1764,1,1,90.0,0,2
2022-23,6,left,210,Mitrović,FWD,Fulham,450,360,0.72,2.6796,2.5684,-0.1112,0,1,90.0,0,5
2022-23,6,entered,478,Sá,GKP,Wolves,450,360,0.85,3.6136,4.1696,0.556,1,0,90.0,0,6
2022-23,6,entered,680,Gakpo,MID,Liverpool,0,0,0.72,2.5436,4.0184,1.4748,1,1,0.0,1,
2022-23,6,entered,302,Stones,DEF,Man City,280,280,0.72,1.978,3.1932,1.2152,1,1,90.0,0,2
2022-23,6,entered,303,Mahrez,MID,Man City,187,185,0.72,2.5668,3.6212,1.0544,1,1,17.0,0,1
2022-23,6,entered,145,Havertz,FWD,Chelsea,408,334,0.72,2.6248,3.2208,0.596,1,0,18.0,0,6
2022-23,6,entered,318,Haaland,FWD,Man City,391,314,0.72,2.9816,4.7496,1.768,1,1,90.0,0,9
2022-23,8,left,480,Neves,MID,Wolves,540,270,0.72,2.4304,2.0164,-0.414,1,0,90.0,0,1
2022-23,8,left,484,Kilman,DEF,Wolves,540,270,0.72,2.846,2.0524,-0.7936,1,0,90.0,0,1
2022-23,8,left,516,Collins,DEF,Wolves,540,270,0.72,2.9452,2.1272,-0.818,1,1,32.0,0,-3
2022-23,8,left,357,Trippier,DEF,Newcastle,540,270,0.72,2.5684,2.2144,-0.354,1,1,90.0,0,5
2022-23,8,left,526,Mee,DEF,Brentford,508,270,0.72,2.4876,2.0708,-0.4168,1,1,90.0,0,1
2022-23,8,left,81,Raya,GKP,Brentford,540,270,0.85,3.6556,3.1764,-0.4792,1,1,90.0,0,2
2022-23,8,left,407,Ward-Prowse,MID,Southampton,540,270,0.72,2.5068,2.3552,-0.1516,1,1,90.0,0,1
2022-23,8,entered,44,Konsa,DEF,Aston Villa,451,270,0.72,2.242,2.4328,0.1908,1,0,90.0,0,7
2022-23,8,entered,461,Zouma,DEF,West Ham,540,270,0.72,2.3244,2.6544,0.33,1,0,90.0,0,2
2022-23,8,entered,16,Gabriel,DEF,Arsenal,540,270,0.72,2.3936,2.6056,0.212,1,0,90.0,0,6
2022-23,8,entered,465,Bowen,MID,West Ham,534,270,0.72,2.4008,2.8588,0.458,1,0,90.0,0,2
2022-23,8,entered,307,Ederson,GKP,Man City,540,270,0.85,2.3608,3.8704,1.5096,1,1,90.0,0,6
2022-23,8,entered,468,Soucek,MID,West Ham,540,270,0.72,2.3036,2.4916,0.188,1,0,90.0,0,2
2022-23,8,entered,445,Emerson Royal,DEF,Spurs,527,270,0.72,2.4252,2.5624,0.1372,1,1,35.0,0,1
2022-23,9,left,356,Wilson,FWD,Newcastle,244,0,0.72,2.4396,2.3116,-0.128,1,1,65.0,0,6
2022-23,9,left,261,Maddison,MID,Leicester,540,270,0.72,2.4648,2.5904,0.1256,1,1,84.0,0,18
2022-23,9,left,16,Gabriel,DEF,Arsenal,630,270,0.72,2.6276,2.246,-0.3816,1,0,90.0,0,2
2022-23,9,left,81,Raya,GKP,Brentford,630,270,0.85,3.29,3.0636,-0.2264,1,1,90.0,0,6
2022-23,9,left,407,Ward-Prowse,MID,Southampton,630,270,0.72,2.4608,2.436,-0.0248,1,1,90.0,0,2
2022-23,9,entered,39,Mings,DEF,Aston Villa,450,270,0.72,2.3444,2.6128,0.2684,1,0,90.0,0,6
2022-23,9,entered,40,Watkins,FWD,Aston Villa,564,270,0.72,2.3476,2.7004,0.3528,1,0,90.0,0,2
2022-23,9,entered,301,De Bruyne,MID,Man City,537,182,0.28,1.768,2.6608,0.8928,1,1,74.0,0,8
2022-23,9,entered,463,Coufal,DEF,West Ham,591,270,0.72,2.3544,2.7648,0.4104,1,0,0.0,1,0
2022-23,9,entered,281,Alisson,GKP,Liverpool,540,180,0.85,2.988,4.2284,1.2404,1,1,90.0,0,2
2022-23,10,left,16,Gabriel,DEF,Arsenal,720,270,0.72,2.5744,1.6844,-0.89,1,0,90.0,0,1
2022-23,10,left,113,Sánchez,GKP,Brighton,630,180,0.85,3.5624,3.2808,-0.2816,1,1,90.0,0,2
2022-23,10,left,475,Coady,DEF,Everton,620,270,0.72,2.628,2.086,-0.542,1,1,90.0,0,1
2022-23,10,left,71,Mepham,DEF,Bournemouth,711,270,0.72,2.5304,2.1644,-0.366,0,1,90.0,0,2
2022-23,10,entered,602,Renan Lodi,DEF,Nott'm Forest,338,270,0.72,2.2584,2.2296,-0.0288,0,1,0.0,1,0
2022-23,10,entered,307,Ederson,GKP,Man City,720,270,0.85,2.87,4.1424,1.2724,1,1,90.0,0,6
2022-23,10,entered,468,Soucek,MID,West Ham,720,270,0.72,2.3772,2.3852,0.008,1,0,90.0,0,2
2022-23,10,entered,526,Mee,DEF,Brentford,688,270,0.72,2.1072,2.214,0.1068,1,1,70.0,0,1
2022-23,11,left,407,Ward-Prowse,MID,Southampton,810,270,0.72,2.362,2.1644,-0.1976,1,1,90.0,0,2
2022-23,11,left,249,Evans,DEF,Leicester,810,270,0.72,2.3616,2.1868,-0.1748,1,1,0.0,1,0
2022-23,11,left,2,Leno,GKP,Fulham,630,270,0.85,3.466,3.4204,-0.0456,0,1,90.0,0,2
2022-23,11,left,39,Mings,DEF,Aston Villa,630,270,0.72,2.6252,1.8784,-0.7468,1,0,90.0,0,1
2022-23,11,entered,16,Gabriel,DEF,Arsenal,810,270,0.72,2.268,2.656,0.388,1,0,90.0,0,8
2022-23,11,entered,85,Henry,DEF,Brentford,810,270,0.72,2.3132,2.406,0.0928,1,1,86.0,0,6
