season,gw,player_id,web_name,mu0,ep_next,mu1,blended,identity_reason
2023-24,1,1,Balogun,0.4052,1.1,0.64838,1,
2023-24,1,2,Cédric,0.5096,1.5,0.85624,1,
2023-24,1,3,M.Elneny,0.478,1.5,0.8357,1,
2023-24,1,4,Fábio Vieira,1.554,2.6,1.9201,1,
2023-24,1,5,Gabriel,0.8548,2.8,1.53562,1,
2023-24,1,6,Havertz,2.8388,3.1,2.93022,1,
2023-24,1,8,G.Jesus,0.9508,0.8,0.89802,1,
2023-24,1,9,Jorginho,1.2108,1.9,1.45202,1,
2023-24,1,10,Kiwior,0.59,2.5,1.2585,1,
2023-24,1,11,Marquinhos,0.4888,1.5,0.84272,1,
2023-24,1,12,Martinelli,2.9372,3.2,3.02918,1,
2023-24,1,13,Nketiah,1.4356,2.3,1.73814,1,
2023-24,1,14,Ødegaard,3.0668,3.4,3.18342,1,
2023-24,1,15,Thomas,0.7316,2.1,1.21054,1,
2023-24,1,16,Pepe,0.752,2.1,1.2238,1,
2023-24,1,17,Ramsdale,2.9488,3.7,3.21172,1,
2023-24,1,18,Rúnarsson,0.1872,1.5,0.64668,1,
2023-24,1,19,Saka,3.824,3.4,3.6756,1,
2023-24,1,20,Saliba,0.8008,2.8,1.50052,1,
2023-24,1,22,Smith Rowe,1.5884,2.6,1.94246,1,
2023-24,1,24,Tierney,0.54,2.5,1.226,1,
2023-24,1,25,Tomiyasu,0.536,2.5,1.2234,1,
2023-24,1,26,Trossard,2.66,3.0,2.779,1,
2023-24,1,29,White,1.69,3.1,2.1835,1,
2023-24,1,30,Xhaka,0.0,0.0,0.0,1,
2023-24,1,31,Zinchenko,0.77,2.8,1.4805,1,
2023-24,1,113,Raya,0.4128,3.2,1.38832,1,
2023-24,1,540,Rice,1.5076,2.6,1.88994,1,
2023-24,1,578,Nelson,0.5708,1.6,0.93102,1,
2023-24,1,585,J.Timber,0.7732,2.8,1.48258,1,
2023-24,1,32,Alex Moreno,0.0,0.0,0.0,1,
2023-24,1,34,Bailey,1.4636,1.6,1.51134,1,
2023-24,1,35,Buendia,0.0,0.0,0.0,1,
2023-24,1,36,Cash,0.478,1.5,0.8357,1,
2023-24,1,37,Chambers,0.4576,0.5,0.47244,1,
2023-24,1,38,Coutinho,1.4804,1.7,1.55726,1,
2023-24,1,39,Davis,0.6592,0.9,0.74348,1,
2023-24,1,40,Dendoncker,0.0,0.0,0.0,1,
2023-24,1,41,Diego Carlos,0.4748,1.5,0.83362,1,
2023-24,1,42,Digne,0.4828,1.5,0.83882,1,
2023-24,2,1,Balogun,0.4524,1.5,0.81906,1,
2023-24,2,2,Cédric,0.426,1.5,0.8019,1,
2023-24,2,3,M.Elneny,0.0,0.0,0.0,1,
2023-24,2,4,Fábio Vieira,1.1372,2.6,1.64918,1,
2023-24,2,5,Gabriel,0.7176,2.8,1.44644,1,
2023-24,2,6,Havertz,2.446,3.1,2.6749,1,
2023-24,2,8,G.Jesus,0.0,0.0,0.0,1,
2023-24,2,9,Jorginho,2.0256,2.6,2.22664,1,
2023-24,2,10,Kiwior,0.7488,2.5,1.36172,1,
2023-24,2,11,Marquinhos,0.0,0.0,0.0,1,
2023-24,2,12,Martinelli,2.5648,3.3,2.82212,1,
2023-24,2,13,Nketiah,1.3176,2.4,1.69644,1,
2023-24,2,14,Ødegaard,2.6104,3.4,2.88676,1,
2023-24,2,15,Thomas,0.6984,2.1,1.18896,1,
2023-24,2,16,Pepe,0.6964,2.1,1.18766,1,
2023-24,2,17,Ramsdale,0.2656,3.7,1.46764,1,
