season,e024_gate,gw,cap_ctrl_roll,cap_treat_roll,delta_cap_roll,cap_ctrl_lock,cap_treat_lock,delta_cap_lock
2024-25,PASS,12,30.0,36.0,6.0,36.0,40.0,4.0
2024-25,PASS,13,82.0,82.0,0.0,68.0,80.0,12.0
2024-25,PASS,14,65.0,80.0,15.0,50.0,44.0,-6.0
2024-25,PASS,15,65.0,85.0,20.0,48.0,63.0,15.0
2024-25,PASS,16,46.0,35.0,-11.0,46.0,40.0,-6.0
2024-25,PASS,17,37.0,36.0,-1.0,34.0,35.0,1.0
2024-25,PASS,18,67.0,68.0,1.0,37.0,43.0,6.0
2024-25,PASS,19,60.0,69.0,9.0,41.0,43.0,2.0
2024-25,PASS,20,75.0,73.0,-2.0,38.0,51.0,13.0
2024-25,PASS,21,55.0,55.0,0.0,59.0,54.0,-5.0
2024-25,PASS,22,38.0,25.0,-13.0,35.0,38.0,3.0
2024-25,PASS,23,63.0,62.0,-1.0,35.0,38.0,3.0
2024-25,PASS,24,104.0,101.0,-3.0,37.0,36.0,-1.0
2024-25,PASS,25,104.0,104.0,0.0,56.0,56.0,0.0
2024-25,PASS,26,65.0,82.0,17.0,50.0,54.0,4.0
2024-25,PASS,27,58.0,58.0,0.0,37.0,45.0,8.0
2024-25,PASS,28,58.0,52.0,-6.0,43.0,38.0,-5.0
2024-25,PASS,29,56.0,58.0,2.0,27.0,24.0,-3.0
2024-25,PASS,30,38.0,39.0,1.0,37.0,44.0,7.0
2024-25,PASS,31,41.0,41.0,0.0,20.0,29.0,9.0
2024-25,PASS,32,77.0,77.0,0.0,52.0,60.0,8.0
2024-25,PASS,33,78.0,78.0,0.0,41.0,47.0,6.0
2024-25,PASS,34,58.0,60.0,2.0,40.0,41.0,1.0
2024-25,PASS,35,54.0,54.0,0.0,38.0,38.0,0.0
2024-25,PASS,36,33.0,33.0,0.0,30.0,27.0,-3.0
2024-25,PASS,37,49.0,49.0,0.0,19.0,13.0,-6.0
2024-25,PASS,38,46.0,46.0,0.0,28.0,21.0,-7.0
2025-26,FAIL,1,56.0,53.0,-3.0,56.0,53.0,-3.0
2025-26,FAIL,2,7.0,9.0,2.0,24.0,32.0,8.0
2025-26,FAIL,3,14.0,11.0,-3.0,31.0,18.0,-13.0
2025-26,FAIL,4,20.0,26.0,6.0,40.0,39.0,-1.0
2025-26,FAIL,5,56.0,51.0,-5.0,40.0,23.0,-17.0
2025-26,FAIL,6,49.0,43.0,-6.0,14.0,13.0,-1.0
2025-26,FAIL,7,49.0,45.0,-4.0,43.0,35.0,-8.0
2025-26,FAIL,8,71.0,76.0,5.0,47.0,35.0,-12.0
2025-26,FAIL,9,31.0,34.0,3.0,35.0,25.0,-10.0
2025-26,FAIL,10,74.0,66.0,-8.0,41.0,35.0,-6.0
2025-26,FAIL,11,37.0,61.0,24.0,26.0,14.0,-12.0
2025-26,FAIL,12,26.0,27.0,1.0,15.0,16.0,1.0
2025-26,FAIL,13,43.0,31.0,-12.0,33.0,28.0,-5.0
2025-26,FAIL,14,52.0,52.0,0.0,31.0,15.0,-16.0
2025-26,FAIL,15,63.0,67.0,4.0,74.0,19.0,-55.0
2025-26,FAIL,16,80.0,78.0,-2.0,62.0,32.0,-30.0
2025-26,FAIL,17,53.0,58.0,5.0,42.0,25.0,-17.0
2025-26,FAIL,18,31.0,24.0,-7.0,26.0,24.0,-2.0
2025-26,FAIL,19,47.0,41.0,-6.0,33.0,30.0,-3.0
2025-26,FAIL,20,21.0,31.0,10.0,13.0,20.0,7.0
2025-26,FAIL,21,51.0,36.0,-15.0,25.0,17.0,-8.0
2025-26,FAIL,22,47.0,46.0,-1.0,52.0,40.0,-12.0
2025-26,FAIL,23,23.0,26.0,3.0,32.0,26.0,-6.0
2025-26,FAIL,24,78.0,78.0,0.0,45.0,33.0,-12.0
2025-26,FAIL,25,58.0,55.0,-3.0,55.0,31.0,-24.0
2025-26,FAIL,26,91.0,92.0,1.0,34.0,37.0,3.0
2025-26,FAIL,27,33.0,33.0,0.0,22.0,25.0,3.0
2025-26,FAIL,28,56.0,55.0,-1.0,41.0,21.0,-20.0
2025-26,FAIL,29,67.0,67.0,0.0,49.0,42.0,-7.0
2025-26,FAIL,30,68.0,68.0,0.0,41.0,21.0,-20.0
2025-26,FAIL,31,68.0,69.0,1.0,42.0,18.0,-24.0
2025-26,FAIL,32,45.0,43.0,-2.0,27.0,29.0,2.0
2025-26,FAIL,33,85.0,85.0,0.0,42.0,39.0,-3.0
2025-26,FAIL,34,49.0,49.0,0.0,28.0,31.0,3.0
2025-26,FAIL,35,61.0,61.0,0.0,26.0,14.0,-12.0
2025-26,FAIL,36,58.0,58.0,0.0,21.0,11.0,-10.0
2025-26,FAIL,37,71.0,71.0,0.0,40.0,21.0,-19.0
2025-26,FAIL,38,26.0,26.0,0.0,60.0,38.0,-22.0
