season,e024_gate,ctrl_mae60,treat_mae60,ctrl_xicap_mean,treat_xicap_mean,ctrl_season_cap,treat_season_cap,ctrl_xi0,treat_xi0,ctrl_xi0_n,treat_xi0_n,g_treat_mean,n_strength_replaced,n_gw,xi0_ok,mae60_ok,xicap_ok
2022-23,FAIL,2.419846,2.419846,59.189189,59.189189,2190.0,2190.0,6.633907,6.633907,407,407,0.0,440,37,True,True,True
2023-24,PASS,2.361214,2.361214,59.763158,59.763158,2271.0,2271.0,3.588517,3.588517,418,418,0.0,526,38,True,True,True
2024-25,PASS,2.264852,2.264852,58.578947,58.578947,2226.0,2226.0,6.220096,6.220096,418,418,0.0,660,38,True,True,True
2025-26,FAIL,2.470642,2.470642,55.815789,55.815789,2121.0,2121.0,6.937799,6.937799,418,418,0.0,675,38,True,True,True
