season,e024_gate,candidate,gw,class,gap_bucket,n_enter,n_exit,n_pos_touched,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_ctrl_mu,enter_cand_mu,enter_ctrl_p60,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_ctrl_mu,exit_mins,exit_pts,abs_d_ctrl,blank_enter,primary_harm,paired
2022-23,FAIL,v1_adxg,13,BUDGET_FLEX,near,4,4,3,0,2,1,617,Aubameyang,FWD,2.708,2.754,0.6759,73.0,2.0,427,Kane,FWD,2.9028,90.0,8.0,0.1948,0,0,1
2022-23,FAIL,v1_adxg,13,BUDGET_FLEX,,4,4,3,0,2,1,680,Gakpo,MID,2.4996,2.7804,0.6759,0.0,0.0,,,,,,,,1,1,0
2022-23,FAIL,v1_adxg,14,BUDGET_FLEX,near,3,3,2,1,0,0,286,Gomez,DEF,2.5756,2.8768,0.6745,90.0,1.0,258,Castagne,DEF,2.7516,90.0,2.0,0.176,0,0,1
2022-23,FAIL,v1_adxg,14,BUDGET_FLEX,near,3,3,2,1,0,0,377,Botman,DEF,2.5868,2.598,0.6745,70.0,6.0,576,Senesi,DEF,2.6296,90.0,1.0,0.0428,0,0,1
2022-23,FAIL,v1_adxg,14,BUDGET_FLEX,near,3,3,2,1,0,0,428,Son,MID,2.674,2.8336,0.6759,90.0,2.0,680,Gakpo,MID,2.8064,0.0,0.0,0.1324,0,0,1
2022-23,FAIL,v1_adxg,15,BUDGET_FLEX,near,2,2,3,1,1,0,283,Salah,MID,2.7364,2.8468,0.6759,90.0,15.0,142,Mount,MID,2.546,77.0,2.0,0.1904,0,0,1
2022-23,FAIL,v1_adxg,15,BUDGET_FLEX,,2,2,3,1,1,0,342,Dalot,DEF,2.4172,2.5164,0.6745,90.0,0.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,16,BUDGET_FLEX,near,4,4,3,1,1,0,106,Dunk,DEF,2.454,2.4948,0.6745,90.0,1.0,377,Botman,DEF,2.5144,86.0,7.0,0.0604,0,0,1
2022-23,FAIL,v1_adxg,16,BUDGET_FLEX,,4,4,3,1,1,0,169,Eze,MID,2.4828,2.5304,0.6759,77.0,2.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,16,BUDGET_FLEX,near,4,4,3,1,1,0,286,Gomez,DEF,2.5112,2.7672,0.6745,90.0,2.0,576,Senesi,DEF,2.5132,90.0,5.0,0.002,0,0,1
