season,gw,player_id,web_name,mu0,ep_next,mu1,blended,identity_reason
2025-26,1,1,Raya,2.4976,4.5,3.19844,1,
2025-26,1,2,Arrizabalaga,0.1748,2.8,1.09362,1,
2025-26,1,3,Hein,0.158,1.5,0.6277,1,
2025-26,1,4,Setford,0.1464,1.5,0.62016,1,
2025-26,1,5,Gabriel,1.5344,4.5,2.57236,1,
2025-26,1,6,Saliba,1.5196,4.5,2.56274,1,
2025-26,1,7,Calafiori,1.5752,3.8,2.35388,1,
2025-26,1,8,J.Timber,1.5216,3.8,2.31904,1,
2025-26,1,9,Kiwior,1.3368,3.8,2.19892,1,
2025-26,1,10,Lewis-Skelly,1.472,3.8,2.2868,1,
2025-26,1,11,White,1.5932,3.8,2.36558,1,
2025-26,1,13,Clarke,0.4344,1.5,0.80736,1,
2025-26,1,14,Kacurri,0.4576,1.5,0.82244,1,
2025-26,1,15,Nichols,0.4924,1.5,0.84506,1,
2025-26,1,16,Saka,3.4144,3.5,3.44436,1,
2025-26,1,17,Ødegaard,2.5776,3.1,2.76044,1,
2025-26,1,18,Madueke,2.4212,2.8,2.55378,1,
2025-26,1,19,Martinelli,2.4208,2.8,2.55352,1,
2025-26,1,20,Trossard,1.9992,2.1,2.03448,1,
2025-26,1,21,Rice,1.6192,2.7,1.99748,1,
2025-26,1,22,Merino,1.4972,2.6,1.88318,1,
2025-26,1,23,Fábio Vieira,1.478,2.5,1.8357,1,
2025-26,1,24,Nørgaard,1.4796,2.5,1.83674,1,
2025-26,1,25,Nwaneri,1.454,2.5,1.8201,1,
2025-26,1,26,Zubimendi,1.4492,2.5,1.81698,1,
2025-26,1,28,Kabia,0.4396,1.5,0.81074,1,
2025-26,1,29,Sambi,0.4596,1.5,0.82374,1,
2025-26,1,30,Havertz,2.2124,2.9,2.45306,1,
2025-26,1,31,G.Jesus,0.0,0.0,0.0,1,
2025-26,1,266,Eze,2.586,2.0,2.3809,1,
2025-26,1,662,Mosquera,1.4928,3.8,2.30032,1,
2025-26,1,666,Gyökeres,2.524,3.3,2.7956,1,
2025-26,1,32,Martinez,0.0,0.0,0.0,1,
2025-26,1,33,M.Bizot,2.9716,1.8,2.56154,1,
2025-26,1,34,Gauci,0.0,0.0,0.0,1,
2025-26,1,35,Marschall,0.0,0.0,0.0,1,
2025-26,1,36,Cash,0.5412,1.4,0.84178,1,
2025-26,1,37,Digne,0.5248,1.4,0.83112,1,
2025-26,1,38,Konsa,0.5768,1.4,0.86492,1,
2025-26,1,39,Maatsen,0.506,1.4,0.8189,1,
2025-26,2,1,Raya,0.434,5.0,2.0321,1,
2025-26,2,2,Arrizabalaga,3.1744,3.3,3.21836,1,
2025-26,2,3,Hein,0.1684,2.0,0.80946,1,
2025-26,2,4,Setford,0.1428,2.0,0.79282,1,
2025-26,2,5,Gabriel,1.6948,5.0,2.85162,1,
2025-26,2,6,Saliba,2.3648,5.0,3.28712,1,
2025-26,2,7,Calafiori,1.8312,4.3,2.69528,1,
2025-26,2,8,J.Timber,2.4364,4.3,3.08866,1,
2025-26,2,9,Kiwior,1.7188,4.3,2.62222,1,
2025-26,2,10,Lewis-Skelly,1.5472,4.3,2.51068,1,
2025-26,2,11,White,2.0052,4.3,2.80838,1,
2025-26,2,13,Clarke,0.5656,2.0,1.06764,1,
2025-26,2,14,Kacurri,0.52,2.0,1.038,1,
2025-26,2,15,Nichols,0.5408,2.0,1.05152,1,
2025-26,2,16,Saka,3.7508,4.0,3.83802,1,
2025-26,2,17,Ødegaard,3.83,3.6,3.7495,1,
2025-26,2,18,Madueke,2.59,3.3,2.8385,1,
2025-26,2,19,Martinelli,2.66,3.3,2.884,1,
2025-26,2,20,Trossard,3.8656,3.3,3.66764,1,
2025-26,2,21,Rice,1.806,3.2,2.2939,1,
2025-26,2,22,Merino,2.0668,3.1,2.42842,1,
2025-26,2,23,Fábio Vieira,1.5472,3.0,2.05568,1,
2025-26,2,24,Nørgaard,2.1824,2.3,2.22356,1,
2025-26,2,25,Nwaneri,1.8928,3.0,2.28032,1,
2025-26,2,26,Zubimendi,1.8948,3.0,2.28162,1,
2025-26,2,28,Kabia,0.4728,2.0,1.00732,1,
2025-26,2,29,Sambi,0.4452,2.0,0.98938,1,
2025-26,2,30,Havertz,0.8756,0.8,0.84914,1,
2025-26,2,31,G.Jesus,0.0,0.0,0.0,1,
2025-26,2,266,Eze,2.7972,2.5,2.69318,1,
2025-26,2,662,Mosquera,1.7012,4.3,2.61078,1,
2025-26,2,666,Gyökeres,2.6936,3.8,3.08084,1,
2025-26,2,32,Martinez,2.632,3.1,2.7958,1,
2025-26,2,33,M.Bizot,0.146,2.3,0.8999,1,
2025-26,2,34,Gauci,0.0,0.0,0.0,1,
2025-26,2,35,Marschall,0.0,0.0,0.0,1,
2025-26,2,36,Cash,0.5716,1.9,1.03654,1,
2025-26,2,37,Digne,0.4712,1.9,0.97128,1,
2025-26,2,38,Konsa,0.0,0.0,0.0,1,
2025-26,2,39,Maatsen,0.8148,1.9,1.19462,1,
2025-26,3,1,Raya,0.3212,7.5,2.83378,1,
2025-26,3,2,Arrizabalaga,2.7128,-0.5,1.58832,1,
2025-26,3,3,Hein,0.0,0.0,0.0,1,
2025-26,3,4,Setford,0.1772,-0.5,-0.05982,1,
2025-26,3,5,Gabriel,1.3748,5.5,2.81862,1,
2025-26,3,6,Saliba,1.7884,7.0,3.61246,1,
2025-26,3,7,Calafiori,1.4272,12.5,5.30268,1,
2025-26,3,8,J.Timber,1.7908,11.5,5.18902,1,
2025-26,3,9,Kiwior,1.4588,-0.5,0.77322,1,
2025-26,3,10,Lewis-Skelly,0.6328,0.0,0.41132,1,
2025-26,3,11,White,1.0184,1.2,1.08196,1,
2025-26,3,13,Clarke,0.4908,-0.5,0.14402,1,
2025-26,3,14,Kacurri,0.5064,-0.5,0.15416,1,
