season,e024_gate,ctrl_mae60,treat_mae60,ctrl_xicap_mean,treat_xicap_mean,ctrl_season_cap,treat_season_cap,ctrl_xi0,treat_xi0,ctrl_xi0_n,treat_xi0_n,g_treat_mean,n_blended,n_gw,xi0_ok,mae60_ok,xicap_ok
2022-23,FAIL,2.419846,2.382662,59.189189,60.027027,2190.0,2221.0,6.633907,4.176904,407,407,6.294838,25574,37,True,True,True
2023-24,PASS,2.361214,2.329232,59.763158,58.184211,2271.0,2211.0,3.588517,4.784689,418,418,6.047493,29507,38,False,True,False
2024-25,PASS,2.264852,2.255236,58.578947,64.947368,2226.0,2468.0,6.220096,4.30622,418,418,5.850322,27479,38,True,True,True
2025-26,FAIL,2.470642,2.448055,55.815789,54.052632,2121.0,2054.0,6.937799,3.827751,418,418,5.085973,29645,38,True,True,False
