season,gw,team_id,short_name,sh0,sa0,sh1,sa1,replaced
2023-24,1,1,ARS,1350,1365,1230,1285,1
2023-24,1,2,AVL,1160,1285,1115,1175,1
2023-24,1,3,BOU,1100,1100,1060,1095,1
2023-24,1,4,BRE,1100,1100,1125,1205,1
2023-24,1,5,BHA,1100,1210,1165,1210,1
2023-24,1,6,BUR,1045,1050,1060,1080,1
2023-24,1,7,CHE,1125,1190,1115,1160,1
2023-24,1,8,CRY,1070,1100,1100,1100,1
2023-24,1,9,EVE,1095,1100,1075,1100,1
2023-24,1,10,FUL,1055,1175,1095,1100,1
2023-24,1,11,LIV,1240,1370,1220,1285,1
2023-24,1,12,LUT,1055,1090,1045,1050,1
2023-24,1,13,MCI,1355,1365,1350,1355,1
2023-24,1,14,MUN,1125,1220,1145,1275,1
2023-24,1,15,NEW,1105,1280,1220,1280,1
2023-24,1,16,NFO,1065,1100,1050,1100,1
2023-24,1,17,SHU,1030,1040,1045,1070,1
2023-24,1,18,TOT,1170,1230,1130,1200,1
2023-24,1,19,WHU,1100,1145,1095,1140,1
2023-24,1,20,WOL,1100,1100,1065,1100,1
2023-24,2,1,ARS,1350,1365,1230,1285,1
2023-24,2,2,AVL,1160,1285,1115,1175,1
2023-24,2,3,BOU,1100,1100,1060,1095,1
2023-24,2,4,BRE,1100,1100,1125,1205,1
2023-24,2,5,BHA,1100,1210,1165,1210,1
2023-24,2,6,BUR,1045,1050,1060,1080,1
2023-24,2,7,CHE,1125,1190,1115,1160,1
2023-24,2,8,CRY,1070,1100,1100,1100,1
2023-24,2,9,EVE,1095,1100,1075,1100,1
2023-24,2,10,FUL,1055,1175,1095,1100,1
2023-24,2,11,LIV,1240,1370,1220,1285,1
2023-24,2,12,LUT,1055,1090,1045,1050,1
2023-24,2,13,MCI,1355,1365,1350,1355,1
2023-24,2,14,MUN,1125,1220,1145,1275,1
2023-24,2,15,NEW,1105,1280,1220,1280,1
2023-24,2,16,NFO,1065,1100,1050,1100,1
2023-24,2,17,SHU,1030,1040,1045,1070,1
2023-24,2,18,TOT,1170,1230,1130,1200,1
2023-24,2,19,WHU,1100,1145,1095,1140,1
2023-24,2,20,WOL,1100,1100,1065,1100,1
2023-24,3,1,ARS,1350,1365,1230,1285,1
2023-24,3,2,AVL,1160,1285,1115,1175,1
2023-24,3,3,BOU,1100,1100,1060,1095,1
2023-24,3,4,BRE,1100,1100,1125,1205,1
2023-24,3,5,BHA,1100,1210,1165,1210,1
2023-24,3,6,BUR,1045,1050,1060,1080,1
2023-24,3,7,CHE,1125,1190,1115,1160,1
2023-24,3,8,CRY,1070,1100,1100,1100,1
2023-24,3,9,EVE,1095,1100,1075,1100,1
2023-24,3,10,FUL,1055,1175,1095,1100,1
2023-24,3,11,LIV,1240,1370,1220,1285,1
2023-24,3,12,LUT,1055,1090,1045,1050,1
2023-24,3,13,MCI,1355,1365,1350,1355,1
2023-24,3,14,MUN,1125,1220,1145,1275,1
2023-24,3,15,NEW,1105,1280,1220,1280,1
2023-24,3,16,NFO,1065,1100,1050,1100,1
2023-24,3,17,SHU,1030,1040,1045,1070,1
2023-24,3,18,TOT,1170,1230,1130,1200,1
2023-24,3,19,WHU,1100,1145,1095,1140,1
2023-24,3,20,WOL,1100,1100,1065,1100,1
2023-24,4,1,ARS,1350,1365,1230,1285,1
2023-24,4,2,AVL,1160,1285,1115,1175,1
2023-24,4,3,BOU,1100,1100,1060,1095,1
2023-24,4,4,BRE,1100,1100,1125,1205,1
2023-24,4,5,BHA,1100,1210,1165,1210,1
2023-24,4,6,BUR,1045,1050,1060,1080,1
2023-24,4,7,CHE,1125,1190,1115,1160,1
2023-24,4,8,CRY,1070,1100,1100,1100,1
2023-24,4,9,EVE,1095,1100,1075,1100,1
2023-24,4,10,FUL,1055,1175,1095,1100,1
2023-24,4,11,LIV,1240,1370,1220,1285,1
2023-24,4,12,LUT,1055,1090,1045,1050,1
2023-24,4,13,MCI,1355,1365,1350,1355,1
2023-24,4,14,MUN,1125,1220,1145,1275,1
2023-24,4,15,NEW,1105,1280,1220,1280,1
2023-24,4,16,NFO,1065,1100,1050,1100,1
2023-24,4,17,SHU,1030,1040,1045,1070,1
2023-24,4,18,TOT,1170,1230,1130,1200,1
2023-24,4,19,WHU,1100,1145,1095,1140,1
2023-24,4,20,WOL,1100,1100,1065,1100,1
2023-24,5,1,ARS,1350,1365,1230,1285,1
2023-24,5,2,AVL,1160,1285,1115,1175,1
2023-24,5,3,BOU,1100,1100,1060,1095,1
2023-24,5,4,BRE,1100,1100,1125,1205,1
2023-24,5,5,BHA,1100,1210,1165,1210,1
2023-24,5,6,BUR,1045,1050,1060,1080,1
2023-24,5,7,CHE,1125,1190,1115,1160,1
2023-24,5,8,CRY,1070,1100,1100,1100,1
2023-24,5,9,EVE,1095,1100,1075,1100,1
2023-24,5,10,FUL,1055,1175,1095,1100,1
2023-24,5,11,LIV,1240,1370,1220,1285,1
2023-24,5,12,LUT,1055,1090,1045,1050,1
2023-24,5,13,MCI,1355,1365,1350,1355,1
2023-24,5,14,MUN,1125,1220,1145,1275,1
2023-24,5,15,NEW,1105,1280,1220,1280,1
2023-24,5,16,NFO,1065,1100,1050,1100,1
2023-24,5,17,SHU,1030,1040,1045,1070,1
2023-24,5,18,TOT,1170,1230,1130,1200,1
2023-24,5,19,WHU,1100,1145,1095,1140,1
2023-24,5,20,WOL,1100,1100,1065,1100,1
2023-24,6,1,ARS,1350,1365,1230,1285,1
2023-24,6,2,AVL,1160,1285,1115,1175,1
2023-24,6,3,BOU,1100,1100,1060,1095,1
2023-24,6,4,BRE,1100,1100,1125,1205,1
2023-24,6,5,BHA,1100,1210,1165,1210,1
2023-24,6,6,BUR,1045,1050,1060,1080,1
2023-24,6,7,CHE,1125,1190,1115,1160,1
2023-24,6,8,CRY,1070,1100,1100,1100,1
2023-24,6,9,EVE,1095,1100,1075,1100,1
2023-24,6,10,FUL,1055,1175,1095,1100,1
2023-24,6,11,LIV,1240,1370,1220,1285,1
2023-24,6,12,LUT,1055,1090,1045,1050,1
2023-24,6,13,MCI,1355,1365,1350,1355,1
2023-24,6,14,MUN,1125,1220,1145,1275,1
2023-24,6,15,NEW,1105,1280,1220,1280,1
2023-24,6,16,NFO,1065,1100,1050,1100,1
2023-24,6,17,SHU,1030,1040,1045,1070,1
2023-24,6,18,TOT,1170,1230,1130,1200,1
2023-24,6,19,WHU,1100,1145,1095,1140,1
2023-24,6,20,WOL,1100,1100,1065,1100,1
2023-24,7,1,ARS,1350,1365,1230,1285,1
2023-24,7,2,AVL,1160,1285,1115,1175,1
2023-24,7,3,BOU,1100,1100,1060,1095,1
2023-24,7,4,BRE,1100,1100,1125,1205,1
2023-24,7,5,BHA,1100,1210,1165,1210,1
2023-24,7,6,BUR,1045,1050,1060,1080,1
2023-24,7,7,CHE,1125,1190,1115,1160,1
2023-24,7,8,CRY,1070,1100,1100,1100,1
2023-24,7,9,EVE,1095,1100,1075,1100,1
2023-24,7,10,FUL,1055,1175,1095,1100,1
2023-24,7,11,LIV,1240,1370,1220,1285,1
2023-24,7,12,LUT,1055,1090,1045,1050,1
2023-24,7,13,MCI,1355,1365,1350,1355,1
2023-24,7,14,MUN,1125,1220,1145,1275,1
2023-24,7,15,NEW,1105,1280,1220,1280,1
2023-24,7,16,NFO,1065,1100,1050,1100,1
2023-24,7,17,SHU,1030,1040,1045,1070,1
2023-24,7,18,TOT,1170,1230,1130,1200,1
2023-24,7,19,WHU,1100,1145,1095,1140,1
2023-24,7,20,WOL,1100,1100,1065,1100,1
2023-24,8,1,ARS,1350,1365,1230,1285,1
