season,e024_gate,ctrl_mae60,treat_mae60,mae60_ok,ctrl_rmse60,treat_rmse60,ctrl_bias60,treat_bias60,ctrl_spearman60,treat_spearman60,n60,n_mu_delta,n_proj,identity_null,phase1_ok
2022-23,FAIL,2.419845663434719,2.4097615088325144,True,3.6711505136824303,3.655279788615208,-1.7257433922167618,-1.7221640058440697,0.22348097246906962,0.24034779454351785,7529,20785,28786,False,True
2023-24,PASS,2.3612144923758636,2.3453449758894824,True,3.6126757502630253,3.5881483284984386,-1.400620513488857,-1.3898251010035187,0.23378556770463965,0.25630438414103185,7673,22104,32870,False,True
2024-25,PASS,2.264851821234823,2.2508182381813486,True,3.4427164696749153,3.4211115936902043,-1.3922705760785328,-1.3814177731852235,0.2346449480192466,0.2555637187374323,7742,22563,30552,False,True
2025-26,FAIL,2.4706420263634015,2.461209408115792,True,3.6283693555514698,3.6123450999363085,-1.6145455673300595,-1.6067638149392607,0.1402034219283376,0.1575321881367824,7738,22421,31958,False,True
