season,e024_gate,ctrl_xicap_mean,treat_xicap_mean,ctrl_season_cap,treat_season_cap,ctrl_xi0,treat_xi0,ctrl_xi0_n,treat_xi0_n,g_treat_mean,n_mu_delta,n_proj,n_gw,xi0_ok,xicap_ok
2022-23,FAIL,59.189189,61.621622,2190.0,2280.0,6.633907,7.371007,407,407,0.198147,20785,28786,37,False,True
2023-24,PASS,59.763158,61.368421,2271.0,2332.0,3.588517,4.30622,418,418,0.361192,22104,32870,38,False,True
2024-25,PASS,58.578947,61.605263,2226.0,2341.0,6.220096,6.698565,418,418,0.349085,22563,30552,38,False,True
2025-26,FAIL,55.815789,54.526316,2121.0,2072.0,6.937799,7.177033,418,418,0.275041,22421,31958,38,False,False
