season,gw,movement,player_id,web_name,position,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_club_prior,actual_minutes,blank,actual_points
2022-23,8,entered,465,Bowen,MID,0.72,2.4008,3.3016,0.9008,1,90.0,0,2
2022-23,8,entered,189,Gray,MID,0.72,2.396,2.9084,0.5124,1,80.0,0,3
2022-23,9,left,81,Raya,GKP,0.85,3.29,3.16,-0.13,1,90.0,0,6
2022-23,9,left,71,Mepham,DEF,0.72,2.5184,2.5184,0.0,0,90.0,0,6
2022-23,9,entered,2,Leno,GKP,0.85,3.2876,3.2876,0.0,0,90.0,0,2
2022-23,9,entered,357,Trippier,DEF,0.72,2.2816,3.1428,0.8612,1,82.0,0,7
2022-23,10,left,71,Mepham,DEF,0.72,2.5304,2.5304,0.0,0,90.0,0,2
2022-23,10,entered,407,Ward-Prowse,MID,0.72,2.2584,2.5732,0.3148,1,90.0,0,2
2022-23,11,left,617,Aubameyang,FWD,0.72,2.4968,2.4968,0.0,0,57.0,0,1
2022-23,11,entered,40,Watkins,FWD,0.72,2.38,2.6152,0.2352,1,90.0,0,2
2022-23,12,left,258,Castagne,DEF,0.72,2.6056,2.6084,0.0028,1,90.0,0,6
2022-23,12,left,66,Solanke,FWD,0.72,2.5312,2.5312,0.0,0,90.0,0,2
2022-23,12,left,680,Gakpo,MID,0.72,2.7748,2.7748,0.0,0,0.0,1,
2022-23,12,left,333,Fernandes,MID,0.72,2.544,2.5476,0.0036,1,90.0,0,11
2022-23,12,left,342,Dalot,DEF,0.72,2.7348,2.5928,-0.142,1,90.0,0,6
2022-23,12,left,377,Botman,DEF,0.72,2.5288,2.5288,0.0,0,90.0,0,7
2022-23,12,entered,288,Diogo Jota,FWD,0.72,2.4964,3.7,1.2036,1,0.0,1,0
2022-23,12,entered,261,Maddison,MID,0.72,2.4652,3.316,0.8508,1,0.0,1,0
2022-23,12,entered,264,Barnes,MID,0.72,2.3324,3.2644,0.932,1,84.0,0,8
2022-23,12,entered,366,Schär,DEF,0.72,2.4888,2.642,0.1532,1,90.0,0,5
2022-23,12,entered,465,Bowen,MID,0.72,2.4184,2.9556,0.5372,1,90.0,0,0
2022-23,12,entered,374,Bruno Guimarães,MID,0.72,2.4628,3.5232,1.0604,1,90.0,0,6
2022-23,13,left,484,Kilman,DEF,0.72,2.516,2.502,-0.014,1,90.0,0,0
2022-23,13,left,39,Mings,DEF,0.72,2.4232,2.6212,0.198,1,90.0,0,10
2022-23,13,left,617,Aubameyang,FWD,0.72,2.708,2.708,0.0,0,73.0,0,2
2022-23,13,left,461,Zouma,DEF,0.72,2.546,2.534,-0.012,1,90.0,0,15
2022-23,13,left,475,Coady,DEF,0.72,2.5704,2.5704,0.0,0,90.0,0,6
2022-23,13,left,318,Haaland,FWD,0.72,3.3244,3.3244,0.0,0,79.0,0,13
2022-23,13,entered,288,Diogo Jota,FWD,0.72,2.3296,3.1564,0.8268,1,0.0,1,0
2022-23,13,entered,357,Trippier,DEF,0.72,2.4612,3.1132,0.652,1,90.0,0,2
2022-23,13,entered,171,Olise,MID,0.72,1.9216,2.7164,0.7948,1,61.0,0,2
2022-23,13,entered,141,Chalobah,DEF,0.72,2.2536,2.9716,0.718,1,90.0,0,2
2022-23,13,entered,465,Bowen,MID,0.72,2.5352,3.18,0.6448,1,87.0,0,3
2022-23,13,entered,374,Bruno Guimarães,MID,0.72,2.172,2.8396,0.6676,1,88.0,0,2
2022-23,14,left,576,Senesi,DEF,0.72,2.6296,2.6296,0.0,0,90.0,0,1
2022-23,14,left,680,Gakpo,MID,0.72,2.8064,2.8064,0.0,0,0.0,1,
2022-23,14,left,169,Eze,MID,0.72,2.6024,2.7692,0.1668,1,62.0,0,3
2022-23,14,left,427,Kane,FWD,0.72,2.7452,2.9044,0.1592,1,90.0,0,1
2022-23,14,left,342,Dalot,DEF,0.72,2.5944,2.5996,0.0052,1,90.0,0,9
2022-23,14,entered,288,Diogo Jota,FWD,0.72,2.6064,3.77,1.1636,1,0.0,1,0
2022-23,14,entered,261,Maddison,MID,0.72,2.3656,3.2036,0.838,1,90.0,0,2
2022-23,14,entered,428,Son,MID,0.72,2.674,3.2224,0.5484,1,90.0,0,2
2022-23,14,entered,335,Rashford,MID,0.72,2.5908,2.9588,0.368,1,90.0,0,8
2022-23,14,entered,374,Bruno Guimarães,MID,0.72,2.2724,3.1712,0.8988,1,82.0,0,3
2022-23,15,left,427,Kane,FWD,0.72,2.6788,2.8388,0.16,1,90.0,0,8
2022-23,15,left,516,Collins,DEF,0.72,2.6692,2.6692,0.0,0,90.0,0,0
2022-23,15,left,461,Zouma,DEF,0.72,2.5952,2.5492,-0.046,1,90.0,0,1
2022-23,15,left,475,Coady,DEF,0.72,2.5244,2.5244,0.0,0,90.0,0,1
2022-23,15,entered,288,Diogo Jota,FWD,0.72,2.3464,3.298,0.9516,1,0.0,1,0
2022-23,15,entered,465,Bowen,MID,0.72,2.3136,2.9144,0.6008,1,90.0,0,2
2022-23,15,entered,538,Young,DEF,0.72,2.466,2.684,0.218,1,11.0,0,1
2022-23,15,entered,141,Chalobah,DEF,0.72,2.3792,2.91,0.5308,1,90.0,0,1
2022-23,16,left,516,Collins,DEF,0.72,2.5896,2.5896,0.0,0,90.0,0,1
2022-23,16,left,614,Willian,MID,0.72,2.7236,2.7236,0.0,0,90.0,0,2
2022-23,16,left,680,Gakpo,MID,0.72,2.774,2.774,0.0,0,0.0,1,
2022-23,16,left,377,Botman,DEF,0.72,2.5144,2.5144,0.0,0,86.0,0,7
2022-23,16,left,283,Salah,MID,0.72,3.0604,3.7576,0.6972,1,90.0,0,2
2022-23,16,entered,288,Diogo Jota,FWD,0.72,2.618,3.6108,0.9928,1,0.0,1,0
2022-23,16,entered,171,Olise,MID,0.72,2.192,2.8916,0.6996,1,90.0,0,2
2022-23,16,entered,464,Benrahma,MID,0.72,2.1308,2.9488,0.818,1,90.0,0,2
2022-23,16,entered,374,Bruno Guimarães,MID,0.72,2.1852,2.9308,0.7456,1,90.0,0,3
2022-23,16,entered,285,Alexander-Arnold,DEF,0.72,2.5752,3.0212,0.446,1,86.0,0,2
2022-23,17,left,257,Amartey,DEF,0.72,2.6188,2.5516,-0.0672,1,90.0,0,1
2022-23,17,left,258,Castagne,DEF,0.72,2.6388,2.66,0.0212,1,90.0,0,1
2022-23,17,left,342,Dalot,DEF,0.72,2.7148,2.5832,-0.1316,1,0.0,1,0
2022-23,17,left,519,Eriksen,MID,0.72,2.5432,2.5432,0.0,0,76.0,0,5
2022-23,17,entered,288,Diogo Jota,FWD,0.72,2.2992,3.2064,0.9072,1,0.0,1,0
2022-23,17,entered,16,Gabriel,DEF,0.72,2.538,2.702,0.164,1,90.0,0,2
2022-23,17,entered,42,Buendía,MID,0.72,2.3836,2.8776,0.494,1,85.0,0,2
2022-23,17,entered,171,Olise,MID,0.72,2.314,3.1252,0.8112,1,83.0,0,2
2022-23,18,left,680,Gakpo,MID,0.72,2.7892,2.7892,0.0,0,0.0,1,
2022-23,18,left,369,Almirón,MID,0.72,2.56,2.4512,-0.1088,1,83.0,0,3
2022-23,18,left,427,Kane,FWD,0.72,2.7028,2.8184,0.1156,1,90.0,0,2
2022-23,18,left,470,Diop,DEF,0.72,2.5364,2.5364,0.0,0,90.0,0,2
2022-23,18,entered,288,Diogo Jota,FWD,0.72,2.5832,3.6124,1.0292,1,0.0,1,0
2022-23,18,entered,300,Gündogan,MID,0.72,2.5908,3.1624,0.5716,1,3.0,0,1
2022-23,18,entered,285,Alexander-Arnold,DEF,0.72,2.6832,3.1144,0.4312,1,85.0,0,8
2022-23,18,entered,464,Benrahma,MID,0.72,2.2444,3.0532,0.8088,1,90.0,0,2
2022-23,19,left,257,Amartey,DEF,0.72,2.5548,2.4388,-0.116,1,90.0,0,2
2022-23,19,left,318,Haaland,FWD,0.72,2.8732,2.8732,0.0,0,90.0,0,2
2022-23,19,entered,288,Diogo Jota,FWD,0.72,2.4624,3.354,0.8916,1,0.0,1,0
2022-23,19,entered,171,Olise,MID,0.72,2.4856,3.1668,0.6812,1,72.0,0,2
2022-23,20,left,169,Eze,MID,0.72,4.7732,4.9736,0.2004,1,103.0,0,2
2022-23,20,left,302,Stones,DEF,0.72,5.0536,5.1528,0.0992,1,90.0,0,1
2022-23,20,entered,513,Lenglet,DEF,0.72,4.6312,4.6312,0.0,0,99.0,0,1
