season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_mu_enter,ctrl_mu_left,d_ctrl,abs_ctrl_gap,gap_bucket,du,dpts,enter_mu_delta,both60,same_pos,model_pref_enter,actual_pref_enter,tie_pts,ctrl_pref_enter,ctrl_pref_left,rank_err
2022-23,FAIL,3,261,Maddison,MID,465,Bowen,MID,2.7584,2.9608,-0.2024,0.2024,near,-0.0628,5.0,1.4832,1,1,0,1,0,0,1,0
2022-23,FAIL,3,261,Maddison,MID,110,Maupay,FWD,2.7584,3.3596,-0.6012,0.6012,mid,0.882,7.0,1.4832,0,0,1,1,0,0,1,0
2022-23,FAIL,3,446,Kulusevski,MID,585,Dennis,FWD,2.746,3.6232,-0.8772,0.8772,large,0.744,3.0,1.6212,0,0,1,1,0,0,1,0
2022-23,FAIL,3,446,Kulusevski,MID,283,Salah,MID,2.746,3.3772,-0.6312,0.6312,mid,-0.196,-5.0,1.6212,1,1,0,0,0,0,1,0
2022-23,FAIL,3,446,Kulusevski,MID,465,Bowen,MID,2.746,2.9608,-0.2148,0.2148,near,0.0628,1.0,1.6212,1,1,1,1,0,0,1,0
2022-23,FAIL,3,446,Kulusevski,MID,110,Maupay,FWD,2.746,3.3596,-0.6136,0.6136,mid,1.0076,3.0,1.6212,0,0,1,1,0,0,1,0
2022-23,FAIL,3,303,Mahrez,MID,585,Dennis,FWD,2.6608,3.6232,-0.9624,0.9624,large,0.9816,0.0,1.944,0,0,1,0,1,0,1,0
2022-23,FAIL,3,303,Mahrez,MID,283,Salah,MID,2.6608,3.3772,-0.7164,0.7164,mid,0.0416,-8.0,1.944,0,1,1,0,0,0,1,1
2022-23,FAIL,3,303,Mahrez,MID,465,Bowen,MID,2.6608,2.9608,-0.3,0.3,mid,0.3004,-2.0,1.944,0,1,1,0,0,0,1,1
2022-23,FAIL,3,303,Mahrez,MID,110,Maupay,FWD,2.6608,3.3596,-0.6988,0.6988,mid,1.2452,0.0,1.944,0,0,1,0,1,0,1,0
2022-23,FAIL,4,465,Bowen,MID,81,Raya,GKP,2.5748,3.3496,-0.7748,0.7748,large,0.2412,-3.0,1.0044,1,0,1,0,0,0,1,1
2022-23,FAIL,4,465,Bowen,MID,300,Gündogan,MID,2.5748,2.62,-0.0452,0.0452,near,0.0872,-1.0,1.0044,0,1,1,0,0,0,1,1
2022-23,FAIL,4,465,Bowen,MID,301,De Bruyne,MID,2.5748,3.5448,-0.97,0.97,large,-0.7896,1.0,1.0044,1,1,0,1,0,0,1,0
2022-23,FAIL,4,465,Bowen,MID,110,Maupay,FWD,2.5748,2.9136,-0.3388,0.3388,mid,0.6656,3.0,1.0044,0,0,1,1,0,0,1,0
2022-23,FAIL,4,314,Foden,MID,81,Raya,GKP,2.6844,3.3496,-0.6652,0.6652,mid,0.2108,-2.0,0.8644,1,0,1,0,0,0,1,1
2022-23,FAIL,4,314,Foden,MID,300,Gündogan,MID,2.6844,2.62,0.0644,0.0644,near,0.0568,0.0,0.8644,0,1,1,0,1,1,0,0
2022-23,FAIL,4,314,Foden,MID,301,De Bruyne,MID,2.6844,3.5448,-0.8604,0.8604,large,-0.82,2.0,0.8644,1,1,0,1,0,0,1,0
2022-23,FAIL,4,314,Foden,MID,110,Maupay,FWD,2.6844,2.9136,-0.2292,0.2292,near,0.6352,4.0,0.8644,0,0,1,1,0,0,1,0
