season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_v,delta_u,dpts,both60,tie_pts,v_pref_enter,u_pref_enter,actual_pref_enter,sign_disagree,n_feasible,best_y_feasible,regret_entrant,v_ctrl,v_swap,fixture_pairs_ctrl,fixture_pairs_swap
2022-23,FAIL,5,DEF,249,Evans,257,Amartey,0.4396,-0.2276,2.0,0,0,1,0,1,1,14,8.0,6.0,28.9172,29.3568,6.0,5.0
2022-23,FAIL,5,DEF,249,Evans,258,Castagne,0.4724,-0.1948,2.0,0,0,1,0,1,1,14,8.0,6.0,28.9172,29.3896,6.0,5.0
2022-23,FAIL,5,DEF,249,Evans,235,Struijk,0.0,-0.1672,-2.0,1,0,0,0,0,0,14,8.0,6.0,28.9172,28.9172,6.0,6.0
2022-23,FAIL,5,DEF,249,Evans,57,Smith,0.0,-0.1312,-4.0,1,0,0,0,0,0,5,8.0,6.0,28.9172,28.9172,6.0,6.0
2022-23,FAIL,5,DEF,249,Evans,156,Ward,-0.0208,-0.188,0.0,1,1,0,0,0,0,14,8.0,6.0,28.9172,28.8964,6.0,6.0
2022-23,FAIL,5,DEF,463,Coufal,257,Amartey,0.4396,-0.1548,2.0,0,0,1,0,1,1,14,8.0,6.0,28.9172,29.3568,6.0,5.0
2022-23,FAIL,5,DEF,463,Coufal,258,Castagne,0.4724,-0.122,2.0,0,0,1,0,1,1,14,8.0,6.0,28.9172,29.3896,6.0,5.0
2022-23,FAIL,5,DEF,463,Coufal,235,Struijk,0.0,-0.0944,-2.0,1,0,0,0,0,0,14,8.0,6.0,28.9172,28.9172,6.0,6.0
2022-23,FAIL,5,DEF,463,Coufal,57,Smith,0.0,-0.0584,-4.0,1,0,0,0,0,0,5,8.0,6.0,28.9172,28.9172,6.0,6.0
2022-23,FAIL,5,DEF,463,Coufal,156,Ward,-0.0208,-0.1152,0.0,1,1,0,0,0,0,14,8.0,6.0,28.9172,28.8964,6.0,6.0
2022-23,FAIL,5,FWD,279,Firmino,288,Diogo Jota,-0.6328,-0.6328,9.0,0,0,0,0,1,0,23,9.0,0.0,28.9172,28.2844,6.0,6.0
2022-23,FAIL,5,FWD,279,Firmino,318,Haaland,-1.6628,-1.1628,-8.0,1,0,0,0,0,0,25,9.0,0.0,28.9172,27.2544,6.0,7.0
2022-23,FAIL,5,FWD,697,Sadi,288,Diogo Jota,-0.2428,-2.5472,0.0,0,1,0,0,0,0,24,9.0,9.0,28.9172,28.6744,6.0,5.0
2022-23,FAIL,5,FWD,697,Sadi,210,Mitrović,0.7608,-2.0436,-9.0,0,0,1,0,0,1,10,2.0,2.0,28.9172,29.678,6.0,4.0
2022-23,FAIL,5,FWD,697,Sadi,318,Haaland,-0.7728,-3.0772,-17.0,0,0,0,0,0,0,26,9.0,9.0,28.9172,28.1444,6.0,5.0
2022-23,FAIL,5,FWD,255,Vardy,318,Haaland,-1.5148,-1.0148,-15.0,1,0,0,0,0,0,25,9.0,7.0,28.9172,27.4024,6.0,7.0
2022-23,FAIL,6,FWD,356,Wilson,288,Diogo Jota,0.2692,-0.2308,-1.0,0,0,1,0,0,1,20,12.0,12.0,29.212,29.4812,8.0,7.0
2022-23,FAIL,6,FWD,356,Wilson,427,Kane,0.358,-0.642,-9.0,0,0,1,0,0,1,22,12.0,12.0,29.212,29.57,8.0,6.0
2022-23,FAIL,6,FWD,145,Havertz,288,Diogo Jota,0.2956,-0.2044,5.0,0,0,1,0,1,1,20,12.0,6.0,29.212,29.5076,8.0,7.0
2022-23,FAIL,6,FWD,145,Havertz,427,Kane,0.3844,-0.6156,-3.0,0,0,1,0,0,1,22,12.0,6.0,29.212,29.5964,8.0,6.0
2022-23,FAIL,6,FWD,380,Lyle Taylor,288,Diogo Jota,-0.464,-2.368,-1.0,0,0,0,0,0,0,21,12.0,12.0,29.212,28.748,8.0,8.0
2022-23,FAIL,6,FWD,380,Lyle Taylor,427,Kane,-0.3752,-2.7792,-9.0,0,0,0,0,0,0,23,12.0,12.0,29.212,28.8368,8.0,7.0
2022-23,FAIL,6,FWD,380,Lyle Taylor,210,Mitrović,0.1856,-2.2184,-5.0,0,0,1,0,0,1,10,12.0,12.0,29.212,29.3976,8.0,7.0
2022-23,FAIL,6,DEF,435,Sánchez,106,Dunk,0.2332,-0.3384,-1.0,0,0,1,0,0,1,13,6.0,6.0,29.212,29.4452,8.0,7.0
2022-23,FAIL,6,DEF,435,Sánchez,235,Struijk,0.0,-0.0716,0.0,0,1,0,0,0,0,10,6.0,6.0,29.212,29.212,8.0,8.0
2022-23,FAIL,6,DEF,435,Sánchez,461,Zouma,0.0,-0.0716,-1.0,0,0,0,0,0,0,10,6.0,6.0,29.212,29.212,8.0,8.0
2022-23,FAIL,8,DEF,16,Gabriel,445,Emerson Royal,0.0,-0.0316,5.0,0,0,0,0,1,0,23,8.0,2.0,25.3072,25.3072,9.0,9.0
2022-23,FAIL,8,DEF,16,Gabriel,526,Mee,-0.0624,-0.094,5.0,1,0,0,0,1,0,23,8.0,2.0,25.3072,25.2448,9.0,9.0
2022-23,FAIL,8,MID,468,Soucek,480,Neves,0.9948,-0.1268,1.0,1,0,1,0,1,1,25,19.0,17.0,25.3072,26.302,9.0,7.0
2022-23,FAIL,8,GKP,182,Pickford,31,Martínez,0.0,-0.022,-6.0,0,0,0,0,0,0,23,9.0,9.0,25.3072,25.3072,9.0,9.0
2022-23,FAIL,9,DEF,357,Trippier,209,Tosin,0.0,-0.1356,7.0,1,0,0,0,1,0,25,10.0,3.0,27.8944,27.8944,3.0,3.0
2022-23,FAIL,9,DEF,357,Trippier,484,Kilman,0.0,-0.114,6.0,1,0,0,0,1,0,25,10.0,3.0,27.8944,27.8944,3.0,3.0
