season,epsilon,ctrl_mae60,treat_mae60,ctrl_xicap_mean,treat_xicap_mean,pack_xicap_mean,ctrl_xi0,treat_xi0,pack_xi0,pack_xi0_n,bind_pct,n_gw,mae60_ok,xicap_ok,xi0_ok
2022-23,0.79096,2.576271,2.55946,57.108108,54.0,55.324324,11.547912,11.302211,12.039312,407,29.72973,37,True,False,False
2023-24,0.79096,2.481614,2.474033,53.684211,55.578947,55.105263,11.004785,10.526316,10.76555,418,18.421053,38,True,True,True
2024-25,0.79096,2.399644,2.385871,56.578947,58.184211,57.921053,10.526316,10.287081,10.76555,418,18.421053,38,True,True,False
2025-26,0.79096,2.572005,2.56189,50.394737,50.052632,49.526316,14.114833,14.114833,14.354067,418,13.157895,38,True,False,False
