season,gw,player_id,web_name,mu0,ep_next,mu1,blended,identity_reason
2022-23,3,12,Smith Rowe,1.4792,1.5,1.48648,1,
2022-23,3,13,Saka,2.9732,5.0,3.68258,1,
2022-23,3,14,Tomiyasu,0.4796,1.0,0.66174,1,
2022-23,3,15,Ramsdale,2.268,4.5,3.0492,1,
2022-23,3,16,Gabriel,0.642,5.0,2.1673,1,
2022-23,3,17,Tavares,0.0,0.0,0.0,1,
2022-23,3,19,Martinelli,1.4156,9.0,4.07014,1,
2022-23,3,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,3,22,Torreira,0.0,0.0,0.0,1,
2022-23,3,23,Nelson,0.0,0.0,0.0,1,
2022-23,3,24,Turner,0.1444,1.0,0.44386,1,
2022-23,3,25,Fábio Vieira,1.508,1.0,1.3302,1,
2022-23,3,26,Saliba,0.4396,4.5,1.86074,1,
2022-23,3,27,Marquinhos,0.6848,1.0,0.79512,1,
2022-23,3,28,Jesus,2.2112,11.5,5.46228,1,
2022-23,3,111,Trossard,1.444,2.0,1.6386,1,
2022-23,3,130,Jorginho,1.4036,7.5,3.53734,1,
2022-23,3,313,Zinchenko,0.6684,7.5,3.05946,1,
2022-23,3,29,Coutinho,1.2968,0.8,1.12292,1,
2022-23,3,31,Martínez,2.5268,2.0,2.34242,1,
2022-23,3,32,Chambers,0.4908,0.5,0.49402,1,
2022-23,3,33,Digne,0.6348,0.0,0.41262,1,
2022-23,3,34,Traoré,0.6588,0.0,0.42822,1,
2022-23,3,35,Olsen,0.1524,0.0,0.09906,1,
2022-23,3,36,Sanson,0.85,0.0,0.5525,1,
2022-23,3,37,McGinn,1.3856,2.0,1.60064,1,
2022-23,3,38,Hause,0.358,0.0,0.2327,1,
2022-23,3,39,Mings,0.4448,1.0,0.63912,1,
2022-23,3,40,Watkins,2.5344,6.0,3.74736,1,
2022-23,3,41,Nakamba,1.0556,0.0,0.68614,1,
2022-23,3,42,Buendía,1.4536,4.5,2.51984,1,
2022-23,4,3,Xhaka,0.6816,7.7,3.13804,1,
2022-23,4,4,Elneny,1.4932,1.0,1.32058,1,
2022-23,4,5,Holding,1.0016,1.0,1.00104,1,
2022-23,4,6,Partey,0.704,3.7,1.7526,1,
2022-23,4,7,Ødegaard,1.57,8.0,3.8205,1,
2022-23,4,8,Tierney,0.7564,2.0,1.19166,1,
2022-23,4,9,Pépé,0.0,0.0,0.0,1,
2022-23,4,10,White,0.5132,5.3,2.18858,1,
2022-23,4,11,Nketiah,1.5388,2.0,1.70022,1,
2022-23,4,12,Smith Rowe,1.526,1.7,1.5869,1,
2022-23,4,13,Saka,3.2864,4.7,3.78116,1,
2022-23,4,14,Tomiyasu,0.5068,1.3,0.78442,1,
2022-23,4,15,Ramsdale,2.6392,5.3,3.57048,1,
2022-23,4,16,Gabriel,0.762,6.0,2.5953,1,
2022-23,4,17,Tavares,0.0,0.0,0.0,1,
2022-23,4,19,Martinelli,1.592,8.3,3.9398,1,
2022-23,4,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,4,22,Torreira,0.0,0.0,0.0,1,
2022-23,4,23,Nelson,0.0,0.0,0.0,1,
2022-23,4,24,Turner,0.1612,1.0,0.45478,1,
2022-23,4,25,Fábio Vieira,1.6528,1.0,1.42432,1,
2022-23,4,26,Saliba,0.7332,8.0,3.27658,1,
2022-23,4,27,Marquinhos,0.656,1.0,0.7764,1,
2022-23,4,28,Jesus,2.4524,9.3,4.84906,1,
2022-23,4,111,Trossard,1.6308,4.5,2.63502,1,
2022-23,4,130,Jorginho,1.5104,5.5,2.90676,1,
2022-23,4,313,Zinchenko,0.744,7.3,3.0386,1,
2022-23,4,29,Coutinho,1.6964,1.0,1.45266,1,
2022-23,4,31,Martínez,3.2448,4.7,3.75412,1,
2022-23,4,32,Chambers,0.5404,0.3,0.45626,1,
2022-23,4,33,Digne,0.7428,0.3,0.58782,1,
2022-23,4,34,Traoré,0.0,0.0,0.0,1,
2022-23,4,35,Olsen,0.1752,0.0,0.11388,1,
2022-23,4,36,Sanson,0.8332,0.0,0.54158,1,
2022-23,4,37,McGinn,0.6672,1.7,1.02868,1,
2022-23,4,38,Hause,0.0,0.0,0.0,1,
2022-23,4,39,Mings,0.492,1.0,0.6698,1,
2022-23,4,40,Watkins,2.6824,6.0,3.84356,1,
2022-23,4,41,Nakamba,1.1392,0.0,0.74048,1,
2022-23,4,42,Buendía,1.58,3.7,2.322,1,
2022-23,5,3,Xhaka,1.978,6.0,3.3857,1,
2022-23,5,4,Elneny,0.294,0.2,0.2611,1,
2022-23,5,5,Holding,0.5288,0.7,0.58872,1,
2022-23,5,6,Partey,0.6608,0.6,0.63952,1,
2022-23,5,7,Ødegaard,2.292,8.3,4.3948,1,
2022-23,5,8,Tierney,0.7516,1.7,1.08354,1,
2022-23,5,9,Pépé,0.0,0.0,0.0,1,
2022-23,5,10,White,2.2764,4.0,2.87966,1,
2022-23,5,11,Nketiah,1.4856,1.5,1.49064,1,
2022-23,5,12,Smith Rowe,1.5676,1.0,1.36894,1,
2022-23,5,13,Saka,3.256,4.5,3.6914,1,
2022-23,5,14,Tomiyasu,0.5372,1.0,0.69918,1,
2022-23,5,15,Ramsdale,2.6584,4.3,3.23296,1,
2022-23,5,16,Gabriel,2.3096,6.5,3.77624,1,
2022-23,5,17,Tavares,0.0,0.0,0.0,1,
2022-23,5,19,Martinelli,2.2912,6.5,3.76428,1,
2022-23,5,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,5,22,Torreira,0.0,0.0,0.0,1,
2022-23,5,23,Nelson,0.0,0.0,0.0,1,
2022-23,5,24,Turner,0.1796,0.5,0.29174,1,
2022-23,5,25,Fábio Vieira,1.612,0.5,1.2228,1,
2022-23,5,26,Saliba,2.2684,7.5,4.09946,1,
2022-23,5,27,Marquinhos,0.6952,0.5,0.62688,1,
2022-23,5,28,Jesus,2.3616,7.0,3.98504,1,
2022-23,5,111,Trossard,2.354,5.0,3.2801,1,
2022-23,5,130,Jorginho,2.2116,4.7,3.08254,1,
2022-23,5,313,Zinchenko,0.6072,4.0,1.79468,1,
2022-23,5,29,Coutinho,1.1692,0.8,1.03998,1,
2022-23,5,31,Martínez,2.708,3.5,2.9852,1,
2022-23,5,32,Chambers,0.4652,0.3,0.40738,1,
2022-23,5,33,Digne,1.9528,0.3,1.37432,1,
2022-23,5,34,Traoré,0.0,0.0,0.0,1,
2022-23,5,35,Olsen,0.1552,-0.5,-0.07412,1,
2022-23,5,36,Sanson,0.8076,-0.5,0.34994,1,
2022-23,5,37,McGinn,1.9436,1.3,1.71834,1,
2022-23,5,38,Hause,0.0,0.0,0.0,1,
2022-23,5,39,Mings,0.3708,0.2,0.31102,1,
2022-23,5,40,Watkins,2.5276,4.5,3.21794,1,
2022-23,5,41,Nakamba,1.0732,-0.5,0.52258,1,
2022-23,5,42,Buendía,1.446,2.5,1.8149,1,
2022-23,6,3,Xhaka,1.8552,4.8,2.88588,1,
2022-23,6,4,Elneny,0.0,0.0,0.0,1,
2022-23,6,5,Holding,0.504,0.4,0.4676,1,
2022-23,6,6,Partey,0.0,0.0,0.0,1,
2022-23,6,7,Ødegaard,1.692,4.8,2.7798,1,
2022-23,6,8,Tierney,0.6916,1.4,0.93954,1,
2022-23,6,9,Pépé,0.0,0.0,0.0,1,
2022-23,6,10,White,1.8524,4.4,2.74406,1,
2022-23,6,11,Nketiah,1.4488,1.0,1.29172,1,
2022-23,6,12,Smith Rowe,1.4668,0.6,1.16342,1,
2022-23,6,13,Saka,2.8748,4.2,3.33862,1,
2022-23,6,14,Tomiyasu,0.4712,0.6,0.51628,1,
2022-23,6,15,Ramsdale,0.2268,2.5,1.02242,1,
2022-23,6,16,Gabriel,2.4432,5.2,3.40808,1,
