season,e024_gate,gw,treatment_source,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_margin,abs_ctrl_margin,gap_bucket,treat_lift,ctrl_mu_enter,ctrl_mu_left,treat_mu_enter,enter_sigma,enter_p10,enter_p_start,enter_price,enter_recent4,enter_mins,left_mins,enter_pts,left_pts,dpts,both60,outcome
2022-23,FAIL,4,rates_v2b_packaged,314,Foden,MID,301,De Bruyne,MID,-0.8604,0.8604,large,0.8644,2.6844,3.5448,3.5488,2.5677,0.0228,0.72,80,222,90.0,88.0,4.0,2.0,2.0,1,good
2022-23,FAIL,4,rates_v2b_packaged,446,Kulusevski,MID,300,Gündogan,MID,-0.2016,0.2016,near,1.1856,2.4184,2.62,3.604,2.2899,0.0128,0.72,82,260,82.0,29.0,6.0,4.0,2.0,0,not_both60
2022-23,FAIL,4,rates_v2b_packaged,446,Kulusevski,MID,301,De Bruyne,MID,-1.1264,1.1264,large,1.1856,2.4184,3.5448,3.604,2.2899,0.0128,0.72,82,260,82.0,88.0,6.0,2.0,4.0,1,good
2022-23,FAIL,4,rates_v2b_packaged,518,Hennessey,GKP,81,Raya,GKP,-0.036,0.036,near,0.0,3.3136,3.3496,3.3136,2.3552,0.0036,0.85,40,0,0.0,90.0,0.0,6.0,-6.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,261,Maddison,MID,301,De Bruyne,MID,-0.8284,0.8284,large,1.4424,2.5856,3.414,4.028,2.4448,0.0176,0.72,79,270,90.0,21.0,1.0,1.0,0.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,261,Maddison,MID,116,Mac Allister,MID,0.1872,0.1872,near,1.4424,2.5856,2.3984,4.028,2.4448,0.0176,0.72,79,270,90.0,90.0,1.0,10.0,-9.0,1,bad
2022-23,FAIL,5,rates_v2b_packaged,303,Mahrez,MID,301,De Bruyne,MID,-0.7304,0.7304,mid,2.5872,2.6836,3.414,5.2708,2.4958,0.0168,0.72,77,152,35.0,21.0,4.0,1.0,3.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,303,Mahrez,MID,116,Mac Allister,MID,0.2852,0.2852,mid,2.5872,2.6836,2.3984,5.2708,2.4958,0.0168,0.72,77,152,35.0,90.0,4.0,10.0,-6.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,465,Bowen,MID,301,De Bruyne,MID,-0.69,0.69,mid,1.1432,2.724,3.414,3.8672,2.574,0.024,0.72,82,354,90.0,21.0,2.0,1.0,1.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,465,Bowen,MID,116,Mac Allister,MID,0.3256,0.3256,mid,1.1432,2.724,2.3984,3.8672,2.574,0.024,0.72,82,354,90.0,90.0,2.0,10.0,-8.0,1,bad
2022-23,FAIL,5,rates_v2b_packaged,357,Trippier,DEF,257,Amartey,DEF,-0.2708,0.2708,mid,1.0772,2.0768,2.3476,3.154,2.1644,0.0032,0.72,51,360,90.0,0.0,0.0,0.0,0.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,357,Trippier,DEF,258,Castagne,DEF,-0.238,0.238,near,1.0772,2.0768,2.3148,3.154,2.1644,0.0032,0.72,51,360,90.0,0.0,0.0,0.0,0.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,357,Trippier,DEF,156,Ward,DEF,-0.2312,0.2312,near,1.0772,2.0768,2.308,3.154,2.1644,0.0032,0.72,51,360,90.0,90.0,0.0,2.0,-2.0,1,bad
2022-23,FAIL,5,rates_v2b_packaged,457,Cresswell,DEF,257,Amartey,DEF,-0.0888,0.0888,near,0.3212,2.2588,2.3476,2.58,2.3201,0.0064,0.72,49,360,71.0,0.0,2.0,0.0,2.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,457,Cresswell,DEF,258,Castagne,DEF,-0.056,0.056,near,0.3212,2.2588,2.3148,2.58,2.3201,0.0064,0.72,49,360,71.0,0.0,2.0,0.0,2.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,457,Cresswell,DEF,156,Ward,DEF,-0.0492,0.0492,near,0.3212,2.2588,2.308,2.58,2.3201,0.0064,0.72,49,360,71.0,90.0,2.0,2.0,0.0,1,tie
2022-23,FAIL,5,rates_v2b_packaged,285,Alexander-Arnold,DEF,257,Amartey,DEF,0.2976,0.2976,mid,0.576,2.6452,2.3476,3.2212,2.6065,0.0152,0.72,75,352,70.0,0.0,2.0,0.0,2.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,285,Alexander-Arnold,DEF,258,Castagne,DEF,0.3304,0.3304,mid,0.576,2.6452,2.3148,3.2212,2.6065,0.0152,0.72,75,352,70.0,0.0,2.0,0.0,2.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,285,Alexander-Arnold,DEF,156,Ward,DEF,0.3372,0.3372,mid,0.576,2.6452,2.308,3.2212,2.6065,0.0152,0.72,75,352,70.0,90.0,2.0,2.0,0.0,1,tie
2022-23,FAIL,5,rates_v2b_packaged,279,Firmino,FWD,288,Diogo Jota,FWD,-0.6328,0.6328,mid,1.1072,2.3972,3.03,3.5044,2.3372,0.0216,0.72,80,208,90.0,0.0,9.0,0.0,9.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,279,Firmino,FWD,210,Mitrović,FWD,-0.1292,0.1292,near,1.1072,2.3972,2.5264,3.5044,2.3372,0.0216,0.72,80,208,90.0,90.0,9.0,9.0,0.0,1,tie
2022-23,FAIL,5,rates_v2b_packaged,279,Firmino,FWD,318,Haaland,FWD,-1.1628,1.1628,large,1.1072,2.3972,3.56,3.5044,2.3372,0.0216,0.72,80,208,90.0,68.0,9.0,17.0,-8.0,1,bad
2022-23,FAIL,5,rates_v2b_packaged,255,Vardy,FWD,288,Diogo Jota,FWD,-0.4848,0.4848,mid,1.2076,2.5452,3.03,3.7528,2.5137,0.0272,0.72,94,313,86.0,0.0,2.0,0.0,2.0,0,not_both60
2022-23,FAIL,5,rates_v2b_packaged,255,Vardy,FWD,210,Mitrović,FWD,0.0188,0.0188,near,1.2076,2.5452,2.5264,3.7528,2.5137,0.0272,0.72,94,313,86.0,90.0,2.0,9.0,-7.0,1,bad
2022-23,FAIL,5,rates_v2b_packaged,255,Vardy,FWD,318,Haaland,FWD,-1.0148,1.0148,large,1.2076,2.5452,3.56,3.7528,2.5137,0.0272,0.72,94,313,86.0,68.0,2.0,17.0,-15.0,1,bad
2022-23,FAIL,6,rates_v2b_packaged,356,Wilson,FWD,288,Diogo Jota,FWD,-0.2308,0.2308,near,0.7308,2.5984,2.8292,3.3292,2.6569,0.0324,0.72,73,155,0.0,10.0,0.0,1.0,-1.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,356,Wilson,FWD,427,Kane,FWD,-0.642,0.642,mid,0.7308,2.5984,3.2404,3.3292,2.6569,0.0324,0.72,73,155,0.0,77.0,0.0,9.0,-9.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,356,Wilson,FWD,210,Mitrović,FWD,-0.0812,0.0812,near,0.7308,2.5984,2.6796,3.3292,2.6569,0.0324,0.72,73,155,0.0,90.0,0.0,5.0,-5.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,145,Havertz,FWD,288,Diogo Jota,FWD,-0.2044,0.2044,near,0.5964,2.6248,2.8292,3.2212,2.5794,0.0288,0.72,77,334,18.0,10.0,6.0,1.0,5.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,145,Havertz,FWD,427,Kane,FWD,-0.6156,0.6156,mid,0.5964,2.6248,3.2404,3.2212,2.5794,0.0288,0.72,77,334,18.0,77.0,6.0,9.0,-3.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,145,Havertz,FWD,210,Mitrović,FWD,-0.0548,0.0548,near,0.5964,2.6248,2.6796,3.2212,2.5794,0.0288,0.72,77,334,18.0,90.0,6.0,5.0,1.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,261,Maddison,MID,480,Neves,MID,-0.2588,0.2588,mid,1.0744,2.3492,2.608,3.4236,2.2412,0.0156,0.72,79,270,90.0,90.0,2.0,2.0,0.0,1,tie
2022-23,FAIL,6,rates_v2b_packaged,261,Maddison,MID,104,Groß,MID,-0.5332,0.5332,mid,1.0744,2.3492,2.8824,3.4236,2.2412,0.0156,0.72,79,270,90.0,90.0,2.0,5.0,-3.0,1,bad
2022-23,FAIL,6,rates_v2b_packaged,303,Mahrez,MID,480,Neves,MID,-0.0412,0.0412,near,1.8184,2.5668,2.608,4.3852,2.4023,0.0164,0.72,77,185,17.0,90.0,1.0,2.0,-1.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,303,Mahrez,MID,104,Groß,MID,-0.3156,0.3156,mid,1.8184,2.5668,2.8824,4.3852,2.4023,0.0164,0.72,77,185,17.0,90.0,1.0,5.0,-4.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,446,Kulusevski,MID,480,Neves,MID,0.0188,0.0188,near,1.292,2.6268,2.608,3.9188,2.5253,0.0224,0.72,82,332,12.0,90.0,1.0,2.0,-1.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,446,Kulusevski,MID,104,Groß,MID,-0.2556,0.2556,mid,1.292,2.6268,2.8824,3.9188,2.5253,0.0224,0.72,82,332,12.0,90.0,1.0,5.0,-4.0,0,not_both60
2022-23,FAIL,6,rates_v2b_packaged,357,Trippier,DEF,516,Collins,DEF,-0.2652,0.2652,mid,1.3584,2.3332,2.5984,3.6916,2.3758,0.0064,0.72,51,360,90.0,90.0,8.0,9.0,-1.0,1,bad
2022-23,FAIL,6,rates_v2b_packaged,357,Trippier,DEF,106,Dunk,DEF,-0.2988,0.2988,mid,1.3584,2.3332,2.632,3.6916,2.3758,0.0064,0.72,51,360,90.0,90.0,8.0,1.0,7.0,1,good
2022-23,FAIL,6,rates_v2b_packaged,477,Jonny,DEF,516,Collins,DEF,-0.4232,0.4232,mid,0.5964,2.1752,2.5984,2.7716,2.1687,0.0016,0.72,44,347,90.0,90.0,5.0,9.0,-4.0,1,bad
2022-23,FAIL,6,rates_v2b_packaged,477,Jonny,DEF,106,Dunk,DEF,-0.4568,0.4568,mid,0.5964,2.1752,2.632,2.7716,2.1687,0.0016,0.72,44,347,90.0,90.0,5.0,1.0,4.0,1,good
2022-23,FAIL,8,rates_v2b_packaged,477,Jonny,DEF,526,Mee,DEF,-0.2984,0.2984,mid,0.4104,2.1892,2.4876,2.5996,2.2252,0.0048,0.72,44,270,90.0,90.0,1.0,1.0,0.0,1,tie
