season,gw,team_id,short_name,sh0,sa0,sh1,sa1,replaced
2024-25,1,1,ARS,1350,1350,1350,1380,1
2024-25,1,2,AVL,1145,1240,1120,1245,1
2024-25,1,3,BOU,1170,1200,1100,1100,1
2024-25,1,4,BRE,1130,1180,1100,1100,1
2024-25,1,5,BHA,1140,1165,1100,1100,1
2024-25,1,6,CHE,1155,1235,1130,1255,1
2024-25,1,7,CRY,1150,1155,1100,1165,1
2024-25,1,8,EVE,1120,1145,1090,1125,1
2024-25,1,9,FUL,1155,1155,1080,1125,1
2024-25,1,10,IPS,1065,1065,1050,1050,1
2024-25,1,11,LEI,975,975,1050,1060,1
2024-25,1,12,LIV,1350,1370,1235,1370,1
2024-25,1,13,MCI,1220,1270,1355,1380,1
2024-25,1,14,MUN,1095,1135,1115,1175,1
2024-25,1,15,NEW,1220,1255,1130,1285,1
2024-25,1,16,NFO,1220,1290,1090,1100,1
2024-25,1,17,SOU,975,975,1050,1050,1
2024-25,1,18,TOT,1100,1170,1165,1225,1
2024-25,1,19,WHU,1090,1100,1095,1100,1
2024-25,1,20,WOL,1125,1145,1095,1100,1
2024-25,2,1,ARS,1350,1350,1350,1380,1
2024-25,2,2,AVL,1145,1240,1120,1245,1
2024-25,2,3,BOU,1170,1200,1100,1100,1
2024-25,2,4,BRE,1130,1180,1100,1100,1
2024-25,2,5,BHA,1140,1165,1100,1100,1
2024-25,2,6,CHE,1155,1235,1130,1255,1
2024-25,2,7,CRY,1150,1155,1100,1165,1
2024-25,2,8,EVE,1120,1145,1090,1125,1
2024-25,2,9,FUL,1155,1155,1080,1125,1
2024-25,2,10,IPS,1065,1065,1050,1050,1
2024-25,2,11,LEI,975,975,1050,1060,1
2024-25,2,12,LIV,1350,1370,1235,1370,1
2024-25,2,13,MCI,1220,1270,1355,1380,1
2024-25,2,14,MUN,1095,1135,1115,1175,1
2024-25,2,15,NEW,1220,1255,1130,1285,1
2024-25,2,16,NFO,1220,1290,1090,1100,1
2024-25,2,17,SOU,975,975,1050,1050,1
2024-25,2,18,TOT,1100,1170,1165,1225,1
2024-25,2,19,WHU,1090,1100,1095,1100,1
2024-25,2,20,WOL,1125,1145,1095,1100,1
2024-25,3,1,ARS,1350,1350,1350,1380,1
2024-25,3,2,AVL,1145,1240,1120,1245,1
2024-25,3,3,BOU,1170,1200,1100,1100,1
2024-25,3,4,BRE,1130,1180,1100,1100,1
2024-25,3,5,BHA,1140,1165,1100,1100,1
2024-25,3,6,CHE,1155,1235,1130,1255,1
2024-25,3,7,CRY,1150,1155,1100,1165,1
2024-25,3,8,EVE,1120,1145,1090,1125,1
