season,e024_gate,ctrl_mae60,treat_mae60,ctrl_xicap_mean,treat_xicap_mean,ctrl_season_cap,treat_season_cap,ctrl_xi0,treat_xi0,ctrl_xi0_n,treat_xi0_n,g_treat_mean,n_gw,xi0_ok,mae60_ok,xicap_ok
2022-23,FAIL,2.576271,2.655456,57.108108,54.783784,2113.0,2027.0,11.547912,12.285012,407,407,0.684646,37,False,False,False
2023-24,PASS,2.481614,2.50611,53.684211,55.026316,2040.0,2091.0,11.004785,8.851675,418,418,0.593804,38,True,False,True
2024-25,PASS,2.399644,2.444023,56.578947,58.447368,2150.0,2221.0,10.526316,9.330144,418,418,0.556843,38,True,False,True
2025-26,FAIL,2.572005,2.64127,50.394737,54.131579,1915.0,2057.0,14.114833,10.76555,418,418,0.79506,38,True,False,True
