season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,du,dpts,enter_u,left_u,enter_pts,left_pts,enter_mins,left_mins,enter_mu_delta,both60,both_play,model_pref_enter,actual_pref_enter,tie_pts
2022-23,FAIL,5,285,Alexander-Arnold,DEF,116,Mac Allister,MID,0.4536,-8.0,3.2212,2.7676,2.0,10.0,70.0,90.0,0.576,1,1,1,0,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,156,Ward,DEF,1.054,0.0,3.2212,2.1672,2.0,2.0,70.0,90.0,0.576,1,1,1,0,1
2022-23,FAIL,5,285,Alexander-Arnold,DEF,318,Haaland,FWD,-0.3388,-15.0,3.2212,3.56,2.0,17.0,70.0,68.0,0.576,1,1,0,0,0
2022-23,FAIL,5,255,Vardy,FWD,288,Diogo Jota,FWD,0.7228,2.0,3.7528,3.03,2.0,0.0,86.0,0.0,1.2076,0,0,1,1,0
2022-23,FAIL,5,255,Vardy,FWD,257,Amartey,DEF,1.6248,2.0,3.7528,2.128,2.0,0.0,86.0,0.0,1.2076,0,0,1,1,0
2022-23,FAIL,5,255,Vardy,FWD,258,Castagne,DEF,1.5116,2.0,3.7528,2.2412,2.0,0.0,86.0,0.0,1.2076,0,0,1,1,0
2022-23,FAIL,5,255,Vardy,FWD,301,De Bruyne,MID,-0.4232,1.0,3.7528,4.176,2.0,1.0,86.0,21.0,1.2076,0,1,0,1,0
2022-23,FAIL,5,255,Vardy,FWD,210,Mitrović,FWD,1.2264,-7.0,3.7528,2.5264,2.0,9.0,86.0,90.0,1.2076,1,1,1,0,0
2022-23,FAIL,5,255,Vardy,FWD,116,Mac Allister,MID,0.9852,-8.0,3.7528,2.7676,2.0,10.0,86.0,90.0,1.2076,1,1,1,0,0
2022-23,FAIL,5,255,Vardy,FWD,156,Ward,DEF,1.5856,0.0,3.7528,2.1672,2.0,2.0,86.0,90.0,1.2076,1,1,1,0,1
2022-23,FAIL,5,255,Vardy,FWD,318,Haaland,FWD,0.1928,-15.0,3.7528,3.56,2.0,17.0,86.0,68.0,1.2076,1,1,1,0,0
