season,e024_gate,gw,u_bench,bench_pts,cap_normal,cap_bb,bench_ids,bench_names,is_t_star,is_g_star
2023-24,PASS,7,13.9336,18.0,64.0,82.0,596|567|544|563,Trafford|Neto|Zouma|Kilman,0,0
2023-24,PASS,8,10.4576,11.0,59.0,70.0,482|228|178|33,Foderingham|Guéhi|Taylor|Archer,0,0
2023-24,PASS,9,8.8852,3.0,97.0,100.0,88|471|33|178,Travers|Ahmedhodžić|Archer|Taylor,0,0
2023-24,PASS,10,8.74,7.0,68.0,75.0,88|471|33|178,Travers|Ahmedhodžić|Archer|Taylor,0,0
2023-24,PASS,11,10.3748,15.0,21.0,36.0,482|27|393|33,Foderingham|Trusty|Mengi|Archer,0,0
2023-24,PASS,12,9.38,4.0,81.0,85.0,88|703|33|27,Travers|Evans|Archer|Trusty,0,0
2023-24,PASS,13,10.5872,15.0,35.0,50.0,482|393|245|33,Foderingham|Mengi|Branthwaite|Archer,0,0
2023-24,PASS,14,11.1456,12.0,55.0,67.0,28|542|465|173,Turner|Souček|Toffolo|O'Shea,0,0
2023-24,PASS,15,9.2032,4.0,39.0,43.0,361|393|27|33,Ortega Moreno|Mengi|Trusty|Archer,0,0
2023-24,PASS,16,10.8556,17.0,69.0,86.0,275|245|393|33,Leno|Branthwaite|Mengi|Archer,0,0
2023-24,PASS,17,10.1456,2.0,48.0,50.0,28|258|178|245,Turner|Maupay|Taylor|Branthwaite,0,0
2023-24,PASS,18,11.4652,6.0,50.0,56.0,482|311|465|177,Foderingham|Tsimikas|Toffolo|Rodriguez,0,0
2023-24,PASS,19,12.104,19.0,26.0,45.0,385|135|377|265,Henderson|João Pedro|Dalot|Tarkowski,0,0
2023-24,PASS,20,10.2304,14.0,84.0,98.0,524|393|33|238,Areola|Mengi|Archer|C.Richards,0,1
2023-24,PASS,21,12.0316,16.0,29.0,45.0,524|468|112|407,Areola|Wood|Pinnock|Burn,0,0
2023-24,PASS,22,12.962,11.0,45.0,56.0,524|468|321|511,Areola|Wood|Doughty|Romero,0,0
2023-24,PASS,23,11.926,2.0,28.0,30.0,482|407|112|107,Foderingham|Burn|Pinnock|Lewis-Potter,0,0
2023-24,PASS,24,11.2756,0.0,36.0,36.0,361|557|286|393,Ortega Moreno|Hee Chan|Tosin|Mengi,0,0
2023-24,PASS,25,13.0168,17.0,59.0,76.0,614|245|23|513,Kaminski|Branthwaite|Tavares|Sarr,0,0
2023-24,PASS,26,13.1608,11.0,72.0,83.0,77|664|220|31,Neto|Ward-Prowse|Andersen|Zinchenko,0,0
2023-24,PASS,27,13.3376,17.0,58.0,75.0,409|362|112|321,Dubravka|Palmer|Pinnock|Doughty,0,0
2023-24,PASS,28,13.4488,8.0,46.0,54.0,524|43|220|10,Areola|Douglas Luiz|Andersen|Kiwior,0,0
2023-24,PASS,29,11.474,19.0,31.0,50.0,596|200|688|511,Trafford|D.D.Fofana|Castagne|Romero,0,0
2023-24,PASS,30,13.038,7.0,47.0,54.0,409|34|321|611,Dubravka|Bailey|Doughty|Disasi,0,0
