season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_pair,delta_ilp,delta_full,delta_reeq,abs_reeq_gt_pair,g_treat,g_ctrl,ctrl_cap,pair_cap,full_cap,entrant_pts,leaver_pts,dpts_swap
2022-23,FAIL,5,DEF,463,Coufal,257,Amartey,3.0,-30.0,-30.0,-33.0,1,5.4246,0.2004,69.0,72.0,39.0,2.0,0.0,2.0
2022-23,FAIL,5,DEF,463,Coufal,258,Castagne,3.0,-30.0,-30.0,-33.0,1,5.4381,0.1964,69.0,72.0,39.0,2.0,0.0,2.0
2022-23,FAIL,5,DEF,463,Coufal,235,Struijk,-1.0,-30.0,-30.0,-29.0,1,5.5466,0.1721,69.0,68.0,39.0,2.0,4.0,-2.0
2022-23,FAIL,5,DEF,463,Coufal,57,Smith,-3.0,-30.0,-30.0,-27.0,1,5.4469,0.1405,69.0,66.0,39.0,2.0,6.0,-4.0
2022-23,FAIL,5,DEF,463,Coufal,156,Ward,3.0,-30.0,-30.0,-33.0,1,5.4293,0.1956,69.0,72.0,39.0,2.0,2.0,0.0
2022-23,FAIL,5,FWD,279,Firmino,288,Diogo Jota,10.0,-30.0,-30.0,-40.0,1,5.1611,0.6459,69.0,79.0,39.0,9.0,0.0,9.0
2022-23,FAIL,5,FWD,279,Firmino,318,Haaland,-7.0,-30.0,-30.0,-23.0,1,5.6275,1.1123,69.0,62.0,39.0,9.0,17.0,-8.0
2022-23,FAIL,5,FWD,697,Sadi,288,Diogo Jota,3.0,-30.0,-30.0,-33.0,1,6.54,0.9435,69.0,72.0,39.0,0.0,0.0,0.0
2022-23,FAIL,5,FWD,697,Sadi,210,Mitrović,-6.0,-30.0,-30.0,-24.0,1,6.0968,0.5003,69.0,63.0,39.0,0.0,9.0,-9.0
2022-23,FAIL,5,FWD,697,Sadi,318,Haaland,-14.0,-30.0,-30.0,-16.0,1,7.0064,1.4099,69.0,55.0,39.0,0.0,17.0,-17.0
2022-23,FAIL,5,FWD,255,Vardy,318,Haaland,-14.0,-30.0,-30.0,-16.0,1,5.4089,0.9821,69.0,55.0,39.0,2.0,17.0,-15.0
2022-23,FAIL,6,FWD,356,Wilson,288,Diogo Jota,0.0,-8.0,-8.0,-8.0,1,3.3647,0.2031,47.0,47.0,39.0,0.0,1.0,-1.0
2022-23,FAIL,6,FWD,356,Wilson,427,Kane,-8.0,-8.0,-8.0,0.0,0,4.0216,0.565,47.0,39.0,39.0,0.0,9.0,-9.0
2022-23,FAIL,6,FWD,145,Havertz,288,Diogo Jota,6.0,-8.0,-8.0,-14.0,1,3.4598,0.1799,47.0,53.0,39.0,6.0,1.0,5.0
2022-23,FAIL,6,FWD,145,Havertz,427,Kane,-2.0,-8.0,-8.0,-6.0,1,4.1166,0.5417,47.0,45.0,39.0,6.0,9.0,-3.0
2022-23,FAIL,6,FWD,380,Lyle Taylor,288,Diogo Jota,1.0,-8.0,-8.0,-9.0,1,4.3397,0.6368,47.0,48.0,39.0,0.0,1.0,-1.0
