season,e024_gate,candidate,gw,role,n_enter,n_exit,n_pos_touched,n_unpaired_enter,n_unpaired_exit,flex_flag,budget_delta,n_squad_changes,cap_ctrl,cap_cand,cap_delta,g_treat,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_cand_u,enter_cand_mu,enter_ctrl_mu,enter_cost,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_cand_u,exit_mins,exit_pts,du_cand,paired,blank_enter,primary_harm,primary_mover_id
2022-23,FAIL,v1_adxg,11,companion,3,3,3,0,0,1,13,3,33.0,59.0,26.0,0.2426,1,1,0,478,Sá,GKP,3.4416,3.4416,3.398,50,90.0,14.0,2,Leno,GKP,3.414,90.0,2.0,0.0276,1,0,0,16
2022-23,FAIL,v1_adxg,11,companion,3,3,3,0,0,1,13,3,33.0,59.0,26.0,0.2426,1,1,0,617,Aubameyang,FWD,2.6588,2.6588,2.4968,91,57.0,1.0,288,Diogo Jota,FWD,2.5704,90.0,1.0,0.0884,1,0,0,16
2022-23,FAIL,v1_adxg,12,companion,4,4,3,0,0,1,10,5,67.0,67.0,0.0,0.3499,1,1,0,106,Dunk,DEF,2.5872,2.5872,2.4972,46,90.0,8.0,377,Botman,DEF,2.5536,90.0,7.0,0.0336,1,0,0,280
2022-23,FAIL,v1_adxg,12,companion,4,4,3,0,0,1,10,5,67.0,67.0,0.0,0.3499,1,1,0,116,Mac Allister,MID,2.6032,2.6032,2.5092,57,90.0,2.0,333,Fernandes,MID,2.4896,90.0,11.0,0.1136,1,0,0,280
2022-23,FAIL,v1_adxg,12,primary,4,4,3,0,0,1,10,5,67.0,67.0,0.0,0.3499,1,1,0,280,Van Dijk,DEF,2.7976,2.7976,2.5216,64,90.0,7.0,576,Senesi,DEF,2.546,76.0,2.0,0.2516,1,0,0,280
2022-23,FAIL,v1_adxg,12,companion,4,4,3,0,0,1,10,5,67.0,67.0,0.0,0.3499,1,1,0,297,Darwin,FWD,2.7164,2.7164,2.5036,88,56.0,5.0,66,Solanke,FWD,2.5024,90.0,2.0,0.214,1,0,0,280
2022-23,FAIL,v1_adxg,13,companion,4,4,3,1,1,1,16,5,56.0,44.0,-12.0,0.5008,0,2,1,283,Salah,MID,3.348,3.348,3.0256,128,90.0,2.0,428,Son,MID,3.1092,90.0,2.0,0.2388,1,0,0,308
2022-23,FAIL,v1_adxg,13,primary,4,4,3,1,1,1,16,5,56.0,44.0,-12.0,0.5008,0,2,1,308,Aké,DEF,2.6948,2.6948,2.5036,50,0.0,0.0,475,Coady,DEF,2.4176,90.0,6.0,0.2772,1,1,1,308
2022-23,FAIL,v1_adxg,13,companion,4,4,3,1,1,1,16,5,56.0,44.0,-12.0,0.5008,0,2,1,617,Aubameyang,FWD,2.754,2.754,2.708,90,73.0,2.0,427,Kane,FWD,2.9272,90.0,8.0,-0.1732,1,0,0,308
2022-23,FAIL,v1_adxg,13,companion,4,4,3,1,1,1,16,5,56.0,44.0,-12.0,0.5008,0,2,1,680,Gakpo,MID,2.7804,2.7804,2.4996,76,0.0,0.0,,,,,,,,0,1,1,308
2022-23,FAIL,v1_adxg,14,primary,3,3,2,0,0,1,40,5,48.0,54.0,6.0,0.1582,1,0,0,286,Gomez,DEF,2.8768,2.8768,2.5756,46,90.0,1.0,576,Senesi,DEF,2.36,90.0,1.0,0.5168,1,0,0,286
2022-23,FAIL,v1_adxg,14,companion,3,3,2,0,0,1,40,5,48.0,54.0,6.0,0.1582,1,0,0,377,Botman,DEF,2.598,2.598,2.5868,44,70.0,6.0,258,Castagne,DEF,2.5,90.0,2.0,0.098,1,0,0,286
2022-23,FAIL,v1_adxg,14,companion,3,3,2,0,0,1,40,5,48.0,54.0,6.0,0.1582,1,0,0,428,Son,MID,2.8336,2.8336,2.674,117,90.0,2.0,680,Gakpo,MID,2.948,0.0,0.0,-0.1144,1,0,0,286
2022-23,FAIL,v1_adxg,15,primary,2,2,3,1,1,1,-16,3,41.0,50.0,9.0,0.0878,1,1,0,283,Salah,MID,2.8468,2.8468,2.7364,128,90.0,15.0,142,Mount,MID,2.5452,77.0,2.0,0.3016,1,0,0,283
2022-23,FAIL,v1_adxg,15,companion,2,2,3,1,1,1,-16,3,41.0,50.0,9.0,0.0878,1,1,0,342,Dalot,DEF,2.5164,2.5164,2.4172,48,90.0,0.0,,,,,,,,0,0,0,283
2022-23,FAIL,v1_adxg,16,companion,4,4,3,1,1,1,50,7,43.0,40.0,-3.0,0.2121,1,1,0,106,Dunk,DEF,2.4948,2.4948,2.454,47,90.0,1.0,516,Collins,DEF,2.4048,90.0,1.0,0.09,1,0,0,286
2022-23,FAIL,v1_adxg,16,companion,4,4,3,1,1,1,50,7,43.0,40.0,-3.0,0.2121,1,1,0,169,Eze,MID,2.5304,2.5304,2.4828,57,77.0,2.0,,,,,,,,0,0,0,286
2022-23,FAIL,v1_adxg,16,primary,4,4,3,1,1,1,50,7,43.0,40.0,-3.0,0.2121,1,1,0,286,Gomez,DEF,2.7672,2.7672,2.5112,45,90.0,2.0,377,Botman,DEF,2.3188,86.0,7.0,0.4484,1,0,0,286
2022-23,FAIL,v1_adxg,16,companion,4,4,3,1,1,1,50,7,43.0,40.0,-3.0,0.2121,1,1,0,427,Kane,FWD,2.6876,2.6876,2.6428,116,90.0,11.0,279,Firmino,FWD,2.8124,74.0,6.0,-0.1248,1,0,0,286
2022-23,FAIL,v1_adxg,17,companion,5,5,3,0,0,1,12,7,59.0,58.0,-1.0,0.2145,1,3,1,16,Gabriel,DEF,2.6292,2.6292,2.538,52,90.0,2.0,258,Castagne,DEF,2.5908,90.0,1.0,0.0384,1,0,0,680
2022-23,FAIL,v1_adxg,17,companion,5,5,3,0,0,1,12,7,59.0,58.0,-1.0,0.2145,1,3,1,284,Robertson,DEF,2.632,2.632,2.4236,68,90.0,8.0,257,Amartey,DEF,2.5128,90.0,1.0,0.1192,1,0,0,680
2022-23,FAIL,v1_adxg,17,companion,5,5,3,0,0,1,12,7,59.0,58.0,-1.0,0.2145,1,3,1,519,Eriksen,MID,2.6324,2.6324,2.5432,63,76.0,5.0,169,Eze,MID,2.53,59.0,1.0,0.1024,1,0,0,680
2022-23,FAIL,v1_adxg,17,primary,5,5,3,0,0,1,12,7,59.0,58.0,-1.0,0.2145,1,3,1,680,Gakpo,MID,2.6768,2.6768,2.4988,76,0.0,0.0,614,Willian,MID,2.5244,81.0,6.0,0.1524,1,1,1,680
2022-23,FAIL,v1_adxg,17,companion,5,5,3,0,0,1,12,7,59.0,58.0,-1.0,0.2145,1,3,1,690,João Félix,FWD,2.4316,2.4316,2.2952,71,0.0,0.0,427,Kane,FWD,2.586,90.0,7.0,-0.1544,1,1,1,680
2022-23,FAIL,v1_adxg,18,companion,2,2,2,1,1,1,-10,3,41.0,40.0,-1.0,0.2263,0,0,0,470,Diop,DEF,2.552,2.552,2.5364,43,90.0,2.0,,,,,,,,0,0,0,610
