scope,season,gw,gate,rank,u,delta_u,distance,jaccard,bank,cost,club_max,minutes_risk,captain,vice,enters,exits,ids,names
historical,2024-25,18,PASS,3,194.7107,0.1468,1,0.8750,0,1000,2,13,M.Salah,Palmer,Vestergaard,Wood,99 182 263 267 306 307 328 350 366 398 401 488 522 580 617,Forster;Foderingham;Gvardiol;Huijsen;Davis;Burgess;Vestergaard;M.Salah;Palmer;B.Fernandes;Mbeumo;Gordon;Isak;Evanilson;Vardy
historical,2024-25,18,PASS,4,194.7081,0.1494,1,0.8750,0,1000,2,13,M.Salah,Palmer,Strand Larsen,Vardy,99 182 263 267 328 350 366 398 401 477 488 522 566 580 617,Forster;Foderingham;Gvardiol;Huijsen;Davis;Burgess;Wood;M.Salah;Palmer;B.Fernandes;Mbeumo;Gordon;Isak;Evanilson;Strand Larsen
historical,2024-25,18,PASS,5,194.7063,0.1511,1,0.8750,0,1000,2,13,M.Salah,Palmer,Coady,Burgess,99 182 267 288 306 328 350 366 398 401 477 488 522 580 617,Forster;Foderingham;Gvardiol;Huijsen;Davis;Wood;Coady;M.Salah;Palmer;B.Fernandes;Mbeumo;Gordon;Isak;Evanilson;Vardy
historical,2024-25,18,PASS,6,194.6883,0.1691,3,0.6667,0,1000,2,13,M.Salah,Palmer,Archer;Mykolenko;Wissa,Evanilson;Vardy;Wood,27 99 110 182 231 263 267 328 350 366 398 401 488 522 580,Forster;Foderingham;Gvardiol;Huijsen;Davis;Mykolenko;Burgess;M.Salah;Palmer;B.Fernandes;Mbeumo;Gordon;Isak;Wissa;Archer
historical,2024-25,18,PASS,7,194.9079,-0.0504,3,0.6667,0,1000,2,13,M.Salah,Palmer,João Pedro;Ramsdale;Ward,Foderingham;Forster;Vardy,14 99 129 182 263 267 308 328 350 366 398 401 477 580 617,Ramsdale;Ward;Gvardiol;Huijsen;Davis;Burgess;Wood;M.Salah;Palmer;B.Fernandes;Mbeumo;Gordon;Isak;Evanilson;João Pedro
historical,2024-25,18,PASS,8,194.9070,-0.0496,2,0.7647,0,1000,2,13,M.Salah,Palmer,Ward;Wissa,Evanilson;Foderingham,99 110 182 263 267 306 308 328 350 366 398 401 477 488 580,Forster;Ward;Gvardiol;Huijsen;Davis;Burgess;Wood;M.Salah;Palmer;B.Fernandes;Mbeumo;Gordon;Isak;Wissa;Vardy
historical,2024-25,18,PASS,9,193.2161,1.6413,3,0.6667,0,1000,2,13,M.Salah,Palmer,Archer;Doherty;Wissa,Evanilson;Vardy;Wood,27 99 110 182 263 267 328 350 366 398 401 488 522 543 580,Forster;Foderingham;Gvardiol;Huijsen;Davis;Doherty;Burgess;M.Salah;Palmer;B.Fernandes;Mbeumo;Gordon;Isak;Wissa;Archer
historical,2024-25,18,PASS,10,194.9057,-0.0482,4,0.5789,1,999,3,13,M.Salah,Palmer,Archer;O'Shea;Ramsdale;Wissa,Evanilson;Foderingham;Vardy;Wood,14 27 99 110 182 263 267 328 350 366 398 401 488 580 630,Ramsdale;Forster;Gvardiol;Huijsen;Davis;Burgess;O'Shea;M.Salah;Palmer;B.Fernandes;Mbeumo;Gordon;Isak;Wissa;Archer
historical,2024-25,32,PASS,1,244.6716,0.0000,0,1.0000,2,998,3,1,Isak,Mateta,,,58 91 99 182 207 211 328 350 401 409 413 436 533 585 754,Pope;Flekken;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;Van Nistelrooy
historical,2024-25,32,PASS,2,244.6635,0.0081,1,0.8750,2,998,3,1,Isak,Mateta,Rusk,Van Nistelrooy,58 91 99 182 207 211 328 350 401 409 413 436 533 585 748,Pope;Flekken;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;Rusk
historical,2024-25,32,PASS,3,244.6633,0.0084,1,0.8750,2,998,3,1,Isak,Mateta,Moyes,Van Nistelrooy,58 91 99 182 207 211 328 350 401 409 413 436 533 585 742,Pope;Flekken;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;Moyes
historical,2024-25,32,PASS,4,244.6584,0.0132,1,0.8750,2,998,3,1,Isak,Mateta,McKenna,Van Nistelrooy,58 91 99 182 207 211 328 350 401 409 413 436 533 585 743,Pope;Flekken;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;McKenna
historical,2024-25,32,PASS,5,244.6557,0.0159,1,0.8750,2,998,3,1,Isak,Mateta,Potter,Van Nistelrooy,58 91 99 182 207 211 328 350 401 409 413 436 533 585 750,Pope;Flekken;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;Potter
historical,2024-25,32,PASS,6,244.6207,0.0509,1,0.8750,2,998,3,1,Isak,Mateta,Ramsdale,Flekken,14 58 99 182 207 211 328 350 401 409 413 436 533 585 754,Pope;Ramsdale;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;Van Nistelrooy
historical,2024-25,32,PASS,7,244.6126,0.0590,2,0.7647,2,998,3,1,Isak,Mateta,Ramsdale;Rusk,Flekken;Van Nistelrooy,14 58 99 182 207 211 328 350 401 409 413 436 533 585 748,Pope;Ramsdale;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;Rusk
historical,2024-25,32,PASS,8,244.6124,0.0593,2,0.7647,2,998,3,1,Isak,Mateta,Moyes;Ramsdale,Flekken;Van Nistelrooy,14 58 99 182 207 211 328 350 401 409 413 436 533 585 742,Pope;Ramsdale;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;Moyes
historical,2024-25,32,PASS,9,244.6106,0.0610,1,0.8750,0,1000,3,1,Isak,Mateta,Robinson,Murillo,58 91 99 182 207 211 255 328 350 401 409 413 533 585 754,Pope;Flekken;Muñoz;Gvardiol;Livramento;Aït-Nouri;Robinson;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;Van Nistelrooy
historical,2024-25,32,PASS,10,244.6075,0.0641,2,0.7647,2,998,3,1,Isak,Mateta,McKenna;Ramsdale,Flekken;Van Nistelrooy,14 58 99 182 207 211 328 350 401 409 413 436 533 585 743,Pope;Ramsdale;Muñoz;Gvardiol;Livramento;Aït-Nouri;Murillo;M.Salah;Palmer;I.Sarr;Mbeumo;Isak;Mateta;Watkins;McKenna
