season,ctrl_mae60,treat_mae60,ctrl_spearman60,treat_spearman60,ctrl_xicap_mean,treat_xicap_mean,ctrl_xi0,treat_xi0,ctrl_xi0_n,treat_xi0_n,n_swaps,left_blank_pct,entered_blank_pct,mean_entered_mu_delta,mae60_ok,spearman60_ok,xicap_ok,xi0_ok
2022-23,2.576271,2.568567,0.136612,0.139827,57.108108,56.702703,11.547912,11.302211,407,407,74,9.459459,8.108108,0.449686,True,True,False,True
2023-24,2.481614,2.480417,0.176899,0.179407,53.684211,54.394737,11.004785,11.483254,418,418,39,2.564103,7.692308,0.325867,True,True,True,False
2024-25,2.399644,2.398191,0.161363,0.1658,56.578947,57.342105,10.526316,11.483254,418,418,53,5.660377,13.207547,0.418883,True,True,True,False
2025-26,2.572005,2.569776,0.092166,0.094846,50.394737,50.394737,14.114833,14.354067,418,418,48,4.166667,6.25,0.316258,True,True,True,False
