season,ctrl_mae60,treat_mae60,ctrl_xicap_mean,treat_xicap_mean,ctrl_xi0,treat_xi0,ctrl_xi0_n,treat_xi0_n,n_swaps,left_blank_pct,entered_blank_pct,mae60_ok,xicap_ok,xi0_ok
2022-23,2.557301,2.557301,55.783784,58.540541,14.742015,12.530713,407,407,34,44.117647,17.647059,True,True,True
2023-24,2.466628,2.466628,53.052632,53.526316,14.354067,12.91866,418,418,25,36.0,12.0,True,True,True
2024-25,2.389109,2.389109,56.289474,57.289474,13.157895,13.157895,418,418,17,29.411765,29.411765,True,True,True
2025-26,2.560181,2.560181,49.921053,51.263158,16.267943,14.593301,418,418,22,50.0,18.181818,True,True,True
