season,e024_gate,ctrl_mae60,treat_mae60,ctrl_xicap_mean,treat_xicap_mean,ctrl_season_cap,treat_season_cap,ctrl_xi0,treat_xi0,ctrl_xi0_n,treat_xi0_n,g_treat_mean,n_mu_delta,n_proj,n_gw,xi0_ok,mae60_ok,xicap_ok
2022-23,FAIL,2.419846,2.406614,59.189189,61.243243,2190.0,2266.0,6.633907,7.862408,407,407,1.704132,20859,28786,37,False,True,True
2023-24,PASS,2.361214,2.336983,59.763158,62.157895,2271.0,2362.0,3.588517,4.545455,418,418,3.659101,21968,32870,38,False,True,True
2024-25,PASS,2.264852,2.236383,58.578947,64.947368,2226.0,2468.0,6.220096,6.698565,418,418,3.193073,22509,30552,38,False,True,True
2025-26,FAIL,2.470642,2.4648,55.815789,55.289474,2121.0,2101.0,6.937799,5.980861,418,418,3.346806,22468,31958,38,True,True,False
