season,v1_ut_gap,v2_ut_gap,v1_ut_n,v2_ut_n,v1_p90,v1_p90_n,v2_p90,v2_p90_n,v1_xi0,v2_xi0,v1_xi0_n,v2_xi0_n,v1_xicap_mean,v2_xicap_mean,v1_mae60,v2_mae60,xi0_ok
2022-23,0.1005,0.0456,1447,1374,84.0142,563,nan,0,27.027,11.5479,407,407,46.3514,57.1081,2.6649,2.5763,True
2023-24,0.1214,0.0412,1622,1484,78.4496,645,nan,0,25.1196,11.0048,418,418,44.3684,53.6842,2.5343,2.4816,True
2024-25,0.1126,0.0679,1637,1577,83.9344,610,nan,0,16.5072,10.5263,418,418,45.2368,56.5789,2.4228,2.3996,True
2025-26,0.0972,0.0315,1735,1632,79.4308,773,nan,0,29.1866,14.1148,418,418,36.2632,50.3947,2.6616,2.572,True
