player_id,web_name,action,delta,baseline_u,alt_u,strategy,as_of
411,Haaland,exclude,0.5716,134.1451,133.5736,balanced,2026-09-18T12:45:57.935920+00:00
411,Haaland,lock,0.0,134.1451,134.1451,balanced,2026-09-18T12:45:57.935920+00:00
