gw,n,mae,rmse,bias,spearman,scored_at
1,590,1.6213,2.6818,0.0467,0.4807,2026-08-25T18:17:12.498032+00:00
5,659,1.2437,2.5444,0.7562,0.6322,2026-09-21T21:42:12.503498+00:00
