season,gw,n,spearman,mae,bias,leakage_flag
2025-26,1,690,0.4355,1.5028,-0.0996,0
2025-26,2,705,0.8259,0.7555,-0.0604,1
2025-26,3,712,0.7693,0.9275,0.0211,1
2025-26,4,740,0.7328,0.9245,0.0436,1
2025-26,5,741,0.7531,0.8233,-0.0852,1
2025-26,6,742,0.7778,0.7895,-0.0221,1
2025-26,7,743,0.4372,1.21,1.21,0
2025-26,8,745,0.7756,0.7562,0.0974,1
2025-26,9,746,0.8288,0.7992,0.0405,1
2025-26,10,747,0.4382,1.2062,1.1874,0
2025-26,11,752,0.4491,1.2793,1.2766,0
2025-26,12,755,0.4777,1.204,1.1987,0
2025-26,13,755,0.4796,1.1629,1.1497,0
2025-26,14,758,0.483,1.2665,1.2639,0
2025-26,15,759,0.4523,1.2411,1.2174,0
2025-26,16,760,0.4633,1.2184,1.2158,0
2025-26,17,770,0.4787,1.1935,1.1857,0
2025-26,18,775,0.4979,1.1587,1.1561,0
2025-26,19,780,0.5018,1.2436,1.241,0
2025-26,20,790,0.4836,1.1418,1.1418,0
2025-26,21,795,0.5005,1.1384,1.1258,0
2025-26,22,799,0.4942,1.1452,1.1402,0
2025-26,23,803,0.468,1.1171,1.1096,0
2025-26,24,811,0.7677,0.7482,0.0286,1
2025-26,25,817,0.4666,1.0698,1.06,0
2025-26,26,817,0.4711,1.1554,1.1506,0
2025-26,27,818,0.5005,1.1198,1.1149,0
2025-26,28,819,0.4831,1.0403,1.0305,0
2025-26,29,820,0.7715,0.8117,0.0554,1
2025-26,30,822,0.469,1.1679,1.163,0
2025-26,31,664,0.4848,1.122,1.113,0
2025-26,32,826,0.4428,1.1041,1.0944,0
2025-26,33,829,0.4674,1.4741,1.4717,0
2025-26,34,582,0.5445,1.0808,1.0739,0
2025-26,35,832,0.4931,1.0541,1.0469,0
2025-26,36,838,0.475,1.185,1.1754,0
2025-26,37,840,0.4897,1.0393,1.0393,0
2025-26,38,841,0.7684,0.8394,0.0268,1
