season,gw,evaluation_status,structural_flags,n_fixtures,n_actual_rows,n_unique_actuals,n_duplicate_ids,n_with_minutes,n_snapshot,inspect_v1_lt_15,inspect_b0_gt_80,b0_xi_cap,v1_xi_cap,v1_gw1_xi_cap,hindsight_oracle_cap,squad_overlap,xi_overlap,hindsight_squad_regret,hindsight_xi_regret,hindsight_cap_regret,vs_b0_gap,solver_error
2025-26,1,clean,,10,692,690,2,299,841,0,0,49.0,49.0,46.0,151.0,1,1,97.0,0.0,5.0,0.0,
2025-26,2,clean,,10,706,705,1,312,841,1,1,121.0,11.0,9.0,171.0,0,0,154.0,1.0,5.0,110.0,
2025-26,3,clean,,10,713,712,1,302,841,1,1,99.0,14.0,14.0,143.0,0,0,113.0,6.0,10.0,85.0,
2025-26,4,clean,,10,741,740,1,305,841,0,1,94.0,27.0,20.0,146.0,1,0,100.0,7.0,12.0,67.0,
2025-26,5,clean,,10,742,741,1,305,841,1,1,99.0,8.0,8.0,130.0,2,0,97.0,23.0,2.0,91.0,
2025-26,6,clean,,10,743,742,1,310,841,1,1,118.0,10.0,10.0,159.0,2,0,128.0,18.0,3.0,108.0,
2025-26,7,clean,,10,744,743,1,311,841,0,0,12.0,17.0,14.0,144.0,1,0,119.0,1.0,7.0,-5.0,
2025-26,8,clean,,10,746,745,1,306,841,1,1,121.0,13.0,13.0,169.0,1,1,147.0,2.0,7.0,108.0,
2025-26,9,clean,,10,747,746,1,314,841,0,1,100.0,21.0,21.0,169.0,1,1,142.0,1.0,5.0,79.0,
2025-26,10,clean,,10,747,747,0,303,841,0,0,16.0,39.0,29.0,141.0,1,0,86.0,3.0,13.0,-23.0,
2025-26,11,clean,,10,752,752,0,303,841,0,0,21.0,17.0,16.0,153.0,2,0,127.0,4.0,5.0,4.0,
2025-26,12,clean,,10,755,755,0,303,841,1,0,16.0,10.0,15.0,165.0,1,0,148.0,4.0,3.0,6.0,
2025-26,13,clean,,10,755,755,0,304,841,0,0,15.0,15.0,25.0,155.0,2,0,126.0,3.0,11.0,0.0,
2025-26,14,clean,,10,758,758,0,305,841,0,0,6.0,25.0,25.0,160.0,2,0,113.0,8.0,14.0,-19.0,
2025-26,15,clean,,10,759,759,0,310,841,0,0,24.0,36.0,48.0,149.0,1,0,81.0,15.0,17.0,-12.0,
2025-26,16,clean,,10,760,760,0,301,841,0,0,13.0,43.0,42.0,162.0,0,0,103.0,4.0,12.0,-30.0,
2025-26,17,clean,,10,770,770,0,302,841,0,0,39.0,50.0,44.0,165.0,1,1,99.0,16.0,0.0,-11.0,
2025-26,18,clean,,10,775,775,0,293,841,0,0,28.0,23.0,23.0,158.0,1,1,100.0,30.0,5.0,5.0,
2025-26,19,clean,,10,780,780,0,294,841,0,0,12.0,37.0,43.0,141.0,1,0,95.0,0.0,9.0,-25.0,
2025-26,20,clean,,10,790,790,0,298,841,0,0,14.0,39.0,44.0,157.0,0,0,75.0,28.0,15.0,-25.0,
2025-26,21,clean,,10,795,795,0,295,841,0,0,22.0,63.0,55.0,145.0,0,0,67.0,8.0,7.0,-41.0,
2025-26,22,clean,,10,799,799,0,291,841,0,0,10.0,39.0,47.0,125.0,2,1,71.0,15.0,0.0,-29.0,
2025-26,23,clean,,10,803,803,0,303,841,0,0,15.0,30.0,30.0,133.0,0,0,93.0,3.0,7.0,-15.0,
2025-26,24,clean,,10,811,811,0,302,841,0,1,106.0,65.0,65.0,143.0,2,1,65.0,13.0,0.0,41.0,
2025-26,25,clean,,10,817,817,0,303,841,0,0,10.0,57.0,69.0,152.0,1,0,88.0,7.0,0.0,-47.0,
2025-26,26,flagged,duplicate_gw_rows;dgw_or_long,11,896,817,79,303,841,0,0,4.0,68.0,82.0,164.0,1,0,91.0,5.0,0.0,-64.0,
2025-26,27,clean,,10,818,818,0,297,841,0,0,17.0,38.0,34.0,156.0,0,0,102.0,16.0,0.0,-21.0,
2025-26,28,clean,,10,819,819,0,301,841,0,0,37.0,45.0,54.0,141.0,0,0,87.0,9.0,0.0,-8.0,
2025-26,29,clean,,10,820,820,0,306,841,0,1,86.0,76.0,64.0,158.0,4,3,48.0,17.0,17.0,10.0,
2025-26,30,clean,,10,822,822,0,296,841,0,0,12.0,54.0,59.0,128.0,1,1,59.0,15.0,0.0,-42.0,
2025-26,31,flagged,bgw_or_short,8,664,664,0,243,841,0,0,24.0,54.0,52.0,145.0,1,0,89.0,2.0,0.0,-30.0,
2025-26,32,clean,,10,826,826,0,303,841,0,0,22.0,32.0,48.0,176.0,0,0,116.0,28.0,0.0,-10.0,
2025-26,33,flagged,duplicate_gw_rows;dgw_or_long,13,1077,829,248,310,841,0,0,44.0,69.0,81.0,183.0,0,0,108.0,6.0,0.0,-25.0,
2025-26,34,flagged,bgw_or_short,7,582,582,0,205,841,0,0,9.0,44.0,46.0,136.0,0,0,77.0,8.0,7.0,-35.0,
2025-26,35,clean,,10,832,832,0,305,841,0,0,40.0,48.0,63.0,153.0,0,0,89.0,7.0,9.0,-8.0,
2025-26,36,flagged,duplicate_gw_rows;dgw_or_long,11,920,838,82,300,841,0,0,17.0,75.0,71.0,154.0,0,0,63.0,12.0,4.0,-58.0,
2025-26,37,clean,,10,840,840,0,306,841,0,0,15.0,60.0,62.0,154.0,0,0,80.0,10.0,4.0,-45.0,
2025-26,38,clean,,10,841,841,0,312,841,0,0,56.0,27.0,27.0,150.0,4,2,106.0,3.0,14.0,29.0,
