season,split,min_p,n,alpha,beta,converged,iters,p90_fitted
2025-26,all,0.6,3417,0.330093,0.414311,1,5,77.56
2025-26,established,0.6,1394,0.086187,0.454291,1,6,74.73
2025-26,new_club,0.6,2023,0.533154,0.368462,1,5,79.29
