gw,player_id,web_name,team_id,position,now_cost,mu,sigma,p_start,p_sub,p_60,p_10_plus,n_fixtures,actual_points,actual_minutes,did_start,captured_at,scored_at
35,1,Raya,1,GKP,60,3.0792,2.1717,0.9,0.008,0.8376,0.0,1,6,90,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,2,Arrizabalaga,1,GKP,40,0.1996,0.8855,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,3,Hein,1,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,4,Setford,1,GKP,39,0.1572,0.7402,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,5,Gabriel,1,DEF,72,4.284,3.2955,0.82,0.0324,0.7652,0.0652,1,6,90,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,6,Saliba,1,DEF,61,3.1048,2.603,0.82,0.0324,0.7652,0.0156,1,6,90,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,7,Calafiori,1,DEF,56,3.0412,3.3475,0.68,0.0896,0.6396,0.0448,1,6,90,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,8,J.Timber,1,DEF,61,1.8684,2.9372,0.41,0.1062,0.3898,0.024,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,9,Kiwior,1,DEF,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,10,Lewis-Skelly,1,DEF,50,1.0688,1.8944,0.28,0.1584,0.2731,0.0044,1,6,90,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,11,White,1,DEF,51,0,0,0.0,0.0,0.0,0,1,6,82,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,13,Clarke,1,DEF,37,0.498,1.2274,0.1,0.198,0.1088,0.0004,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,14,Kacurri,1,DEF,39,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,15,Nichols,1,DEF,37,0.5404,1.2841,0.1,0.198,0.1088,0.0016,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,16,Saka,1,MID,98,4.6592,3.6854,0.82,0.0324,0.7652,0.102,1,11,45,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,17,Ødegaard,1,MID,78,2.166,2.5974,0.48,0.1456,0.458,0.0164,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,18,Madueke,1,MID,68,2.0484,2.3609,0.48,0.1456,0.458,0.0108,1,1,45,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,19,Martinelli,1,MID,68,2.1324,2.8429,0.48,0.1456,0.458,0.0276,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,20,Trossard,1,MID,65,3.3304,3.2616,0.68,0.0576,0.637,0.054,1,7,90,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,21,Rice,1,MID,72,4.3996,2.8074,0.9,0.018,0.8384,0.0544,1,5,63,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,22,Merino,1,MID,54,2.2856,2.8892,0.48,0.1144,0.4556,0.0332,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,23,Fábio Vieira,1,MID,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,24,Nørgaard,1,MID,51,0.9992,1.8656,0.18,0.1804,0.1818,0.002,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,25,Nwaneri,1,MID,50,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,26,Zubimendi,1,MID,50,3.2348,2.169,0.9,0.018,0.8384,0.0144,1,1,26,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,28,Kabia,1,MID,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,29,Sambi,1,MID,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,30,Havertz,1,FWD,73,1.1984,1.9945,0.28,0.2016,0.2765,0.0092,1,0,0,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,31,G.Jesus,1,FWD,64,1.174,1.8841,0.28,0.2016,0.2765,0.0068,1,1,26,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,266,Eze,1,MID,72,3.0504,3.0449,0.68,0.0576,0.637,0.036,1,3,77,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,662,Mosquera,1,DEF,53,1.194,2.1044,0.28,0.1584,0.2731,0.004,1,1,7,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,666,Gyökeres,1,FWD,88,3.8264,3.3,0.82,0.0324,0.7652,0.0724,1,16,63,1,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
35,700,Dowman,1,MID,42,0.5044,1.1349,0.1,0.198,0.1088,0.0008,1,1,12,0,2026-08-18T09:51:12.663845+00:00,2026-08-18T09:51:31.873849+00:00
