season,split,bucket,n,start_pct,zero_min_pct,avg_pts
2025-26,all,0.90-1.00,773,79.43,18.63,2.924
2025-26,all,0.80-0.90,962,74.43,19.54,2.935
2025-26,all,0.70-0.80,227,46.26,37.89,2.15
2025-26,all,0.60-0.70,1455,67.01,20.21,2.835
2025-26,all,<0.60,25921,23.31,66.68,0.934
2025-26,established,0.90-1.00,299,75.92,23.08,2.957
2025-26,established,0.80-0.90,369,73.44,22.22,3.171
2025-26,established,0.70-0.80,133,36.09,51.13,1.684
2025-26,established,0.60-0.70,593,63.41,27.66,2.715
2025-26,established,<0.60,8670,25.78,64.5,1.037
2025-26,new_club,0.90-1.00,474,81.65,15.82,2.903
2025-26,new_club,0.80-0.90,593,75.04,17.88,2.788
2025-26,new_club,0.70-0.80,94,60.64,19.15,2.809
2025-26,new_club,0.60-0.70,862,69.49,15.08,2.918
2025-26,new_club,<0.60,17251,22.06,67.78,0.882
