gw,player_id,web_name,team_id,position,now_cost,mu,sigma,p_start,p_sub,p_60,p_10_plus,n_fixtures,actual_points,actual_minutes,did_start,captured_at,scored_at
4,1,Raya,1,GKP,55,0.3916,1.2363,0.08,0.0736,0.0803,0.0,1,6,90,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,2,Arrizabalaga,1,GKP,44,3.3108,2.345,0.88,0.0048,0.8188,0.0012,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,3,Hein,1,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,4,Setford,1,GKP,40,0.1664,0.7893,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,5,Gabriel,1,DEF,61,1.0872,1.9065,0.28,0.2016,0.2765,0.0024,1,9,90,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,6,Saliba,1,DEF,61,1.3976,2.2585,0.28,0.2016,0.2765,0.008,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,7,Calafiori,1,DEF,57,1.1388,2.0448,0.28,0.2016,0.2765,0.006,1,5,67,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,8,J.Timber,1,DEF,57,1.0928,2.0768,0.225,0.217,0.2266,0.0076,1,8,90,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,9,Kiwior,1,DEF,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,10,Lewis-Skelly,1,DEF,54,0.7832,1.5984,0.18,0.1804,0.1818,0.0028,1,1,22,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,11,White,1,DEF,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,13,Clarke,1,DEF,40,0.5064,1.2381,0.1,0.198,0.1088,0.0004,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,14,Kacurri,1,DEF,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,15,Nichols,1,DEF,40,0.5324,1.2909,0.1,0.198,0.1088,0.0004,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,16,Saka,1,MID,98,3.8276,3.714,0.72,0.0784,0.6759,0.0888,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,17,Ødegaard,1,MID,79,3.1496,2.8987,0.72,0.0784,0.6759,0.038,1,1,17,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,18,Madueke,1,MID,70,2.486,2.2761,0.72,0.0784,0.6759,0.0128,1,3,78,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,19,Martinelli,1,MID,69,1.6756,2.1368,0.45,0.154,0.4308,0.0092,1,1,12,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,20,Trossard,1,MID,69,1.7008,2.268,0.45,0.154,0.4308,0.0112,1,4,11,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,21,Rice,1,MID,65,1.2568,1.9265,0.28,0.2016,0.2765,0.0056,1,1,22,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,22,Merino,1,MID,59,1.562,1.9021,0.45,0.154,0.4308,0.002,1,3,90,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,23,Fábio Vieira,1,MID,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,24,Nørgaard,1,MID,54,2.8464,2.1555,0.9,0.018,0.8384,0.0112,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,25,Nwaneri,1,MID,54,0,0,0.0,0.0,0.0,0,1,3,72,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,26,Zubimendi,1,MID,54,1.0384,1.6113,0.28,0.1584,0.2731,0.0024,1,16,90,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,28,Kabia,1,MID,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,29,Sambi,1,MID,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,30,Havertz,1,FWD,74,2.6824,2.5227,0.72,0.0784,0.6759,0.0232,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,31,G.Jesus,1,FWD,65,1.2872,2.11,0.28,0.2016,0.2765,0.0076,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,266,Eze,1,MID,75,2.7832,2.6101,0.72,0.0784,0.6759,0.0256,1,6,78,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,662,Mosquera,1,DEF,54,0.8524,1.8086,0.18,0.1804,0.1818,0.0044,1,7,90,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,666,Gyökeres,1,FWD,90,1.3332,2.1567,0.28,0.2016,0.2765,0.012,1,6,67,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,700,Dowman,1,MID,45,0.492,1.0837,0.1,0.198,0.1088,0.0004,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,711,Harriman-Annous,1,MID,45,0.4972,0.9928,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,725,Hincapie,1,DEF,55,1.734,2.4206,0.45,0.154,0.4308,0.0116,1,0,0,0,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
4,759,Salmon,1,DEF,40,0.524,1.261,0.1,0.198,0.1088,0.0,1,,,,2026-08-18T09:50:17.316395+00:00,
4,32,Martinez,2,GKP,50,0.2696,0.8426,0.08,0.0736,0.0803,0.0,1,6,90,1,2026-08-18T09:50:17.316395+00:00,2026-08-18T09:51:30.847623+00:00
