gw,player_id,web_name,team_id,position,now_cost,mu,sigma,p_start,p_sub,p_60,p_10_plus,n_fixtures,actual_points,actual_minutes,did_start,captured_at,scored_at
18,1,Raya,1,GKP,60,3.0164,2.2019,0.9,0.008,0.8376,0.0008,1,2,90,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,2,Arrizabalaga,1,GKP,41,0.1748,0.8093,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,3,Hein,1,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,4,Setford,1,GKP,39,0.1676,0.7582,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,5,Gabriel,1,DEF,62,2.7792,3.301,0.48,0.1456,0.458,0.0408,1,1,19,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,6,Saliba,1,DEF,59,1.886,2.3375,0.48,0.1456,0.458,0.006,1,2,90,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,7,Calafiori,1,DEF,57,2.8048,3.0733,0.68,0.0896,0.6396,0.0312,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,8,J.Timber,1,DEF,65,1.5592,2.8259,0.24,0.2128,0.2402,0.0256,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,9,Kiwior,1,DEF,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,10,Lewis-Skelly,1,DEF,51,0.7428,1.552,0.18,0.1804,0.1818,0.0012,1,1,70,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,11,White,1,DEF,52,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,13,Clarke,1,DEF,38,0.4976,1.1833,0.1,0.198,0.1088,0.0004,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,14,Kacurri,1,DEF,39,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,15,Nichols,1,DEF,38,0.5428,1.2999,0.1,0.198,0.1088,0.0012,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,16,Saka,1,MID,103,3.0112,3.5924,0.48,0.1456,0.458,0.0624,1,7,90,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,17,Ødegaard,1,MID,78,1.3708,2.162,0.28,0.2016,0.2765,0.0104,1,10,90,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,18,Madueke,1,MID,68,1.2264,1.9306,0.28,0.2016,0.2765,0.0048,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,19,Martinelli,1,MID,68,1.2076,1.94,0.28,0.2016,0.2765,0.006,1,1,8,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,20,Trossard,1,MID,69,2.4212,2.9242,0.48,0.1456,0.458,0.0328,1,2,81,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,21,Rice,1,MID,72,3.602,3.1528,0.68,0.0896,0.6396,0.0516,1,5,90,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,22,Merino,1,MID,59,2.1836,2.6069,0.48,0.1456,0.458,0.0172,1,2,90,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,23,Fábio Vieira,1,MID,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,24,Nørgaard,1,MID,52,1.0044,1.9142,0.18,0.1804,0.1818,0.004,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,25,Nwaneri,1,MID,51,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,26,Zubimendi,1,MID,52,2.2172,2.0089,0.68,0.0704,0.638,0.0052,1,2,90,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,28,Kabia,1,MID,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,29,Sambi,1,MID,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,30,Havertz,1,FWD,73,2.6356,2.4646,0.72,0.0784,0.6759,0.0224,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,31,G.Jesus,1,FWD,64,1.7868,2.1739,0.45,0.154,0.4308,0.0068,1,1,19,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,266,Eze,1,MID,76,2.3328,2.8681,0.48,0.1456,0.458,0.0268,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,662,Mosquera,1,DEF,54,1.0704,1.8988,0.28,0.1584,0.2731,0.0032,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,666,Gyökeres,1,FWD,88,2.1828,2.7718,0.48,0.1456,0.458,0.0296,1,2,70,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,700,Dowman,1,MID,43,0.5208,1.041,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,711,Harriman-Annous,1,MID,45,0.4784,1.001,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,725,Hincapie,1,DEF,55,1.47,2.3473,0.28,0.2016,0.2765,0.0064,1,1,90,1,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
18,759,Salmon,1,DEF,40,0.516,1.2791,0.1,0.198,0.1088,0.0016,1,0,0,0,2026-08-18T09:50:41.745967+00:00,2026-08-18T09:51:31.305291+00:00
