gw,n,mae,rmse,bias,spearman,scored_at
1,690,1.4405,2.4476,0.4295,0.3853,2026-08-18T09:40:16.086724+00:00
2,705,1.294,2.6013,0.4856,0.435,2026-08-18T09:51:30.786585+00:00
3,712,1.28,2.4251,0.5515,0.4439,2026-08-18T09:51:30.831458+00:00
4,740,1.2727,2.4367,0.6162,0.4597,2026-08-18T09:51:30.864238+00:00
5,741,1.1349,2.2252,0.4578,0.4434,2026-08-18T09:51:30.896923+00:00
6,742,1.0943,2.2446,0.4517,0.4651,2026-08-18T09:51:30.926553+00:00
7,743,1.1242,2.3016,0.5583,0.4897,2026-08-18T09:51:30.959122+00:00
8,745,1.1554,2.4685,0.5893,0.5286,2026-08-18T09:51:30.990628+00:00
9,746,1.0936,2.3344,0.5172,0.5436,2026-08-18T09:51:31.022008+00:00
10,747,1.0812,2.1856,0.4591,0.542,2026-08-18T09:51:31.053696+00:00
11,752,1.1349,2.3492,0.5418,0.5618,2026-08-18T09:51:31.085415+00:00
12,755,1.0876,2.3508,0.4499,0.5435,2026-08-18T09:51:31.117747+00:00
13,755,1.0663,2.224,0.3827,0.5432,2026-08-18T09:51:31.151323+00:00
14,758,1.165,2.4386,0.4918,0.5202,2026-08-18T09:51:31.184967+00:00
15,759,1.0782,2.2446,0.4396,0.5547,2026-08-18T09:51:31.218532+00:00
16,760,1.1235,2.3537,0.4314,0.537,2026-08-18T09:51:31.251205+00:00
17,770,1.1136,2.209,0.3735,0.4858,2026-08-18T09:51:31.287959+00:00
18,775,1.0658,2.1625,0.3235,0.5277,2026-08-18T09:51:31.323713+00:00
19,780,1.168,2.2255,0.3906,0.4934,2026-08-18T09:51:31.356161+00:00
20,790,1.0936,2.173,0.2817,0.5034,2026-08-18T09:51:31.389783+00:00
21,795,1.026,1.9935,0.2426,0.5417,2026-08-18T09:51:31.422497+00:00
22,799,1.0407,1.9335,0.2475,0.5619,2026-08-18T09:51:31.459261+00:00
23,803,1.0539,2.0358,0.2019,0.5545,2026-08-18T09:51:31.492824+00:00
24,811,1.0175,2.0104,0.1828,0.5791,2026-08-18T09:51:31.525514+00:00
25,817,0.9857,1.9791,0.124,0.5791,2026-08-18T09:51:31.560078+00:00
26,817,1.067,2.015,-0.0083,0.5454,2026-08-18T09:51:31.595136+00:00
27,818,1.0257,2.0409,0.1522,0.5849,2026-08-18T09:51:31.627545+00:00
28,819,1.0097,1.9606,0.0591,0.5544,2026-08-18T09:51:31.662237+00:00
29,820,1.0491,2.0246,0.1092,0.5619,2026-08-18T09:51:31.696103+00:00
30,822,1.0753,2.0227,0.1558,0.583,2026-08-18T09:51:31.729619+00:00
31,664,1.0394,1.992,0.1363,0.5859,2026-08-18T09:51:31.758235+00:00
32,826,1.0446,2.1579,0.0611,0.5775,2026-08-18T09:51:31.791378+00:00
33,829,1.2226,2.2099,-0.2232,0.5564,2026-08-18T09:51:31.828084+00:00
34,582,1.0403,1.9433,0.0287,0.5683,2026-08-18T09:51:31.855448+00:00
35,832,1.0037,1.9394,-0.0236,0.5735,2026-08-18T09:51:31.892221+00:00
36,838,1.1394,2.1041,-0.1596,0.5911,2026-08-18T09:51:31.927650+00:00
37,840,0.9715,1.8597,-0.0433,0.6381,2026-08-18T09:51:31.963434+00:00
38,841,1.0398,1.9406,-0.046,0.6077,2026-08-18T09:51:31.999073+00:00
