gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
1,B0_xp,690,1.5028,2.3253,-0.0996,0.4713,49.0,1
1,B1_season_pts,690,1.3632,2.4681,0.3865,0.4413,43.0,8
1,B2_pp90,690,1.577,2.6934,-0.0544,0.5197,41.0,8
1,B3_v1,690,1.4405,2.4476,0.4295,0.3853,56.0,8
2,B0_xp,705,0.7555,1.4587,-0.0604,0.7657,121.0,13
2,B1_season_pts,705,12.4122,31.4813,-11.3958,0.3131,22.0,0
2,B2_pp90,705,1.6072,2.7801,-0.1435,0.4964,6.0,0
2,B3_v1,705,1.294,2.6013,0.4856,0.435,7.0,0
3,B0_xp,712,0.9275,1.5988,0.0211,0.7827,99.0,13
3,B1_season_pts,712,5.3056,13.667,-4.2472,0.4133,1.0,0
3,B2_pp90,712,1.5847,2.6568,-0.1173,0.5055,1.0,0
3,B3_v1,712,1.28,2.4251,0.5515,0.4439,14.0,0
4,B0_xp,740,0.9245,1.5853,0.0436,0.7424,94.0,8
4,B1_season_pts,740,3.442,8.5743,-2.3232,0.4244,8.0,0
4,B2_pp90,740,1.549,2.6099,-0.0602,0.4942,8.0,0
4,B3_v1,740,1.2727,2.4367,0.6162,0.4597,20.0,0
5,B0_xp,741,0.8233,1.469,-0.0852,0.7836,99.0,9
5,B1_season_pts,741,2.5096,6.1331,-1.6833,0.4982,5.0,1
5,B2_pp90,741,1.5068,2.5447,-0.2491,0.512,3.0,1
5,B3_v1,741,1.1349,2.2252,0.4578,0.4434,8.0,1
6,B0_xp,742,0.7895,1.5054,-0.0221,0.8007,118.0,16
6,B1_season_pts,742,2.0615,4.6828,-1.1833,0.4952,13.0,0
6,B2_pp90,742,1.502,2.6171,-0.2528,0.5018,0.0,0
6,B3_v1,742,1.0943,2.2446,0.4517,0.4651,10.0,0
7,B0_xp,743,1.21,2.6058,1.21,0.387,12.0,0
7,B1_season_pts,743,1.9055,4.0294,-0.8728,0.5218,28.0,0
7,B2_pp90,743,1.5114,2.5791,-0.1596,0.4977,2.0,0
7,B3_v1,743,1.1242,2.3016,0.5583,0.4897,14.0,0
8,B0_xp,745,0.7562,1.5225,0.0974,0.7844,121.0,13
8,B1_season_pts,745,1.7722,3.6764,-0.6883,0.551,25.0,0
8,B2_pp90,745,1.5375,2.7405,-0.1202,0.5218,2.0,0
8,B3_v1,745,1.1554,2.4685,0.5893,0.5286,7.0,0
9,B0_xp,746,0.7992,1.6263,0.0405,0.8396,100.0,15
9,B1_season_pts,746,1.6045,3.2689,-0.5794,0.5535,24.0,0
9,B2_pp90,746,1.5571,2.6818,-0.1442,0.507,7.0,0
9,B3_v1,746,1.0936,2.3344,0.5172,0.5436,14.0,0
10,B0_xp,747,1.2062,2.6508,1.1874,0.3802,16.0,0
10,B1_season_pts,747,1.5265,2.9411,-0.5398,0.5681,37.0,0
10,B2_pp90,747,1.4391,2.4735,-0.1748,0.5445,8.0,0
10,B3_v1,747,1.0812,2.1856,0.4591,0.542,44.0,0
11,B0_xp,752,1.2793,2.7996,1.2766,0.3957,21.0,0
11,B1_season_pts,752,1.547,2.9338,-0.3805,0.5736,8.0,0
11,B2_pp90,752,1.5878,2.7143,-0.1256,0.5191,21.0,1
11,B3_v1,752,1.1349,2.3492,0.5418,0.5618,18.0,0
12,B0_xp,755,1.204,2.7714,1.1987,0.3995,16.0,0
12,B1_season_pts,755,1.4556,2.8119,-0.4092,0.5693,13.0,0
12,B2_pp90,755,1.5038,2.6394,-0.2653,0.5759,31.0,2
12,B3_v1,755,1.0876,2.3508,0.4499,0.5435,15.0,0
13,B0_xp,755,1.1629,2.6415,1.1497,0.4222,15.0,0
13,B1_season_pts,755,1.4429,2.7083,-0.4235,0.5514,9.0,0
13,B2_pp90,755,1.5638,2.7115,-0.3776,0.5469,22.0,2
13,B3_v1,755,1.0663,2.224,0.3827,0.5432,11.0,0
14,B0_xp,758,1.2665,2.8438,1.2639,0.4268,6.0,0
14,B1_season_pts,758,1.4287,2.6746,-0.2608,0.5523,44.0,0
14,B2_pp90,758,1.5645,2.6968,-0.2728,0.5464,66.0,14
14,B3_v1,758,1.165,2.4386,0.4918,0.5202,25.0,0
15,B0_xp,759,1.2411,2.7317,1.2174,0.4069,24.0,0
15,B1_season_pts,759,1.3223,2.4106,-0.2852,0.5854,23.0,1
15,B2_pp90,759,1.482,2.5251,-0.363,0.5974,37.0,2
15,B3_v1,759,1.0782,2.2446,0.4396,0.5547,48.0,1
16,B0_xp,760,1.2184,2.8191,1.2158,0.4185,13.0,0
16,B1_season_pts,760,1.367,2.4856,-0.25,0.5858,45.0,0
16,B2_pp90,760,1.5518,2.6628,-0.4167,0.5889,56.0,13
16,B3_v1,760,1.1235,2.3537,0.4314,0.537,49.0,1
17,B0_xp,770,1.1935,2.669,1.1857,0.397,39.0,0
17,B1_season_pts,770,1.3464,2.392,-0.2399,0.512,60.0,16
17,B2_pp90,770,1.5765,2.6089,-0.4534,0.514,42.0,16
17,B3_v1,770,1.1136,2.209,0.3735,0.4858,44.0,16
18,B0_xp,775,1.1587,2.6166,1.1561,0.4458,28.0,0
18,B1_season_pts,775,1.3267,2.3936,-0.2462,0.521,21.0,2
18,B2_pp90,775,1.5669,2.6522,-0.5062,0.5323,33.0,2
18,B3_v1,775,1.0658,2.1625,0.3235,0.5277,23.0,0
19,B0_xp,780,1.2436,2.7104,1.241,0.4558,12.0,2
19,B1_season_pts,780,1.3717,2.3606,-0.1355,0.4963,13.0,2
19,B2_pp90,780,1.6126,2.6244,-0.433,0.5224,33.0,2
19,B3_v1,780,1.168,2.2255,0.3906,0.4934,43.0,0
20,B0_xp,790,1.1418,2.6212,1.1418,0.4413,14.0,1
