gw,player_id,web_name,team_id,position,now_cost,mu,sigma,p_start,p_sub,p_60,p_10_plus,n_fixtures,actual_points,actual_minutes,did_start,captured_at,scored_at
36,1,Raya,1,GKP,61,2.6708,2.0195,0.9,0.008,0.8376,0.0008,1,9,90,1,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,2,Arrizabalaga,1,GKP,40,0.19,0.8408,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,3,Hein,1,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,4,Setford,1,GKP,39,0.1676,0.7827,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,5,Gabriel,1,DEF,72,3.7528,3.1026,0.82,0.0324,0.7652,0.0492,1,11,90,1,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,6,Saliba,1,DEF,62,2.7168,2.4352,0.82,0.0324,0.7652,0.012,1,5,90,1,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,7,Calafiori,1,DEF,56,2.3932,2.8972,0.68,0.0576,0.637,0.0288,1,1,45,1,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,8,J.Timber,1,DEF,60,1.614,2.5899,0.41,0.1062,0.3898,0.0164,1,0,0,0,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,9,Kiwior,1,DEF,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,10,Lewis-Skelly,1,DEF,50,0.7472,1.4361,0.28,0.1584,0.2731,0.0008,1,6,90,1,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
36,11,White,1,DEF,51,0,0,0.0,0.0,0.0,0,1,1,27,0,2026-08-18T09:51:14.620479+00:00,2026-08-18T09:51:31.910499+00:00
