season,split,bucket,n,start_pct,zero_min_pct,avg_pts
2024-25,all,0.90-1.00,610,83.93,14.43,3.056
2024-25,all,0.80-0.90,1027,69.52,23.66,2.74
2024-25,all,0.70-0.80,119,68.07,14.29,3.882
2024-25,all,0.60-0.70,1372,69.24,17.27,2.746
2024-25,all,<0.60,24103,25.75,63.2,0.978
2024-25,established,0.90-1.00,361,79.5,19.11,2.939
2024-25,established,0.80-0.90,532,72.56,20.11,2.977
2024-25,established,0.70-0.80,57,71.93,14.04,3.982
2024-25,established,0.60-0.70,743,70.26,17.77,2.964
2024-25,established,<0.60,10187,28.49,61.18,1.039
2024-25,new_club,0.90-1.00,249,90.36,7.63,3.225
2024-25,new_club,0.80-0.90,495,66.26,27.47,2.485
2024-25,new_club,0.70-0.80,62,64.52,14.52,3.79
2024-25,new_club,0.60-0.70,629,68.04,16.69,2.49
2024-25,new_club,<0.60,13916,23.74,64.68,0.934
