gw,player_id,web_name,team_id,position,now_cost,mu,sigma,p_start,p_sub,p_60,p_10_plus,n_fixtures,actual_points,actual_minutes,did_start,captured_at,scored_at
13,1,Fábio Vieira,1,MID,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,2,G.Jesus,1,FWD,68,0,0,0.0,0.0,0.0,0,1,1,16,0,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,3,Gabriel,1,DEF,62,0,0,0.0,0.0,0.0,0,1,9,45,1,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,4,Havertz,1,FWD,79,1.9688,2.4751,0.48,0.1456,0.458,0.0164,1,6,90,1,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,5,Hein,1,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,6,J.Timber,1,DEF,55,0,0,0.0,0.0,0.0,0,1,1,90,1,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,7,Jorginho,1,MID,47,0.8408,1.2541,0.28,0.1584,0.2731,0.0,1,2,90,1,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,8,Kiwior,1,DEF,48,0.6716,1.3739,0.18,0.1804,0.1818,0.0012,1,1,45,1,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,9,Martinelli,1,MID,69,2.1512,2.4989,0.48,0.1456,0.458,0.0136,1,0,0,0,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,12,Nwaneri,1,MID,45,0.4508,0.9545,0.1,0.198,0.1088,0.0004,1,1,5,0,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
13,13,Ødegaard,1,MID,82,1.1784,1.992,0.28,0.2016,0.2765,0.0108,1,8,73,1,2026-08-18T09:51:53.836890+00:00,2026-08-18T09:52:48.948259+00:00
