season,gw,evaluation_status,structural_flags,n_fixtures,n_actual_rows,n_unique_actuals,n_duplicate_ids,n_with_minutes,n_snapshot,inspect_v1_lt_15,inspect_b0_gt_80,b0_xi_cap,v1_xi_cap,v1_gw1_xi_cap,hindsight_oracle_cap,squad_overlap,xi_overlap,hindsight_squad_regret,hindsight_xi_regret,hindsight_cap_regret,vs_b0_gap,solver_error
2024-25,1,clean,,10,616,616,0,307,804,0,0,61.0,31.0,43.0,131.0,2,2,79.0,11.0,10.0,30.0,
2024-25,2,clean,,10,627,627,0,312,804,0,1,130.0,47.0,37.0,165.0,2,2,96.0,6.0,16.0,83.0,
2024-25,3,clean,,10,648,648,0,302,804,0,1,121.0,41.0,41.0,140.0,2,2,87.0,1.0,11.0,80.0,
2024-25,4,clean,,10,659,659,0,310,804,1,0,71.0,7.0,5.0,139.0,0,0,122.0,8.0,2.0,64.0,
2024-25,5,clean,,10,661,661,0,305,804,0,1,107.0,19.0,17.0,137.0,0,0,100.0,10.0,8.0,88.0,
2024-25,6,clean,,10,664,664,0,302,804,1,1,120.0,10.0,10.0,163.0,0,0,149.0,4.0,0.0,110.0,
2024-25,7,clean,,10,666,666,0,305,804,0,0,67.0,25.0,26.0,142.0,2,1,109.0,2.0,6.0,42.0,
2024-25,8,clean,,10,667,667,0,305,804,0,0,76.0,25.0,25.0,132.0,2,1,86.0,11.0,10.0,51.0,
2024-25,9,clean,,10,670,670,0,304,804,0,1,98.0,47.0,52.0,127.0,2,2,70.0,1.0,9.0,51.0,
2024-25,10,clean,,10,674,674,0,300,804,0,1,91.0,35.0,44.0,138.0,4,3,83.0,5.0,15.0,56.0,
2024-25,11,clean,,10,678,678,0,297,804,0,1,102.0,22.0,35.0,139.0,3,3,106.0,7.0,4.0,80.0,
2024-25,12,clean,,10,684,684,0,304,804,0,1,108.0,33.0,40.0,154.0,1,1,106.0,2.0,13.0,75.0,
2024-25,13,clean,,10,690,690,0,310,804,0,1,120.0,64.0,67.0,174.0,3,2,91.0,3.0,16.0,56.0,
2024-25,14,clean,,10,693,693,0,307,804,0,1,88.0,43.0,61.0,163.0,3,1,102.0,6.0,12.0,45.0,
2024-25,15,flagged,bgw_or_short,9,630,630,0,274,804,0,1,82.0,65.0,65.0,134.0,6,5,53.0,1.0,15.0,17.0,
2024-25,16,clean,,10,701,701,0,300,804,0,0,74.0,41.0,33.0,141.0,4,2,87.0,9.0,4.0,33.0,
2024-25,17,clean,,10,701,701,0,303,804,0,1,125.0,24.0,24.0,176.0,1,1,119.0,30.0,3.0,101.0,
2024-25,18,clean,,10,705,705,0,304,804,0,1,88.0,60.0,60.0,120.0,6,3,42.0,15.0,3.0,28.0,
2024-25,19,clean,,10,709,709,0,306,804,0,1,97.0,75.0,59.0,146.0,4,3,69.0,2.0,0.0,22.0,
2024-25,20,clean,,10,711,711,0,294,804,0,1,91.0,46.0,53.0,148.0,4,3,91.0,8.0,3.0,45.0,
2024-25,21,clean,,10,724,724,0,296,804,0,1,85.0,52.0,58.0,153.0,4,4,80.0,7.0,14.0,33.0,
2024-25,22,clean,,10,729,729,0,299,804,0,0,-1.0,40.0,28.0,162.0,1,0,96.0,18.0,8.0,-41.0,
2024-25,23,clean,,10,756,756,0,300,804,0,1,82.0,52.0,76.0,153.0,3,3,69.0,27.0,5.0,30.0,
2024-25,24,flagged,duplicate_gw_rows;dgw_or_long,11,831,762,69,302,804,0,1,156.0,101.0,94.0,215.0,5,3,89.0,25.0,0.0,55.0,
2024-25,25,flagged,duplicate_gw_rows;dgw_or_long,11,858,779,79,307,804,0,1,148.0,85.0,106.0,182.0,2,2,97.0,0.0,0.0,63.0,
2024-25,26,clean,,10,783,783,0,302,804,0,1,111.0,81.0,69.0,175.0,3,2,87.0,7.0,0.0,30.0,
2024-25,27,clean,,10,784,784,0,305,804,0,1,112.0,59.0,58.0,156.0,4,3,81.0,12.0,4.0,53.0,
2024-25,28,clean,,10,789,789,0,303,804,0,1,111.0,36.0,59.0,133.0,2,1,82.0,7.0,8.0,75.0,
2024-25,29,flagged,bgw_or_short,8,639,639,0,246,804,0,1,101.0,52.0,62.0,152.0,3,2,88.0,2.0,10.0,49.0,
2024-25,30,clean,,10,791,791,0,306,804,0,1,95.0,41.0,40.0,132.0,2,2,82.0,4.0,5.0,54.0,
2024-25,31,clean,,10,792,792,0,310,804,0,1,123.0,38.0,35.0,160.0,1,0,103.0,11.0,8.0,85.0,
2024-25,32,flagged,duplicate_gw_rows;dgw_or_long,11,869,798,71,309,804,0,0,34.0,67.0,72.0,201.0,0,0,105.0,25.0,4.0,-33.0,
2024-25,33,flagged,duplicate_gw_rows;dgw_or_long,12,954,799,155,321,804,0,1,135.0,80.0,78.0,183.0,2,1,92.0,5.0,6.0,55.0,
2024-25,34,flagged,bgw_or_short,8,645,645,0,245,804,0,0,4.0,63.0,66.0,162.0,0,0,96.0,0.0,3.0,-59.0,
2024-25,35,clean,,10,801,801,0,307,804,0,0,76.0,51.0,52.0,137.0,2,1,66.0,12.0,8.0,25.0,
2024-25,36,clean,,10,801,801,0,305,804,0,1,86.0,37.0,32.0,139.0,2,2,72.0,22.0,8.0,49.0,
2024-25,37,clean,,10,801,801,0,309,804,0,1,102.0,28.0,50.0,159.0,2,1,122.0,1.0,8.0,74.0,
2024-25,38,clean,,10,804,804,0,308,804,0,1,97.0,44.0,44.0,169.0,1,0,94.0,31.0,0.0,53.0,
