gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
1,B0_xp,616,1.3114,2.0059,-0.2104,0.4368,61.0,8
1,B1_season_pts,616,1.241,2.065,0.1562,0.4277,45.0,2
1,B2_pp90,616,1.6497,2.4807,-0.472,0.4611,37.0,8
1,B3_v1,616,1.2605,2.1006,0.3605,0.3669,43.0,2
2,B0_xp,627,0.8211,1.4636,0.0198,0.8071,130.0,17
2,B1_season_pts,627,12.0299,27.9773,-10.9488,0.1219,6.0,0
2,B2_pp90,627,1.6935,2.6521,-0.3968,0.4895,44.0,20
2,B3_v1,627,1.3265,2.5389,0.6009,0.3874,48.0,1
3,B0_xp,648,0.8069,1.3628,-0.1088,0.6961,121.0,17
3,B1_season_pts,648,5.0998,12.1778,-4.3344,0.2529,2.0,0
3,B2_pp90,648,1.5622,2.456,-0.5752,0.4936,1.0,0
3,B3_v1,648,1.0967,2.085,0.435,0.3856,52.0,6
4,B0_xp,659,0.9475,1.735,0.0385,0.6946,71.0,2
4,B1_season_pts,659,3.3159,7.5245,-2.2989,0.331,20.0,1
4,B2_pp90,659,1.7146,2.6975,-0.4553,0.456,12.0,0
4,B3_v1,659,1.1778,2.3451,0.5901,0.4233,13.0,5
5,B0_xp,661,0.7722,1.4518,0.0242,0.8196,107.0,9
5,B1_season_pts,661,2.3534,5.0829,-1.3473,0.3594,12.0,1
5,B2_pp90,661,1.7219,2.7,-0.4736,0.4125,12.0,1
5,B3_v1,661,1.1687,2.314,0.5826,0.4274,25.0,0
6,B0_xp,664,0.9036,1.7327,0.0042,0.6509,120.0,25
6,B1_season_pts,664,2.0827,4.2084,-1.0426,0.382,15.0,0
6,B2_pp90,664,1.6401,2.6521,-0.5362,0.4595,4.0,0
6,B3_v1,664,1.1271,2.4145,0.5087,0.4115,9.0,1
7,B0_xp,666,0.9785,1.7788,0.1278,0.7307,67.0,6
7,B1_season_pts,666,1.8581,3.5606,-0.6344,0.4355,12.0,0
7,B2_pp90,666,1.6454,2.641,-0.3619,0.4983,4.0,0
7,B3_v1,666,1.2434,2.4816,0.6821,0.4335,30.0,2
8,B0_xp,667,0.8538,1.5798,0.0064,0.7351,76.0,2
8,B1_season_pts,667,1.6547,3.0534,-0.6244,0.4622,7.0,0
8,B2_pp90,667,1.6581,2.5928,-0.5053,0.4548,9.0,0
8,B3_v1,667,1.1084,2.1806,0.5374,0.4859,22.0,0
9,B0_xp,670,0.8385,1.5045,0.0158,0.7687,98.0,13
9,B1_season_pts,670,1.491,2.6806,-0.5426,0.4801,38.0,0
9,B2_pp90,670,1.6027,2.4997,-0.512,0.4613,6.0,0
9,B3_v1,670,1.0794,2.0456,0.4767,0.4639,49.0,1
10,B0_xp,674,0.7976,1.4299,0.051,0.7366,91.0,9
10,B1_season_pts,674,1.4263,2.6008,-0.4612,0.5009,24.0,0
10,B2_pp90,674,1.6468,2.5967,-0.503,0.4543,2.0,0
10,B3_v1,674,1.0482,2.0781,0.4547,0.4872,44.0,0
11,B0_xp,678,0.8329,1.4691,0.0845,0.7817,102.0,14
11,B1_season_pts,678,1.4601,2.5366,-0.347,0.509,28.0,0
11,B2_pp90,678,1.6739,2.6392,-0.4537,0.4781,20.0,0
11,B3_v1,678,1.114,2.1845,0.4922,0.4973,35.0,1
12,B0_xp,684,0.8889,1.6302,0.1102,0.683,108.0,13
12,B1_season_pts,684,1.485,2.588,-0.2747,0.4758,36.0,13
12,B2_pp90,684,1.7533,2.7726,-0.433,0.4437,47.0,13
12,B3_v1,684,1.1784,2.4163,0.5099,0.4386,34.0,0
13,B0_xp,690,0.8513,1.7104,0.0461,0.6999,120.0,13
13,B1_season_pts,690,1.319,2.4684,-0.2515,0.5089,74.0,13
13,B2_pp90,690,1.642,2.7252,-0.4998,0.5184,89.0,13
13,B3_v1,690,1.1004,2.3611,0.4648,0.521,65.0,2
14,B0_xp,693,1.0644,1.9277,0.0886,0.6752,88.0,18
14,B1_season_pts,693,1.4572,2.5934,-0.1691,0.4885,54.0,18
14,B2_pp90,693,1.7355,2.7815,-0.488,0.4956,62.0,18
14,B3_v1,693,1.1623,2.4536,0.5158,0.4969,62.0,0
15,B0_xp,630,0.8857,1.655,-0.0105,0.7439,82.0,18
15,B1_season_pts,630,1.2507,2.1849,-0.2504,0.5437,42.0,0
15,B2_pp90,630,1.6015,2.4844,-0.56,0.4868,34.0,0
15,B3_v1,630,1.0468,2.1341,0.3969,0.4898,61.0,3
16,B0_xp,701,0.8692,1.6333,0.0238,0.7171,74.0,5
16,B1_season_pts,701,1.2446,2.2081,-0.1923,0.5502,45.0,5
16,B2_pp90,701,1.5699,2.534,-0.5675,0.5231,42.0,5
16,B3_v1,701,1.1121,2.2646,0.4159,0.463,38.0,5
17,B0_xp,701,1.0056,1.9733,0.1679,0.7155,125.0,21
17,B1_season_pts,701,1.3939,2.5415,-0.0294,0.5136,64.0,21
