gw,n,mae,rmse,bias,spearman,scored_at
1,616,1.2605,2.1006,0.3605,0.3669,2026-08-18T09:41:30.596714+00:00
2,627,1.3265,2.5389,0.6009,0.3874,2026-08-18T09:52:48.651384+00:00
3,648,1.0967,2.085,0.435,0.3856,2026-08-18T09:52:48.678997+00:00
4,659,1.1778,2.3451,0.5901,0.4233,2026-08-18T09:52:48.707596+00:00
5,661,1.1687,2.314,0.5826,0.4274,2026-08-18T09:52:48.738273+00:00
6,664,1.1271,2.4145,0.5087,0.4115,2026-08-18T09:52:48.768907+00:00
7,666,1.2434,2.4816,0.6821,0.4335,2026-08-18T09:52:48.795477+00:00
8,667,1.1084,2.1806,0.5374,0.4859,2026-08-18T09:52:48.824263+00:00
9,670,1.0794,2.0456,0.4767,0.4639,2026-08-18T09:52:48.851936+00:00
10,674,1.0482,2.0781,0.4547,0.4872,2026-08-18T09:52:48.879246+00:00
11,678,1.114,2.1845,0.4922,0.4973,2026-08-18T09:52:48.907768+00:00
12,684,1.1784,2.4163,0.5099,0.4386,2026-08-18T09:52:48.936069+00:00
13,690,1.1004,2.3611,0.4648,0.521,2026-08-18T09:52:48.963593+00:00
14,693,1.1623,2.4536,0.5158,0.4969,2026-08-18T09:52:48.995217+00:00
15,630,1.0468,2.1341,0.3969,0.4898,2026-08-18T09:52:49.024959+00:00
16,701,1.1121,2.2646,0.4159,0.463,2026-08-18T09:52:49.052638+00:00
17,701,1.258,2.5797,0.5331,0.4472,2026-08-18T09:52:49.081058+00:00
18,705,1.0945,2.053,0.4271,0.4609,2026-08-18T09:52:49.108615+00:00
19,709,1.0788,2.1442,0.3578,0.5103,2026-08-18T09:52:49.137294+00:00
20,711,1.0323,1.9859,0.2453,0.4904,2026-08-18T09:52:49.164935+00:00
21,724,1.0355,2.0932,0.2761,0.4971,2026-08-18T09:52:49.194629+00:00
22,729,1.1255,2.2619,0.312,0.5184,2026-08-18T09:52:49.226334+00:00
23,756,1.1677,2.4302,0.3662,0.4667,2026-08-18T09:52:49.259168+00:00
24,762,1.2293,2.4712,0.2324,0.4596,2026-08-18T09:52:49.293002+00:00
25,779,1.1979,2.458,0.2356,0.4943,2026-08-18T09:52:49.331902+00:00
26,783,1.2636,2.6076,0.3862,0.4833,2026-08-18T09:52:49.364617+00:00
27,784,1.1327,2.3153,0.3133,0.4939,2026-08-18T09:52:49.397219+00:00
28,789,1.0591,2.0293,0.2571,0.5331,2026-08-18T09:52:49.428797+00:00
29,639,1.1057,2.206,0.2574,0.4853,2026-08-18T09:52:49.457442+00:00
30,791,1.1108,2.1127,0.2216,0.5191,2026-08-18T09:52:49.491138+00:00
31,792,1.1134,2.2567,0.2595,0.5703,2026-08-18T09:52:49.526946+00:00
32,798,1.2544,2.4276,0.1449,0.5024,2026-08-18T09:52:49.562653+00:00
33,799,1.1844,2.1412,-0.1364,0.4995,2026-08-18T09:52:49.596432+00:00
34,645,1.0975,2.295,0.2452,0.5916,2026-08-18T09:52:49.625024+00:00
35,801,1.0593,2.0372,0.119,0.5807,2026-08-18T09:52:49.657540+00:00
36,801,1.1265,2.1848,0.2239,0.6189,2026-08-18T09:52:49.690171+00:00
37,801,1.1242,2.2887,0.1701,0.6069,2026-08-18T09:52:49.722838+00:00
38,804,1.0857,2.3209,0.1875,0.6859,2026-08-18T09:52:49.757731+00:00
