season,gw,n,spearman,mae,bias,leakage_flag
2024-25,1,616,0.4386,1.3114,-0.2104,0
2024-25,2,627,0.7925,0.8211,0.0198,1
2024-25,3,648,0.7286,0.8069,-0.1088,1
2024-25,4,659,0.7473,0.9475,0.0385,1
2024-25,5,661,0.8091,0.7722,0.0242,1
2024-25,6,664,0.7446,0.9036,0.0042,1
2024-25,7,666,0.7799,0.9785,0.1278,1
2024-25,8,667,0.7631,0.8538,0.0064,1
2024-25,9,670,0.7751,0.8385,0.0158,1
2024-25,10,674,0.7408,0.7976,0.051,1
2024-25,11,678,0.7461,0.8329,0.0845,1
2024-25,12,684,0.7462,0.8889,0.1102,1
2024-25,13,690,0.7166,0.8513,0.0461,1
2024-25,14,693,0.7155,1.0644,0.0886,1
2024-25,15,630,0.8004,0.8857,-0.0105,1
2024-25,16,701,0.7577,0.8692,0.0238,1
2024-25,17,701,0.7609,1.0056,0.1679,1
2024-25,18,705,0.7123,0.9023,0.0662,1
2024-25,19,709,0.7141,0.9468,0.0309,1
2024-25,20,711,0.7203,0.8385,-0.0141,1
2024-25,21,724,0.7505,0.8638,0.0097,1
2024-25,22,729,0.4282,1.1838,1.1674,0
2024-25,23,756,0.7454,0.9591,0.1324,1
2024-25,24,762,0.7676,1.0088,0.0419,1
2024-25,25,779,0.7844,0.9171,0.0478,1
2024-25,26,783,0.7637,0.9387,0.0876,1
2024-25,27,784,0.8133,0.8015,0.0352,1
2024-25,28,789,0.7637,0.861,0.0133,1
2024-25,29,639,0.781,0.7889,0.0612,1
2024-25,30,791,0.7375,0.7843,-0.0018,1
2024-25,31,792,0.7684,0.8199,0.0278,1
2024-25,32,798,0.4292,1.3521,1.3271,0
2024-25,33,799,0.7199,1.0156,-0.0174,1
2024-25,34,645,0.3643,1.2062,1.1907,0
2024-25,35,801,0.71,0.8925,-0.0191,1
2024-25,36,801,0.7651,0.8839,0.0911,1
2024-25,37,801,0.759,0.8313,0.0236,1
2024-25,38,804,0.7137,0.933,0.0588,1
