gw,player_id,web_name,team_id,position,now_cost,mu,sigma,p_start,p_sub,p_60,p_10_plus,n_fixtures,actual_points,actual_minutes,did_start,captured_at,scored_at
36,1,Fábio Vieira,1,MID,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,2,G.Jesus,1,FWD,65,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,3,Gabriel,1,DEF,62,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,4,Havertz,1,FWD,77,2.9728,2.971,0.68,0.0576,0.637,0.0408,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,5,Hein,1,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,6,J.Timber,1,DEF,56,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,7,Jorginho,1,MID,46,1.106,1.2545,0.48,0.1144,0.4556,0.0008,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,8,Kiwior,1,DEF,48,1.3492,1.8719,0.48,0.1144,0.4556,0.0016,1,1,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,9,Martinelli,1,MID,65,3.4948,2.8731,0.82,0.0324,0.7652,0.0388,1,7,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,12,Nwaneri,1,MID,44,1.7136,1.9478,0.48,0.1144,0.4556,0.0036,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,13,Ødegaard,1,MID,82,3.4632,2.8498,0.82,0.0324,0.7652,0.0372,1,5,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,15,Raya,1,GKP,56,2.764,2.0512,0.9,0.008,0.8376,0.0,1,2,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,16,Rice,1,MID,62,2.9956,2.419,0.82,0.0324,0.7652,0.0192,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,17,Saka,1,MID,103,3.8084,3.6727,0.68,0.0576,0.637,0.076,1,2,87,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,18,Saliba,1,DEF,65,0,0,0.0,0.0,0.0,0,1,1,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,20,Thomas,1,MID,49,2.444,1.7781,0.82,0.0324,0.7652,0.0044,1,2,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,21,Tierney,1,DEF,43,0.4816,1.162,0.1,0.198,0.1088,0.0012,1,1,12,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,22,Tomiyasu,1,DEF,48,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,23,Trossard,1,MID,68,3.4432,2.866,0.82,0.0324,0.7652,0.0356,1,7,77,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,24,White,1,DEF,61,1.492,2.0419,0.48,0.1456,0.458,0.0024,1,1,77,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,25,Zinchenko,1,DEF,48,0.8544,1.5223,0.28,0.1584,0.2731,0.0004,1,1,2,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,73,Neto,1,GKP,41,0.1964,0.8624,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,186,Sterling,1,MID,67,1.1168,1.7476,0.28,0.2016,0.2765,0.004,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,578,Calafiori,1,DEF,58,1.4536,2.1563,0.48,0.1456,0.458,0.0088,1,1,12,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,597,Lewis-Skelly,1,MID,45,1.2576,1.3389,0.48,0.1144,0.4556,0.0008,1,1,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,633,Merino,1,MID,61,2.6544,2.5874,0.68,0.0896,0.6396,0.0192,1,4,78,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,638,Oulad M'hand,1,MID,45,0.4604,0.9608,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,639,Setford,1,GKP,45,0.172,0.7581,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,657,Kacurri,1,DEF,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,659,Kabia,1,MID,45,0.4848,0.9599,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,662,Nichols,1,DEF,40,0.4524,1.0704,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,665,Butler-Oyedeji,1,FWD,45,0.458,0.9367,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,735,Arteta,1,MID,15,0.4572,0.9392,0.1,0.198,0.1088,0.0,1,5,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,756,Porter,1,GKP,40,0.1716,0.7684,0.04,0.0384,0.0403,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,790,Gower,1,MID,45,0.436,0.8988,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,793,Jack Henry-Francis,1,MID,45,0.462,0.927,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,801,Clarke,1,DEF,40,0.456,1.0468,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,28,Bailey,2,MID,62,1.7512,2.1286,0.48,0.1456,0.458,0.0064,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,29,Barkley,2,MID,52,1.1004,1.8699,0.28,0.1584,0.2731,0.006,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,30,Barrenechea,2,MID,49,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,31,Buendia,2,MID,51,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,32,Cash,2,DEF,44,0.7404,1.5241,0.22,0.1404,0.2158,0.002,1,6,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,33,Dendoncker,2,MID,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,34,Diaby,2,MID,65,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,35,Diego Carlos,2,DEF,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,36,Digne,2,DEF,44,0.84,1.6931,0.22,0.1404,0.2158,0.0012,1,7,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,37,Dobbin,2,MID,50,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,38,Duran,2,FWD,57,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,39,Gauci,2,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,40,Hause,2,DEF,39,0.47,1.0602,0.1,0.198,0.1088,0.0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,41,Iling Jr,2,MID,54,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,42,Kamara,2,MID,50,1.7116,1.3933,0.68,0.0704,0.638,0.0004,1,3,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,43,Kesler-Hayden,2,DEF,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,44,Konsa,2,DEF,44,0.836,1.6269,0.22,0.1404,0.2158,0.002,1,5,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,45,Maatsen,2,DEF,45,0.7828,1.6139,0.22,0.1716,0.2183,0.0028,1,1,1,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,46,Marschall,2,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,47,Martinez,2,GKP,50,0,0,0.0,0.0,0.0,0,1,8,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,48,McGinn,2,MID,52,2.36,2.0992,0.82,0.0324,0.7652,0.012,1,1,20,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,49,Mings,2,DEF,44,0.8464,1.7226,0.22,0.1716,0.2183,0.0036,1,6,69,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,50,Nedeljkovic,2,DEF,39,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,51,Olsen,2,GKP,45,2.6448,2.0747,0.88,0.0048,0.8188,0.0008,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,52,Pau,2,DEF,42,0.684,1.3949,0.22,0.1404,0.2158,0.0012,1,1,20,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,53,Ramsey,2,MID,54,2.1044,2.0231,0.68,0.0576,0.637,0.0064,1,0,79,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,54,Rogers,2,MID,57,3.4036,2.5983,0.9,0.018,0.8384,0.0304,1,6,88,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,55,Sinisalo,2,GKP,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,56,Sousa,2,DEF,40,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,57,Tielemans,2,MID,55,3.1632,2.1829,0.9,0.018,0.8384,0.0172,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,58,Watkins,2,FWD,89,4.1928,3.237,0.82,0.0324,0.7652,0.0748,1,9,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,167,Disasi,2,DEF,42,0.6908,1.4048,0.22,0.1716,0.2183,0.0012,1,0,0,0,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
36,233,Onana,2,MID,48,2.1432,2.0776,0.68,0.0704,0.638,0.0072,1,3,90,1,2026-08-18T09:52:33.870755+00:00,2026-08-18T09:52:49.672916+00:00
